chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.28,1.0,2026-05-04,2026-05-15 06:11:23,1,B1,1.0,,36.92,5.36,24.0,23.0,33.3,44.4,,,1,菊池 宏志,0.1,6.76,1,0.0,shimonoseki,19.0,6.0,晴,16.0,52.0,0.0,15.0,北西,6.0
7.4,2.0,2026-05-04,2026-05-15 06:11:23,2,A2,1.0,,37.81,5.64,31.0,14.0,50.0,62.5,,,1,大田 直弥,0.23,6.8,4,0.0,shimonoseki,19.0,6.0,晴,16.0,52.9,0.0,15.0,北西,6.0
7.42,3.0,2026-05-04,2026-05-15 06:11:23,3,B1,1.0,,37.95,5.64,69.0,17.0,37.5,37.5,,,1,佐藤 駿介,0.31,6.76,1,0.0,shimonoseki,19.0,6.0,晴,16.0,52.0,0.0,15.0,北西,6.0
7.36,4.0,2026-05-04,2026-05-15 06:11:23,4,B1,1.0,,37.72,5.71,20.0,38.0,0.0,42.9,,,1,松田 竜馬,0.09,6.83,6,0.0,shimonoseki,19.0,6.0,晴,16.0,53.5,0.0,15.0,北西,6.0
7.34,6.0,2026-05-04,2026-05-15 06:11:23,5,B2,1.0,,38.0,5.9,38.0,46.0,0.0,0.0,,,1,寺田 夢生,0.11,6.82,5,0.5,shimonoseki,19.0,6.0,晴,16.0,46.5,0.5,15.0,北西,6.0
7.54,5.0,2026-05-04,2026-05-15 06:11:23,6,B1,1.0,,38.17,5.7,64.0,33.0,14.3,14.3,,,1,栗山 繁洋,0.11,6.77,3,0.0,shimonoseki,19.0,6.0,晴,16.0,52.0,0.0,15.0,北西,6.0
7.38,1.0,2026-05-04,2026-05-15 06:11:29,1,A2,0.0,,38.0,5.33,16.0,30.0,25.0,75.0,,,2,小林 一樹,-0.01,6.76,3,0.0,shimonoseki,19.0,7.0,晴,16.0,55.8,0.0,15.0,北西,7.0
7.39,2.0,2026-05-04,2026-05-15 06:11:29,2,B1,0.0,,37.66,5.44,72.0,44.0,0.0,0.0,,,2,瀬川 大地,0.21,6.82,6,0.0,shimonoseki,19.0,7.0,晴,16.0,54.6,0.0,15.0,北西,7.0
7.3,3.0,2026-05-04,2026-05-15 06:11:29,3,B1,0.0,,37.63,5.77,34.0,35.0,12.5,25.0,,,2,上村 慎太郎,-0.04,6.72,1,0.0,shimonoseki,19.0,7.0,晴,16.0,52.0,0.0,15.0,北西,7.0
7.4,4.0,2026-05-04,2026-05-15 06:11:29,4,B1,0.0,,37.97,5.47,73.0,24.0,28.6,28.6,,,2,山田 佑樹,0.32,6.79,4,0.0,shimonoseki,19.0,7.0,晴,16.0,55.5,0.0,15.0,北西,7.0
