venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
shimonoseki,2026-06-13,1,1,広次 修,B1,36.4,5.3,7.28,6.69,1,0.0,1,,リング×４,52.0,0.0,2026-06-13 17:29:02,21,26.3,52.6,33,山本 修一,0.15,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,1,2,森 貴洋,B2,36.68,5.2,7.36,6.8,5,0.0,2,,,53.4,0.0,2026-06-13 17:29:02,24,44.8,58.6,12,藤山 雅弘,0.09,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,1,3,佐藤 旭,B1,37.26,5.26,7.49,6.78,3,0.0,3,,,53.7,0.0,2026-06-13 17:29:02,25,31.0,44.8,22,中尾 彩香,0.19,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,1,4,高村 諒,B2,37.45,5.48,7.41,6.75,2,0.0,4,,,52.0,0.0,2026-06-13 17:29:02,68,26.9,30.8,30,下寺 秀和,0.15,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,1,5,桑原 将光,B1,37.78,5.36,7.46,6.83,6,0.0,5,,,52.6,0.0,2026-06-13 17:29:02,61,40.0,60.0,15,石原 光,0.2,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,1,6,松田 隆司,B1,37.55,5.59,7.43,6.78,3,0.0,6,,,53.6,0.0,2026-06-13 17:29:02,44,15.4,15.4,41,西原 明生,-0.01,False,晴,26,26,1,13,西,1
shimonoseki,2026-06-13,2,1,宮地 博士,B1,36.97,5.6,7.27,6.77,2,-0.5,1,,,52.5,0.0,2026-06-13 17:57:03,63,50.0,70.8,7,渥美 卓郎,-0.01,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,2,2,山田 雄太,B1,37.69,5.54,7.58,6.77,2,-0.5,2,,,56.1,0.0,2026-06-13 17:57:03,71,47.4,57.9,10,笹木 香吾,0.21,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,2,3,松尾 光広,B1,38.13,6.02,7.35,6.73,1,0.0,3,,,55.8,0.0,2026-06-13 17:57:03,19,36.0,36.0,19,久保 翔耶,0.19,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,2,4,佐竹 恒彦,B1,38.73,5.62,7.58,6.77,2,0.0,4,,,52.5,0.0,2026-06-13 17:57:03,67,52.6,79.0,6,大野 芳顕,0.13,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,2,5,山本 英志,A2,38.03,5.64,7.57,6.8,5,0.0,5,,,51.0,1.0,2026-06-13 17:57:03,49,21.4,32.1,38,加藤 雅之,0.06,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,2,6,中岡 駿,B2,37.42,5.56,7.47,6.86,6,0.0,6,,,52.3,0.0,2026-06-13 17:57:03,15,16.0,16.0,40,山浦 槙,-0.05,False,曇り,25,26,2,13,西,2
shimonoseki,2026-06-13,3,1,熊本 英一,B1,37.43,5.44,7.38,6.77,1,0.0,1,,,52.8,0.0,2026-06-13 18:22:25,48,33.3,55.6,20,富永 大一,0.08,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,3,2,井上 大輔,B1,37.72,5.54,7.43,6.82,6,0.0,2,,,52.0,0.0,2026-06-13 18:22:25,70,29.6,48.1,25,谷口 知優,0.18,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,3,3,藤森 陸斗,A2,37.5,5.4,7.37,6.81,4,0.0,3,,,53.4,0.0,2026-06-13 18:22:25,53,26.9,50.0,28,貫地谷 直人,0.07,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,3,4,柴田 光,A1,36.96,5.47,7.4,6.77,1,0.0,4,,,52.0,0.0,2026-06-13 18:22:25,33,27.6,51.7,27,古川 誠之,0.25,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,3,5,末永 祐輝,A2,37.03,5.75,7.27,6.81,4,0.0,5,,ピストン×２_リング×４,52.1,0.0,2026-06-13 18:22:25,55,46.2,61.5,11,丸尾 義孝,0.15,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,3,6,小野寺 智洋,B1,38.42,5.55,7.46,6.78,3,0.0,6,,,51.5,0.5,2026-06-13 18:22:25,58,26.1,39.1,34,芦澤 望,0.46,False,曇り,25,26,3,9,南,3
shimonoseki,2026-06-13,4,1,田中 太一郎,B1,37.36,5.4,7.35,6.83,2,0.0,1,,,52.3,0.0,2026-06-13 18:51:35,65,22.2,40.7,37,伯母 芳恒,0.45,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,4,2,渡邉 俊介,A2,36.87,5.27,7.33,6.8,1,0.0,3,,,51.0,1.0,2026-06-13 18:51:35,46,29.6,66.7,23,長尾 章平,0.13,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,4,3,柳橋 宏紀,B1,37.28,5.45,7.45,6.83,2,0.0,4,,,52.4,0.0,2026-06-13 18:51:35,31,48.1,59.3,9,中越 博紀,0.17,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,4,4,秋末 秦悟,B1,36.93,5.43,7.35,6.83,2,-0.5,5,,,52.0,0.0,2026-06-13 18:51:35,40,61.1,77.8,4,大橋 純一郎,0.21,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,4,5,林 美憲,A1,38.37,5.5,7.55,6.85,6,0.0,2,,,52.6,0.0,2026-06-13 18:51:35,11,65.4,69.2,3,田中 辰彦,0.12,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,4,6,植田 太一,A1,36.88,5.43,7.5,6.83,2,0.5,6,,,56.5,0.0,2026-06-13 18:51:35,59,26.9,53.8,29,後藤 隼之,0.24,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,1,吉川 喜継,A1,37.13,5.44,7.33,6.8,2,0.0,1,,,52.0,0.0,2026-06-13 19:18:03,32,14.3,32.1,42,高濱 芳久,-0.01,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,2,岩永 節也,B1,37.47,5.53,7.46,6.78,1,-0.5,2,,,53.1,0.0,2026-06-13 19:18:03,56,44.4,63.0,13,今泉 友吾,0.21,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,3,興津 藍,A2,37.17,5.47,7.49,6.84,3,0.0,3,,,50.0,2.0,2026-06-13 19:18:03,38,22.2,29.6,36,君島 秀三,0.01,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,4,石田 政吾,B1,37.27,5.5,7.42,6.91,6,0.0,5,,,52.0,0.0,2026-06-13 19:18:03,23,10.7,17.9,45,武重 雄介,0.12,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,5,藤井 公人,B2,36.75,5.19,7.31,6.85,4,0.0,6,,,54.5,0.0,2026-06-13 19:18:03,52,55.6,66.7,5,鈴木 智啓,0.05,True,曇り,24,26,3,11,南西,3
shimonoseki,2026-06-13,5,6,高橋 勲,A2,37.14,5.45,7.44,6.85,4,0.0,4,,,53.2,0.0,2026-06-13 19:18:03,34,26.7,53.3,32,芹澤 克彦,0.11,True,曇り,24,26,3,11,南西,3
