venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
suminoe,2026-05-13,1,1,桑原 将光,B1,37.72,11.56,,6.97,4,-0.5,1,,,52.5,0.0,2026-05-15 06:39:48,83,29.0,45.2,26,吉田 一心,0.18,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,1,2,古田 祐貴,A2,37.47,11.55,,6.99,5,-0.5,2,,,52.1,0.0,2026-05-15 06:39:48,60,36.1,50.0,14,権藤 俊光,0.14,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,1,3,中北 将史,B1,37.23,11.45,,6.93,3,0.0,3,,,52.5,0.0,2026-05-15 06:39:48,51,29.7,48.6,25,丸岡 正典,0.09,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,1,4,橋口 真樹,B1,37.45,11.67,,6.91,1,0.0,4,,,52.0,0.0,2026-05-15 06:39:48,79,34.4,62.5,16,笠置 博之,0.12,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,1,5,井内 将太郎,A2,37.74,11.57,,6.99,5,-0.5,5,,,52.4,0.0,2026-05-15 06:39:48,28,23.3,53.3,35,小池 礼乃,0.16,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,1,6,堀内 亜海,B2,38.16,12.15,,6.91,1,0.0,6,,,55.0,0.0,2026-05-15 06:39:48,39,30.3,48.5,23,藤山 雅弘,0.18,False,晴,26,24,3,5,東,1
suminoe,2026-05-13,2,1,梶原 正,B1,37.56,11.45,,7.0,6,-0.5,1,,,55.3,0.0,2026-05-15 06:39:53,32,28.1,43.8,31,渋谷 明憲,0.05,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,2,2,古川 誠之,A2,37.28,11.59,,6.89,2,-0.5,3,,,55.0,0.0,2026-05-15 06:39:53,80,45.2,64.5,5,井上 一輝,0.05,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,2,3,田邉 亮蔵,B1,37.6,11.65,,6.89,2,-0.5,4,,,54.4,0.0,2026-05-15 06:39:53,29,48.7,59.0,4,小野 達哉,0.15,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,2,4,栗原 謙治,B2,37.74,11.7,,6.97,5,-0.5,5,,,57.1,0.0,2026-05-15 06:39:53,26,33.3,61.1,17,岡村 仁,0.1,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,2,5,深川 真二,A1,37.45,11.64,,6.92,4,-0.5,2,,,51.0,1.0,2026-05-15 06:39:53,84,30.0,40.0,24,浜本 裕己,0.1,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,2,6,田中 結,B2,37.81,12.0,,6.87,1,-0.5,6,,,47.2,0.0,2026-05-15 06:39:53,12,24.3,35.1,33,藤原 駿,0.1,True,晴,25,24,0,17,不明,1
suminoe,2026-05-13,3,1,大塚 雅治,B1,36.85,11.33,,6.87,2,-0.5,1,,,52.7,0.0,2026-05-15 06:40:01,58,23.5,38.2,34,岡部 大輝,0.19,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,3,2,茶谷 信次,A2,37.11,11.43,,6.87,2,-0.5,2,,,52.0,0.0,2026-05-15 06:40:01,63,25.8,41.9,32,高橋 正男,0.11,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,3,3,八木 治樹,B1,37.81,11.72,,6.9,4,0.0,3,,,53.4,0.0,2026-05-15 06:40:01,85,22.7,40.9,36,宇土 泰就,0.06,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,3,4,中山 翔太,A1,37.57,11.6,,6.82,1,0.0,4,,,52.2,0.0,2026-05-15 06:40:01,14,30.3,63.6,22,小坂 宗司,0.19,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,3,5,谷津 幸宏,A1,37.28,11.37,,6.9,4,-0.5,5,,,52.1,0.0,2026-05-15 06:40:01,69,9.5,23.8,45,来田 衣織,0.02,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,3,6,中谷 朋子,B1,37.87,11.74,,6.9,4,-0.5,6,,,45.5,1.5,2026-05-15 06:40:01,13,28.9,36.8,27,秋末 秦悟,0.23,False,晴,26,24,0,17,不明,1
suminoe,2026-05-13,4,1,伊藤 紘章,B1,37.31,11.51,,6.86,3,-0.5,1,,,52.0,0.0,2026-05-15 06:40:06,66,31.4,42.9,19,岩川 仁士,0.12,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,4,2,重成 一人,A1,37.12,11.36,,6.91,5,0.0,2,,ギヤ,55.1,0.0,2026-05-15 06:40:06,81,19.1,38.1,38,立間 充宏,0.25,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,4,3,富永 大一,A2,37.17,11.59,,6.78,1,-0.5,3,,,53.2,0.0,2026-05-15 06:40:06,24,59.0,71.8,3,原田 秀弥,0.01,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,4,4,新出 浩司,B1,37.43,11.57,,6.91,5,-0.5,4,,,52.4,0.0,2026-05-15 06:40:06,54,41.9,51.6,8,小池 哲也,0.02,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,4,5,平川 香織,A2,37.93,11.76,,6.86,3,-0.5,5,,,46.5,0.5,2026-05-15 06:40:06,61,35.1,62.2,15,渡部 悟,0.12,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,4,6,佐藤 永梧,B1,37.83,11.67,,6.85,2,0.0,6,,,54.6,0.0,2026-05-15 06:40:06,71,42.4,66.7,6,上條 暢嵩,-0.02,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,1,村上 功祐,A2,37.45,11.48,,6.91,4,-0.5,1,,,54.8,0.0,2026-05-15 06:40:12,37,41.7,47.2,9,井上 忠政,0.01,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,2,佃 來紀,B1,36.89,11.29,,6.85,1,-0.5,2,,,52.0,0.0,2026-05-15 06:40:12,64,64.1,76.9,2,小池 修平,0.13,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,3,今泉 徹,B1,37.87,11.55,,7.01,6,-0.5,3,,,52.5,0.0,2026-05-15 06:40:12,76,16.7,33.3,41,泉 具巳,0.11,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,4,倉富 大誠,B1,37.54,11.72,,6.89,3,0.0,4,,,52.0,0.0,2026-05-15 06:40:12,62,30.6,41.7,21,佐藤 大騎,0.06,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,5,長尾 萌加,B1,37.32,11.58,,6.85,1,-0.5,5,,,46.5,0.5,2026-05-15 06:40:12,53,36.8,57.9,13,石本 裕武,0.2,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,5,6,樋口 由加里,A2,37.39,11.62,,6.91,4,-0.5,6,,,45.5,1.5,2026-05-15 06:40:12,18,42.1,57.9,7,秦 英悟,0.29,False,晴,25,24,0,17,不明,1
suminoe,2026-05-13,6,1,松本 真広,B1,37.55,11.7,,6.92,3,-0.5,1,,,51.0,1.0,2026-05-15 06:40:18,22,37.8,51.3,12,石野 貴之,0.01,True,晴,25,24,0,17,不明,1
