chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
,1.0,2026-05-26,2026-05-26 20:52:14,1,B1,0.0,,36.72,11.18,38,4,47.5,67.5,,西村 拓也,1,井上 尚悟,-0.01,6.78,1.0,-0.5,suminoe,27.0,1.0,晴,28.0,52.2,0.0,13.0,西,1.0
,2.0,2026-05-26,2026-05-26 20:52:14,2,B1,0.0,,37.14,11.28,63,39,20.0,40.0,,茶谷 信次,1,中村 真,0.08,6.87,3.0,0.0,suminoe,27.0,1.0,晴,28.0,53.3,0.0,13.0,西,1.0
,3.0,2026-05-26,2026-05-26 20:52:14,3,A2,0.0,,37.24,11.37,85,38,20.0,36.7,,八木 治樹,1,中越 博紀,0.08,6.96,6.0,0.0,suminoe,27.0,1.0,晴,28.0,52.2,0.0,13.0,西,1.0
,4.0,2026-05-26,2026-05-26 20:52:14,4,B1,0.0,,37.43,11.62,67,7,44.2,65.1,,佐々木 大河,1,富永 夏哉人,-0.06,6.87,3.0,0.0,suminoe,27.0,1.0,晴,28.0,52.0,0.0,13.0,西,1.0
,5.0,2026-05-26,2026-05-26 20:52:14,5,B2,0.0,,37.56,11.5,82,17,37.8,64.4,,澁川 夏,1,若林 樹蘭,0.01,6.88,5.0,-0.5,suminoe,27.0,1.0,晴,28.0,52.0,0.0,13.0,西,1.0
,6.0,2026-05-26,2026-05-26 20:52:14,6,B1,0.0,,37.23,11.52,75,27,30.2,44.2,,新井 英孝,1,長谷川 暖,0.23,6.82,2.0,0.0,suminoe,27.0,1.0,晴,28.0,51.0,1.0,13.0,西,1.0
,1.0,2026-05-26,2026-05-26 20:52:23,1,B2,0.0,,37.22,11.35,79,23,33.3,64.1,,橋口 真樹,2,黒田 誠司,0.09,6.84,2.0,0.0,suminoe,27.0,1.0,晴,27.0,53.1,0.0,13.0,西,2.0
,2.0,2026-05-26,2026-05-26 20:52:23,2,B1,0.0,,37.42,11.49,39,29,30.0,45.0,,堀内 亜海,2,渡邊 伸太郎,0.2,6.86,4.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.0,0.0,13.0,西,2.0
,3.0,2026-05-26,2026-05-26 20:52:23,3,B1,0.0,,37.9,11.46,83,20,35.0,52.5,リング×３,桑原 将光,2,市川 健太,0.07,6.84,2.0,0.0,suminoe,27.0,1.0,晴,27.0,53.1,0.0,13.0,西,2.0
,4.0,2026-05-26,2026-05-26 20:52:23,4,A2,0.0,,37.74,11.62,19,12,40.4,68.1,,上田 龍星,2,金子 猛志,0.01,6.82,1.0,-0.5,suminoe,27.0,1.0,晴,27.0,56.5,0.0,13.0,西,2.0
,5.0,2026-05-26,2026-05-26 20:52:23,5,A2,0.0,,37.72,11.66,58,31,28.6,42.9,,大塚 雅治,2,津久井 拓也,-0.07,6.87,5.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.0,0.0,13.0,西,2.0
,6.0,2026-05-26,2026-05-26 20:52:23,6,B2,0.0,,37.73,11.76,78,44,11.1,14.8,,田中 太一郎,2,出口 飛龍,0.24,6.9,6.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.3,0.0,13.0,西,2.0
,1.0,2026-05-26,2026-05-26 20:52:31,1,B1,0.0,,36.8,11.29,59,43,14.0,23.3,,守屋 美穂,3,北川 幸典,0.06,6.85,2.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.0,0.0,11.0,南西,2.0
,2.0,2026-05-26,2026-05-26 20:52:31,2,A1,0.0,,37.26,11.48,68,19,36.7,46.7,,澤田 尚也,3,浜先 真範,0.18,6.89,5.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.4,0.0,11.0,南西,2.0
,3.0,2026-05-26,2026-05-26 20:52:31,3,B1,0.0,,36.5,11.27,80,6,45.0,70.0,,古川 誠之,3,澁川 夏,0.01,6.8,1.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.0,0.0,11.0,南西,2.0
,4.0,2026-05-26,2026-05-26 20:52:31,4,A1,0.0,,37.07,11.27,20,2,55.8,69.8,,竹間 隆晟,3,桑島 和宏,-0.04,6.86,3.0,-0.5,suminoe,27.0,1.0,晴,27.0,55.7,0.0,11.0,南西,2.0
,5.0,2026-05-26,2026-05-26 20:52:31,5,B1,0.0,,38.05,11.89,57,10,40.9,59.1,,山崎 郡,3,中井 俊祐,0.01,6.9,6.0,-0.5,suminoe,27.0,1.0,晴,27.0,52.0,0.0,11.0,南西,2.0
,6.0,2026-05-26,2026-05-26 20:52:31,6,B1,0.0,,37.8,11.66,36,41,14.6,34.2,,小川 時光,3,上田 隆章,0.09,6.88,4.0,0.0,suminoe,27.0,1.0,晴,27.0,52.0,0.0,11.0,南西,2.0
,1.0,2026-05-26,2026-05-26 20:52:38,1,B1,0.0,,37.07,11.52,52,14,38.6,65.9,,松井 繁,4,岡部 浩,0.07,6.86,3.0,-0.5,suminoe,27.0,1.0,晴,26.0,52.0,0.0,17.0,不明,0.0
,2.0,2026-05-26,2026-05-26 20:52:38,2,B2,0.0,,37.26,11.55,35,18,37.5,55.0,,野間 大樹,4,眞崎 武蔵,0.14,6.86,3.0,-0.5,suminoe,27.0,1.0,晴,26.0,52.0,0.0,17.0,不明,0.0
