venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
tamagawa,2026-04-19,1,1,高山 秀雄,B1,37.1,5.9,6.99,6.81,2,0.0,1,,,52.0,0.0,2026-05-15 06:42:19,11,0.0,0.0,47,,0.17,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,1,2,内山 峻輔,B2,37.4,6.03,6.87,6.85,5,0.0,2,,,53.7,0.0,2026-05-15 06:42:19,70,0.0,0.0,40,,0.08,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,1,3,服部 剛,B1,37.77,5.91,6.89,6.79,1,0.0,3,,,51.5,0.5,2026-05-15 06:42:19,56,0.0,0.0,30,,0.18,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,1,4,平野 和明,A2,38.03,6.12,6.97,6.83,3,0.0,4,,,52.1,0.0,2026-05-15 06:42:19,46,0.0,0.0,38,,0.11,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,1,5,汐崎 正則,B1,37.63,5.89,7.04,6.84,4,0.0,5,,,52.6,0.0,2026-05-15 06:42:19,39,0.0,0.0,39,,0.09,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,1,6,沢田 昭宏,A2,37.72,5.87,7.06,6.87,6,0.0,6,,,54.0,0.0,2026-05-15 06:42:19,67,100.0,100.0,7,,0.03,False,晴,21,20,1,3,北東,2
tamagawa,2026-04-19,2,1,宇野 博之,B1,37.15,6.07,6.73,6.77,3,-0.5,1,,,54.4,0.0,2026-05-15 06:42:25,53,100.0,100.0,8,,-0.01,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,2,2,飯島 誠,B1,37.4,5.9,7.01,6.81,4,-0.5,2,,,52.0,0.0,2026-05-15 06:42:25,41,0.0,0.0,43,,-0.01,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,2,3,松山 将吾,A1,36.83,5.83,6.93,6.74,2,0.0,3,,,52.0,0.0,2026-05-15 06:42:25,74,100.0,100.0,3,,0.02,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,2,4,高倉 孝太,B1,37.2,5.87,7.03,6.73,1,0.0,4,,,50.5,1.5,2026-05-15 06:42:25,25,100.0,100.0,2,,-0.08,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,2,5,高野 哲史,A1,37.39,5.45,6.96,6.84,6,0.0,5,,,52.0,0.0,2026-05-15 06:42:25,69,100.0,100.0,4,,0.02,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,2,6,前田 光昭,B2,38.31,6.29,6.86,6.82,5,0.0,6,,,51.5,0.5,2026-05-15 06:42:25,73,0.0,0.0,25,,-0.05,False,晴,22,20,1,3,北東,2
tamagawa,2026-04-19,3,1,伯母 芳恒,B1,36.22,6.28,6.71,6.83,3,0.0,1,,,53.7,0.0,2026-05-15 06:42:31,48,0.0,50.0,29,,0.04,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,3,2,今坂 晃広,B1,37.04,6.03,7.02,6.87,6,-0.5,2,,,53.7,0.0,2026-05-15 06:42:31,22,100.0,100.0,9,,0.08,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,3,3,寺本 昇平,B1,36.93,5.87,6.86,6.82,2,0.0,3,,,50.0,2.0,2026-05-15 06:42:31,18,0.0,0.0,37,,0.11,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,3,4,末永 由楽,A2,37.65,5.91,6.94,6.85,5,0.0,4,,,52.0,0.0,2026-05-15 06:42:31,29,0.0,100.0,34,,0.04,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,3,5,天野 友和,A2,37.13,5.47,7.07,6.84,4,0.0,5,,,52.1,0.0,2026-05-15 06:42:31,16,50.0,100.0,23,,0.01,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,3,6,橋口 真樹,B1,37.12,5.61,6.92,6.77,1,0.0,6,,,52.5,0.0,2026-05-15 06:42:31,64,100.0,100.0,12,,0.06,False,晴,22,20,1,5,東,2
tamagawa,2026-04-19,4,1,杉江 浩明,B1,37.1,6.32,6.74,6.82,4,0.0,1,,,52.0,0.0,2026-05-15 06:42:38,38,0.0,0.0,33,,0.08,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,4,2,岡村 仁,A1,36.79,6.14,6.9,6.8,2,0.0,2,,,54.1,0.0,2026-05-15 06:42:38,17,100.0,100.0,14,,0.14,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,4,3,森 貴洋,B2,36.78,5.82,6.99,6.83,5,0.0,3,,,53.5,0.0,2026-05-15 06:42:38,44,100.0,100.0,10,,0.26,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,4,4,作間 章,A1,37.5,5.76,6.96,6.8,2,0.0,4,,,52.7,0.0,2026-05-15 06:42:38,52,0.0,0.0,24,,0.08,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,4,5,酒井 俊弘,B1,38.47,5.9,7.3,6.65,1,3.0,6,,,52.0,0.0,2026-05-15 06:42:38,66,50.0,50.0,21,,0.07,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,4,6,松本 浩貴,B1,38.08,5.85,7.15,6.88,6,0.0,5,,,52.3,0.0,2026-05-15 06:42:38,49,0.0,0.0,31,,0.17,True,晴,23,20,0,17,不明,2
tamagawa,2026-04-19,5,1,坪内 実,B1,37.0,5.54,6.93,6.8,1,0.0,1,,,53.4,0.0,2026-05-15 06:42:44,62,0.0,0.0,32,,0.01,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,5,2,吉田 俊彦,A1,37.87,5.7,6.93,6.88,5,0.0,2,,,52.1,0.0,2026-05-15 06:42:44,30,0.0,50.0,28,,-0.07,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,5,3,長野 道臣,B1,37.43,5.65,7.09,6.81,2,-0.5,3,,,53.4,0.0,2026-05-15 06:42:44,43,100.0,100.0,5,,0.25,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,5,4,鈴木 博,A2,36.88,5.71,7.08,6.83,4,0.0,4,,,53.5,0.0,2026-05-15 06:42:44,60,100.0,100.0,6,,0.05,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,5,5,吉田 和仁,B1,37.77,5.49,7.2,7.02,6,-0.5,5,,,55.2,0.0,2026-05-15 06:42:44,54,0.0,0.0,44,,0.06,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,5,6,汐崎 正則,B1,37.85,5.86,7.08,6.81,2,0.0,6,,,52.6,0.0,2026-05-15 06:42:44,39,0.0,0.0,39,,0.06,False,晴,24,20,2,7,南東,2
tamagawa,2026-04-19,6,1,野間 大樹,B1,37.16,5.83,6.83,6.8,1,0.0,1,,,51.5,0.5,2026-05-15 06:42:50,13,50.0,50.0,18,,-0.13,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,6,2,高山 秀雄,B1,37.54,5.83,7.23,6.94,5,0.0,2,,,52.0,0.0,2026-05-15 06:42:50,11,0.0,0.0,47,,0.18,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,6,3,野長瀬 正孝,A2,37.11,5.75,7.13,6.94,5,0.0,3,,,52.0,0.0,2026-05-15 06:42:50,63,100.0,100.0,13,,-0.09,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,6,4,山本 寛久,A1,37.09,5.5,7.21,6.86,2,0.0,4,,,52.0,0.0,2026-05-15 06:42:50,55,0.0,100.0,41,,-0.03,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,6,5,小池 修平,A1,36.96,5.58,7.07,6.87,3,-0.5,5,,,52.0,0.0,2026-05-15 06:42:50,34,50.0,100.0,22,,0.03,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,6,6,横井 健太,B1,37.97,5.59,7.27,6.88,4,0.0,6,,,56.9,0.0,2026-05-15 06:42:50,51,0.0,0.0,27,,0.01,False,晴,23,20,4,7,南東,2
tamagawa,2026-04-19,7,1,川尻 泰輔,B1,37.52,5.86,6.8,6.82,4,0.0,1,,,54.8,0.0,2026-05-15 06:42:56,12,0.0,0.0,42,,0.15,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,7,2,三村 岳人,B2,37.28,5.57,7.02,6.78,1,0.0,2,,,51.0,1.0,2026-05-15 06:42:56,71,50.0,50.0,17,,0.05,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,7,3,村上 功祐,A2,37.88,5.63,7.09,6.86,6,0.0,3,,,55.3,0.0,2026-05-15 06:42:56,45,0.0,100.0,35,,0.13,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,7,4,内山 峻輔,B2,37.67,5.89,6.86,6.83,5,0.0,4,,,53.7,0.0,2026-05-15 06:42:56,70,0.0,0.0,40,,0.22,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,7,5,小川 知行,B1,37.93,5.77,7.08,6.81,3,0.0,5,,,52.1,0.0,2026-05-15 06:42:56,58,0.0,0.0,36,,0.19,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,7,6,高野 哲史,A1,37.56,5.58,7.07,6.8,2,0.0,6,,,52.0,0.0,2026-05-15 06:42:56,69,100.0,100.0,4,,0.29,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,8,1,伊藤 誠二,A2,36.7,5.83,6.87,6.83,3,0.0,1,,,52.4,0.0,2026-05-15 06:43:04,40,50.0,50.0,15,,0.08,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,8,2,松本 浩貴,B1,37.75,5.96,7.13,6.88,6,0.0,2,,,52.3,0.0,2026-05-15 06:43:04,49,0.0,0.0,31,,0.13,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,8,3,宇野 博之,B1,37.53,5.85,6.93,6.82,1,-0.5,3,,,54.4,0.0,2026-05-15 06:43:04,53,100.0,100.0,8,,0.06,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,8,4,森 弘行,B1,37.9,5.82,7.07,6.86,4,0.0,4,,,52.0,0.0,2026-05-15 06:43:04,33,0.0,0.0,26,,-0.07,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,8,5,今坂 晃広,B1,37.53,6.0,7.05,6.86,4,-0.5,5,,,53.7,0.0,2026-05-15 06:43:04,22,100.0,100.0,9,,-0.03,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,8,6,石原 翼,A2,37.48,5.78,6.99,6.82,1,0.0,6,,,52.2,0.0,2026-05-15 06:43:04,72,50.0,50.0,20,,0.19,False,晴,24,20,2,5,東,2
tamagawa,2026-04-19,9,1,鈴木 猛,A2,36.7,6.09,6.87,6.84,1,0.0,1,,,53.1,0.0,2026-05-15 06:43:10,50,0.0,50.0,46,,0.04,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,9,2,寺本 昇平,B1,37.44,5.61,6.97,6.87,3,0.0,2,,,50.0,2.0,2026-05-15 06:43:10,18,0.0,0.0,37,,0.03,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,9,3,飯島 誠,B1,38.1,5.9,7.16,6.88,4,-0.5,3,,,52.0,0.0,2026-05-15 06:43:10,41,0.0,0.0,43,,0.07,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,9,4,吉田 俊彦,A1,38.38,6.1,6.97,6.9,6,0.0,4,,,52.1,0.0,2026-05-15 06:43:10,30,0.0,50.0,28,,0.19,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,9,5,杉江 浩明,B1,38.23,5.97,7.0,6.88,4,0.0,5,,,52.0,0.0,2026-05-15 06:43:10,38,0.0,0.0,33,,-0.01,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,9,6,阿波 勝哉,B1,37.46,7.18,6.9,6.85,2,0.0,6,,,55.2,0.0,2026-05-15 06:43:10,59,0.0,0.0,45,,-0.05,False,晴,24,20,3,5,東,2
tamagawa,2026-04-19,10,1,末永 由楽,A2,37.65,6.17,6.86,6.78,1,0.0,1,,,52.0,0.0,2026-05-15 06:43:16,29,0.0,100.0,34,,-0.02,False,晴,24,20,4,5,東,2
