chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.66,1.0,2026-04-28,2026-05-15 06:50:09,1,B1,1.0,,36.5,5.63,67.0,14.0,50.0,70.0,,沢田 昭宏,1,佐藤 永梧,0.32,6.68,2,0.0,tamagawa,20.0,2.0,晴,21.0,54.8,0.0,9.0,南,5.0
6.87,2.0,2026-04-28,2026-05-15 06:50:09,2,A2,1.0,,37.67,5.6,57.0,9.0,63.6,90.9,,後藤 正宗,1,黒澤 めぐみ,0.23,6.73,4,0.0,tamagawa,20.0,2.0,晴,21.0,47.0,0.0,9.0,南,5.0
7.1,3.0,2026-04-28,2026-05-15 06:50:09,3,A2,1.0,,38.34,5.5,72.0,29.0,30.8,76.9,,石原 翼,1,田中 豪,0.07,6.71,3,0.0,tamagawa,20.0,2.0,晴,21.0,52.7,0.0,9.0,南,5.0
7.03,6.0,2026-04-28,2026-05-15 06:50:09,4,B1,1.0,,38.23,6.07,59.0,23.0,40.0,40.0,,阿波 勝哉,1,大月 遊雅,0.05,6.57,1,2.0,tamagawa,20.0,2.0,晴,21.0,52.0,0.0,9.0,南,5.0
7.03,4.0,2026-04-28,2026-05-15 06:50:09,5,B1,1.0,,38.19,5.84,30.0,19.0,45.5,72.7,,吉田 俊彦,1,村上 宗太郎,0.17,6.75,5,0.0,tamagawa,20.0,2.0,晴,21.0,52.2,0.0,9.0,南,5.0
7.26,5.0,2026-04-28,2026-05-15 06:50:09,6,B1,1.0,,37.6,5.77,47.0,37.0,0.0,50.0,,,1,後藤 隼之,0.15,6.86,6,0.0,tamagawa,20.0,2.0,晴,21.0,54.5,0.0,9.0,南,5.0
6.87,1.0,2026-04-28,2026-05-15 06:50:15,1,B1,0.0,,37.47,5.63,31.0,40.0,0.0,0.0,,,2,寺島 美里,0.02,6.75,3,0.0,tamagawa,20.0,2.0,晴,21.0,47.0,0.0,9.0,南,3.0
6.78,2.0,2026-04-28,2026-05-15 06:50:15,2,A1,0.0,,37.26,5.8,28.0,5.0,100.0,100.0,,,2,永井 彪也,0.01,6.73,2,0.0,tamagawa,20.0,2.0,晴,21.0,52.2,0.0,9.0,南,3.0
6.79,3.0,2026-04-28,2026-05-15 06:50:15,3,A1,0.0,,36.96,5.9,25.0,12.0,58.3,66.7,,高倉 孝太,2,佐藤 隆太郎,-0.01,6.7,1,0.0,tamagawa,20.0,2.0,晴,21.0,52.0,0.0,9.0,南,3.0
6.9,4.0,2026-04-28,2026-05-15 06:50:15,4,B1,0.0,,37.5,5.97,55.0,18.0,46.2,84.6,,山本 寛久,2,深澤 達徳,0.09,6.75,3,0.0,tamagawa,20.0,2.0,晴,21.0,52.0,0.0,9.0,南,3.0
