chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.94,1.0,2026-05-05,2026-05-15 07:18:15,1,B1,0.0,,36.9,5.49,11.0,2.0,45.5,56.7,,吉田 翔悟,1,武田 正紀,0.06,6.61,1,-0.5,toda,18.0,1.0,晴,18.0,54.3,0.0,6.0,東南東,2.0
6.93,2.0,2026-05-05,2026-05-15 07:18:15,2,B2,0.0,,37.16,5.54,23.0,47.0,28.9,48.0,,近藤 雄一郎,1,大谷 健太,-0.05,6.62,2,0.0,toda,18.0,1.0,晴,18.0,52.0,0.0,6.0,東南東,2.0
6.84,3.0,2026-05-05,2026-05-15 07:18:15,3,B1,0.0,,37.34,6.41,10.0,20.0,37.6,58.6,,小坂 宗司,1,堂原 洋史,-0.16,6.62,2,-0.5,toda,18.0,1.0,晴,18.0,52.5,0.0,6.0,東南東,2.0
6.97,4.0,2026-05-05,2026-05-15 07:18:15,4,B1,0.0,,38.0,5.4,52.0,46.0,29.0,43.8,,山口 修路,1,滝沢 織寧,-0.19,6.69,4,-0.5,toda,18.0,1.0,晴,18.0,47.1,0.0,6.0,東南東,2.0
7.0,5.0,2026-05-05,2026-05-15 07:18:15,5,B1,0.0,,37.38,5.6,58.0,24.0,36.1,52.4,,白水 勝也,1,小川 竜太朗,-0.2,6.71,5,0.0,toda,18.0,1.0,晴,18.0,52.3,0.0,6.0,東南東,2.0
6.98,6.0,2026-05-05,2026-05-15 07:18:15,6,B2,0.0,,37.53,5.94,31.0,31.0,33.9,53.0,,永井 源,1,谷島 咲希,-0.14,6.73,6,0.0,toda,18.0,1.0,晴,18.0,47.0,0.0,6.0,東南東,2.0
6.91,1.0,2026-05-05,2026-05-15 07:18:20,1,B1,1.0,,36.82,5.63,24.0,12.0,39.0,53.1,,秋元 哲,2,中里 昌志,-0.16,6.68,5,-0.5,toda,18.0,1.0,晴,19.0,52.0,0.0,6.0,東南東,2.0
6.93,2.0,2026-05-05,2026-05-15 07:18:20,2,B2,1.0,,37.86,5.91,30.0,48.0,28.4,41.4,,前出 達吉,2,田中 瀬里奈,-0.01,6.57,2,-0.5,toda,18.0,1.0,晴,19.0,52.4,0.0,6.0,東南東,2.0
7.13,3.0,2026-05-05,2026-05-15 07:18:20,3,B1,1.0,,38.12,5.75,19.0,44.0,29.4,42.8,,柳瀬 幹太,2,伊藤 雄二,-0.12,6.68,5,-0.5,toda,18.0,1.0,晴,19.0,51.0,1.0,6.0,東南東,2.0
7.02,4.0,2026-05-05,2026-05-15 07:18:20,4,A2,1.0,,37.56,5.45,6.0,13.0,39.0,55.8,,佐藤 博亮,2,浅見 昌克,-0.11,6.55,1,-0.5,toda,18.0,1.0,晴,19.0,52.0,0.0,6.0,東南東,2.0
7.14,6.0,2026-05-05,2026-05-15 07:18:20,5,B2,1.0,,37.62,5.52,17.0,37.0,32.4,54.7,,山本 浩次,2,成田 華音,-0.09,6.64,4,-0.5,toda,18.0,1.0,晴,19.0,52.0,0.0,6.0,東南東,2.0
6.94,5.0,2026-05-05,2026-05-15 07:18:20,6,B1,1.0,,36.79,5.42,4.0,3.0,44.9,63.9,,宇佐見 淳,2,楠 将太郎,-0.13,6.62,3,-0.5,toda,18.0,1.0,晴,19.0,52.0,0.0,6.0,東南東,2.0
7.19,1.0,2026-05-05,2026-05-15 07:18:26,1,B1,0.0,,37.2,5.52,25.0,28.0,35.1,46.6,,金児 隆太,3,関口 智久,0.15,6.66,5,-0.5,toda,18.0,1.0,晴,19.0,52.6,0.0,6.0,東南東,3.0
