venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
toda,2026-05-15,1,1,川尻 泰輔,B1,36.53,5.47,6.8,6.66,1,-0.5,1,,シャフト,55.6,0.0,2026-05-16 08:52:34,33,25.9,43.7,46,松田 祐季,0.39,True,晴,18,22,0,17,不明,0
toda,2026-05-15,1,2,小畑 実成,B1,37.46,5.66,7.0,6.69,3,-0.5,2,,,53.9,0.0,2026-05-16 08:52:34,12,37.4,49.5,17,畑田 汰一,0.17,True,晴,18,22,0,17,不明,0
toda,2026-05-15,1,3,中尾 彩香,B1,37.75,6.07,6.77,6.68,2,-0.5,3,,,47.0,0.0,2026-05-16 08:52:34,22,30.1,49.4,37,秋元 哲,0.3,True,晴,18,22,0,17,不明,0
toda,2026-05-15,1,4,竹内 来,B2,37.39,5.68,6.95,6.69,3,0.0,5,,,52.0,0.0,2026-05-16 08:52:34,41,35.1,49.7,24,金子 和之,0.13,True,晴,18,22,0,17,不明,0
toda,2026-05-15,1,5,杉江 浩明,B1,37.81,5.87,6.86,6.7,5,-0.5,6,,,51.5,0.5,2026-05-16 08:52:34,54,36.7,50.0,21,根岸 真優,0.19,True,晴,18,22,0,17,不明,0
toda,2026-05-15,1,6,花本 夏樹,B1,37.89,5.7,7.14,6.79,6,-0.5,4,,,53.3,0.0,2026-05-16 08:52:34,56,26.3,38.5,45,西田 靖,0.31,True,晴,18,22,0,17,不明,0
toda,2026-05-15,2,1,吉永 浩則,B1,37.36,5.4,7.0,6.65,2,-0.5,1,,,53.6,0.0,2026-05-16 08:52:39,42,35.8,59.5,23,中田 竜太,0.07,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,2,2,中村 桃佳,A1,36.73,5.37,6.94,6.65,2,-0.5,2,,,45.5,1.5,2026-05-16 08:52:39,49,38.2,57.6,13,黒井 達矢,-0.01,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,2,3,三浦 裕貴,B1,36.96,5.34,6.95,6.71,6,0.0,3,,,53.6,0.0,2026-05-16 08:52:39,32,29.0,42.6,40,土屋 太朗,0.01,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,2,4,木下 大將,A2,36.88,5.37,6.84,6.56,1,0.0,4,,,52.0,0.0,2026-05-16 08:52:39,36,31.2,50.6,35,赤羽 克也,0.05,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,2,5,早川 颯太,B2,37.26,6.05,6.83,6.67,4,0.0,5,,,51.5,0.5,2026-05-16 08:52:39,40,34.7,52.3,25,河上 年昭,0.13,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,2,6,横井 健太,B1,37.7,5.6,6.97,6.67,4,-0.5,6,,,56.7,0.0,2026-05-16 08:52:39,20,28.1,42.7,43,宮崎 奨,0.02,False,晴,18,22,1,12,西南西,1
toda,2026-05-15,3,1,飯田 庄吾,B1,36.16,5.84,6.75,6.64,1,-0.5,1,,,55.4,0.0,2026-05-16 08:52:44,26,39.9,60.6,7,谷津 幸宏,-0.01,False,晴,18,22,0,17,不明,0
toda,2026-05-15,3,2,萩原 秀人,A1,36.12,5.44,6.97,6.74,4,0.0,2,,,53.0,0.0,2026-05-16 08:52:44,51,31.9,49.7,32,野見山 拓己,0.12,False,晴,18,22,0,17,不明,0
toda,2026-05-15,3,3,本部 めぐみ,B1,37.23,5.73,6.96,6.65,2,-0.5,3,,,45.5,1.5,2026-05-16 08:52:44,1,29.9,45.9,38,中澤 和志,0.11,False,晴,18,22,0,17,不明,0
toda,2026-05-15,3,4,林 祐介,A2,36.79,6.0,6.9,6.69,3,-0.5,4,,,56.4,0.0,2026-05-16 08:52:44,39,28.5,46.8,42,西野 翔太,0.04,False,晴,18,22,0,17,不明,0
toda,2026-05-15,3,5,石田 章央,A2,37.04,5.58,6.9,6.75,5,-0.5,5,,,52.0,0.0,2026-05-16 08:52:44,4,46.0,64.5,2,楠 将太郎,0.03,False,晴,18,22,0,17,不明,0
