chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.99,1.0,2026-05-05,2026-05-15 07:39:28,1,A1,0.0,,36.43,5.62,14.0,3.0,48.8,64.2,,関 裕也,1,宇佐見 淳,0.12,6.72,1.0,-0.5,tokoname,18.0,2.0,晴,16.0,52.0,0.0,1.0,北,4.0
7.1,2.0,2026-05-05,2026-05-15 07:39:28,2,B1,0.0,,37.41,5.52,28.0,41.0,28.2,54.7,,富山 弘幸,1,加藤 翔,0.12,6.72,1.0,-0.5,tokoname,18.0,2.0,晴,16.0,52.0,0.0,1.0,北,4.0
7.21,3.0,2026-05-05,2026-05-15 07:39:28,3,B1,0.0,,38.37,5.57,45.0,44.0,26.2,42.6,,村田 修次,1,塩崎 優司,0.2,6.81,6.0,-0.5,tokoname,18.0,2.0,晴,16.0,52.5,0.0,1.0,北,4.0
7.2,4.0,2026-05-05,2026-05-15 07:39:28,4,B1,0.0,,37.95,5.45,54.0,32.0,32.5,48.3,,籾山 佳岳,1,横田 海人,0.13,6.75,5.0,-0.5,tokoname,18.0,2.0,晴,16.0,51.5,0.5,1.0,北,4.0
7.15,5.0,2026-05-05,2026-05-15 07:39:28,5,B1,0.0,,37.0,5.55,49.0,45.0,24.5,40.6,,牟田 奨太,1,天野 晶夫,0.15,6.72,1.0,0.0,tokoname,18.0,2.0,晴,16.0,52.5,0.0,1.0,北,4.0
7.13,6.0,2026-05-05,2026-05-15 07:39:28,6,B1,0.0,,37.39,5.42,23.0,26.0,33.9,47.6,,杉田 篤光,1,成貞 琳平,0.22,6.74,4.0,-0.5,tokoname,18.0,2.0,晴,16.0,52.6,0.0,1.0,北,4.0
7.08,1.0,2026-05-05,2026-05-15 07:39:35,1,B1,0.0,,36.89,5.48,32.0,33.0,32.5,49.2,リング×１,福田 翔吾,2,杢野 誓良,0.18,6.67,4.0,0.0,tokoname,19.0,1.0,晴,17.0,51.5,0.5,1.0,北,2.0
7.12,2.0,2026-05-05,2026-05-15 07:39:35,2,A2,0.0,,36.9,5.35,9.0,2.0,49.6,60.0,,永田 楽,2,渡邉 俊介,0.12,6.69,5.0,-0.5,tokoname,19.0,1.0,晴,17.0,51.0,1.0,1.0,北,2.0
7.08,3.0,2026-05-05,2026-05-15 07:39:35,3,A2,0.0,,36.54,5.37,31.0,6.0,44.4,56.4,,南 佑典,2,吉田 慎二郎,0.09,6.63,1.0,-0.5,tokoname,19.0,1.0,晴,17.0,54.1,0.0,1.0,北,2.0
7.2,4.0,2026-05-05,2026-05-15 07:39:35,4,B2,0.0,,36.47,5.35,37.0,24.0,34.1,49.2,,上田 龍星,2,一色 颯輝,0.07,6.66,3.0,0.0,tokoname,19.0,1.0,晴,17.0,53.6,0.0,1.0,北,2.0
7.14,5.0,2026-05-05,2026-05-15 07:39:35,5,A2,0.0,,36.3,5.42,6.0,38.0,30.0,46.7,,吉田 翔悟,2,中野 仁照,0.37,6.63,1.0,0.0,tokoname,19.0,1.0,晴,17.0,52.6,0.0,1.0,北,2.0
7.26,6.0,2026-05-05,2026-05-15 07:39:35,6,B1,0.0,,37.36,5.38,20.0,35.0,31.6,44.4,,井田 涼介,2,渥美 卓郎,0.08,6.7,6.0,-0.5,tokoname,19.0,1.0,晴,17.0,54.5,0.0,1.0,北,2.0
7.17,1.0,2026-05-05,2026-05-15 07:39:41,1,B1,1.0,,36.83,5.27,21.0,13.0,38.2,54.5,,齋藤 和政,3,神田 達也,0.02,6.74,6.0,-0.5,tokoname,19.0,0.0,晴,17.0,52.3,0.0,11.0,南西,1.0
6.9,4.0,2026-05-05,2026-05-15 07:39:41,2,A2,1.0,,37.33,6.53,55.0,46.0,23.4,44.9,,里岡 右貴,3,荒木 颯斗,-0.03,6.71,3.0,0.0,tokoname,19.0,0.0,晴,17.0,52.8,0.0,11.0,南西,1.0
7.07,5.0,2026-05-05,2026-05-15 07:39:41,3,A2,1.0,,37.47,5.67,24.0,34.0,32.0,44.3,,宮崎 奏磨,3,吉島 祥之,0.04,6.69,2.0,-0.5,tokoname,19.0,0.0,晴,17.0,52.9,0.0,11.0,南西,1.0
7.1,2.0,2026-05-05,2026-05-15 07:39:41,4,B1,1.0,,37.43,6.3,43.0,19.0,36.1,48.4,,平田 さやか,3,間嶋 仁志,0.11,6.71,3.0,-0.5,tokoname,19.0,0.0,晴,17.0,54.5,0.0,11.0,南西,1.0
7.17,3.0,2026-05-05,2026-05-15 07:39:41,5,A2,1.0,,37.13,5.87,39.0,14.0,37.3,48.3,,塚田 修二,3,北川 潤二,0.02,6.68,1.0,0.0,tokoname,19.0,0.0,晴,17.0,55.7,0.0,11.0,南西,1.0
7.23,6.0,2026-05-05,2026-05-15 07:39:41,6,B1,1.0,,37.07,5.57,56.0,42.0,27.9,46.9,リング×２,西村 勝,3,冨田 秀幸,0.17,6.72,5.0,-0.5,tokoname,19.0,0.0,晴,17.0,52.0,0.0,11.0,南西,1.0
7.06,1.0,2026-05-05,2026-05-15 07:39:47,1,B1,0.0,,37.3,5.31,47.0,15.0,37.2,55.4,,飯島 昌弘,4,西尾 亮輔,0.15,6.69,1.0,0.0,tokoname,19.0,1.0,晴,18.0,52.0,0.0,11.0,南西,2.0
7.19,2.0,2026-05-05,2026-05-15 07:39:47,2,A2,0.0,,37.13,5.39,1.0,25.0,33.9,51.7,,今泉 徹,4,川上 聡介,0.11,6.76,6.0,0.0,tokoname,19.0,1.0,晴,18.0,55.7,0.0,11.0,南西,2.0
7.27,3.0,2026-05-05,2026-05-15 07:39:47,3,A1,0.0,,36.74,5.27,51.0,36.0,31.2,48.0,,一瀬 明,4,平本 真之,0.1,6.73,4.0,-0.5,tokoname,19.0,1.0,晴,18.0,53.9,0.0,11.0,南西,2.0
7.1,4.0,2026-05-05,2026-05-15 07:39:47,4,B2,0.0,,37.04,5.28,35.0,5.0,45.6,62.3,,中嶋 健一郎,4,籾山 佳岳,-0.05,6.72,3.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.0,0.0,11.0,南西,2.0
7.11,5.0,2026-05-05,2026-05-15 07:39:47,5,B1,0.0,,37.32,5.46,42.0,9.0,41.1,58.9,リング×２,権藤 俊光,4,広瀬 聖仁,,6.74,5.0,0.0,tokoname,19.0,1.0,晴,18.0,52.9,0.0,11.0,南西,2.0
7.18,6.0,2026-05-05,2026-05-15 07:39:47,6,A2,0.0,,37.04,5.57,7.0,31.0,32.5,50.8,,藤山 翔大,4,鈴木 裕隆,0.01,6.7,2.0,-0.5,tokoname,19.0,1.0,晴,18.0,55.1,0.0,11.0,南西,2.0
7.14,1.0,2026-05-05,2026-05-15 07:39:53,1,A2,0.0,,37.26,5.51,22.0,23.0,34.4,44.8,,久保原 秀人,5,平野 和明,-0.06,6.68,1.0,0.0,tokoname,19.0,1.0,晴,18.0,52.5,0.0,11.0,南西,2.0
7.14,2.0,2026-05-05,2026-05-15 07:39:53,2,B1,0.0,,36.94,5.44,36.0,28.0,33.3,55.8,,岡部 哲,5,杉山 喜一,-0.02,6.69,2.0,0.0,tokoname,19.0,1.0,晴,18.0,52.0,0.0,11.0,南西,2.0
7.13,3.0,2026-05-05,2026-05-15 07:39:53,3,B1,0.0,,36.94,5.26,17.0,30.0,32.8,48.7,,上條 暢嵩,5,安田 吉宏,-0.11,6.74,5.0,-0.5,tokoname,19.0,1.0,晴,18.0,56.3,0.0,11.0,南西,2.0
7.19,4.0,2026-05-05,2026-05-15 07:39:53,4,B1,0.0,,37.73,5.54,13.0,11.0,38.5,52.5,,金子 怜央,5,岸本 雄貴,-0.12,6.74,5.0,-0.5,tokoname,19.0,1.0,晴,18.0,55.8,0.0,11.0,南西,2.0
7.13,5.0,2026-05-05,2026-05-15 07:39:53,5,A1,0.0,,37.17,5.41,10.0,8.0,41.5,58.5,,須藤 博倫,5,磯部 誠,-0.01,6.7,3.0,0.0,tokoname,19.0,1.0,晴,18.0,53.4,0.0,11.0,南西,2.0
7.14,6.0,2026-05-05,2026-05-15 07:39:53,6,A2,0.0,,37.67,5.23,26.0,27.0,33.3,49.6,,土屋 太朗,5,丹下 将,-0.02,6.7,3.0,-0.5,tokoname,19.0,1.0,晴,18.0,55.2,0.0,11.0,南西,2.0
7.12,1.0,2026-05-05,2026-05-15 07:39:59,1,A1,0.0,,36.33,5.34,30.0,17.0,36.8,57.3,,渡辺 崇,6,吉田 凌太朗,0.08,6.69,1.0,0.0,tokoname,19.0,1.0,晴,18.0,51.5,0.5,9.0,南,2.0
7.15,2.0,2026-05-05,2026-05-15 07:39:59,2,B1,0.0,,37.12,5.37,23.0,26.0,33.9,47.6,,杉田 篤光,6,成貞 琳平,0.18,6.74,5.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.6,0.0,9.0,南,2.0
7.25,3.0,2026-05-05,2026-05-15 07:39:59,3,B1,0.0,,37.27,5.45,19.0,22.0,34.6,54.3,,河合 佑樹,6,河合 三弘,0.09,6.74,5.0,-0.5,tokoname,19.0,1.0,晴,18.0,53.0,0.0,9.0,南,2.0
7.14,4.0,2026-05-05,2026-05-15 07:39:59,4,B2,0.0,,38.43,5.79,58.0,37.0,31.0,44.2,,山田 雄太,6,宮崎 奏磨,0.23,6.71,4.0,0.0,tokoname,19.0,1.0,晴,18.0,53.2,0.0,9.0,南,2.0
7.21,5.0,2026-05-05,2026-05-15 07:39:59,5,A1,0.0,,37.51,5.49,16.0,10.0,40.3,55.8,,野中 一平,6,河村 了,0.02,6.69,1.0,0.0,tokoname,19.0,1.0,晴,18.0,52.0,0.0,9.0,南,2.0
6.96,6.0,2026-05-05,2026-05-15 07:39:59,6,B1,0.0,,37.6,5.69,41.0,39.0,28.7,44.4,,大瀧 明日香,6,村松 遥輝,0.08,6.69,1.0,0.0,tokoname,19.0,1.0,晴,18.0,54.3,0.0,9.0,南,2.0
7.18,1.0,2026-05-05,2026-05-15 07:40:05,1,B1,1.0,,36.76,5.46,49.0,45.0,24.5,40.6,,牟田 奨太,7,天野 晶夫,0.16,6.78,5.0,0.0,tokoname,19.0,1.0,晴,18.0,52.5,0.0,11.0,南西,3.0
7.17,3.0,2026-05-05,2026-05-15 07:40:05,2,B1,1.0,,37.5,5.57,59.0,20.0,36.0,51.3,,古場 輝義,7,今坂 晃広,0.04,6.77,4.0,-0.5,tokoname,19.0,1.0,晴,18.0,53.9,0.0,11.0,南西,3.0
7.02,5.0,2026-05-05,2026-05-15 07:40:05,3,A2,1.0,,36.6,5.43,6.0,38.0,30.0,46.7,,吉田 翔悟,7,中野 仁照,0.05,6.73,2.0,0.0,tokoname,19.0,1.0,晴,18.0,52.6,0.0,11.0,南西,3.0
7.11,4.0,2026-05-05,2026-05-15 07:40:05,4,A2,1.0,,37.03,5.32,24.0,34.0,32.0,44.3,,宮崎 奏磨,7,吉島 祥之,-0.09,6.7,1.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.9,0.0,11.0,南西,3.0
7.19,2.0,2026-05-05,2026-05-15 07:40:05,5,A1,1.0,,37.3,5.43,3.0,4.0,45.7,61.2,,三浦 裕貴,7,赤岩 善生,-0.01,6.8,6.0,-0.5,tokoname,19.0,1.0,晴,18.0,54.9,0.0,11.0,南西,3.0
7.23,6.0,2026-05-05,2026-05-15 07:40:05,6,B1,1.0,,37.87,5.46,60.0,40.0,28.2,47.0,,山本 修一,7,松本 庸平,-0.01,6.74,3.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.0,0.0,11.0,南西,3.0
7.16,1.0,2026-05-05,2026-05-15 07:40:12,1,B1,1.0,,36.82,5.3,52.0,21.0,35.0,53.8,,眞田 英二,8,清水 紀克,-0.01,6.71,2.0,-0.5,tokoname,19.0,1.0,晴,18.0,55.4,0.0,11.0,南西,3.0
7.16,2.0,2026-05-05,2026-05-15 07:40:12,2,B1,1.0,,37.4,5.47,20.0,35.0,31.6,44.4,,井田 涼介,8,渥美 卓郎,0.09,6.75,3.0,-0.5,tokoname,19.0,1.0,晴,18.0,54.5,0.0,11.0,南西,3.0
7.11,3.0,2026-05-05,2026-05-15 07:40:12,3,A1,1.0,,36.63,5.35,5.0,29.0,32.8,53.1,,長畑 友輔,8,前田 聖文,0.13,6.78,6.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.2,0.0,11.0,南西,3.0
7.13,5.0,2026-05-05,2026-05-15 07:40:12,4,B1,1.0,,36.9,5.5,42.0,9.0,41.1,58.9,,権藤 俊光,8,広瀬 聖仁,0.17,6.77,4.0,0.0,tokoname,19.0,1.0,晴,18.0,52.9,0.0,11.0,南西,3.0
7.08,4.0,2026-05-05,2026-05-15 07:40:12,5,A1,1.0,,37.35,6.17,29.0,18.0,36.5,60.0,,磯村 匠,8,仲口 博崇,0.05,6.77,4.0,-0.5,tokoname,19.0,1.0,晴,18.0,52.0,0.0,11.0,南西,3.0
7.05,6.0,2026-05-05,2026-05-15 07:40:12,6,A1,1.0,,36.83,5.46,12.0,7.0,44.2,62.5,,松竹 大輔,8,鰐部 太空海,0.19,6.56,1.0,0.0,tokoname,19.0,1.0,晴,18.0,53.4,0.0,11.0,南西,3.0
7.3,1.0,2026-05-05,2026-05-15 07:40:18,1,B1,0.0,,37.6,5.62,25.0,43.0,27.2,44.8,,中村 紋夕梨,9,後藤 陽介,0.02,6.69,3.0,-0.5,tokoname,19.0,2.0,晴,18.0,55.8,0.0,11.0,南西,4.0
7.18,2.0,2026-05-05,2026-05-15 07:40:18,2,A1,0.0,,37.2,5.46,10.0,8.0,41.5,58.5,,須藤 博倫,9,磯部 誠,0.06,6.69,3.0,-0.5,tokoname,19.0,2.0,晴,18.0,53.6,0.0,11.0,南西,4.0
7.15,3.0,2026-05-05,2026-05-15 07:40:18,3,B1,0.0,,37.25,5.7,28.0,41.0,28.2,54.7,,富山 弘幸,9,加藤 翔,0.09,6.65,1.0,-0.5,tokoname,19.0,2.0,晴,18.0,52.2,0.0,11.0,南西,4.0
7.01,4.0,2026-05-05,2026-05-15 07:40:18,4,A2,0.0,,37.85,6.38,55.0,46.0,23.4,44.9,,里岡 右貴,9,荒木 颯斗,-0.07,6.7,5.0,0.0,tokoname,19.0,2.0,晴,18.0,52.5,0.0,11.0,南西,4.0
7.2,5.0,2026-05-05,2026-05-15 07:40:18,5,A2,0.0,,37.3,5.3,7.0,31.0,32.5,50.8,,藤山 翔大,9,鈴木 裕隆,0.05,6.67,2.0,-0.5,tokoname,19.0,2.0,晴,18.0,54.9,0.0,11.0,南西,4.0
