venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
tokoname,2026-06-16,1,1,石本 裕武,A1,36.46,5.3,7.08,6.72,1,0.0,1,,,52.0,0.0,2026-06-16 10:18:42,32,31.0,44.5,33,中村 駿平,0.12,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,1,2,今泉 友吾,A1,36.7,5.37,7.1,6.76,4,0.0,2,,,52.0,0.0,2026-06-16 10:18:42,1,33.6,51.0,25,石原 翼,0.34,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,1,3,大上 卓人,A1,36.6,5.24,7.17,6.77,5,-0.5,3,,,52.0,0.0,2026-06-16 10:18:42,38,30.9,45.7,34,坂口 諒宗,0.23,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,1,4,定松 勇樹,A1,36.83,5.2,7.23,6.74,3,0.0,4,,,52.0,0.0,2026-06-16 10:18:42,30,44.0,62.3,7,木下 大將,0.13,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,1,5,竹田 和哉,A1,37.33,5.3,7.23,6.78,6,0.0,5,,リング×１,52.1,0.0,2026-06-16 10:18:42,53,41.2,53.9,10,平尾 崇典,0.11,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,1,6,土屋 智則,A1,36.82,5.33,7.2,6.72,1,-0.5,6,,,53.1,0.0,2026-06-16 10:18:42,7,34.2,51.6,23,山口 広樹,0.07,False,晴,24,25,3,5,東,1
tokoname,2026-06-16,2,1,松尾 充,A1,37.18,5.57,7.25,6.79,6,0.0,1,,,52.0,0.0,2026-06-16 10:51:59,23,29.6,45.1,39,谷口 健一,0.07,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,2,2,守屋 美穂,A1,37.07,5.6,7.21,6.69,2,-0.5,2,,,45.5,1.5,2026-06-16 10:51:59,17,29.0,46.5,41,滝沢 織寧,0.14,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,2,3,中嶋 健一郎,A1,37.89,5.57,7.23,6.72,3,0.0,3,,ギヤ,52.0,0.0,2026-06-16 10:51:59,25,30.1,48.5,36,浅見 宗孝,-0.01,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,2,4,久田 敏之,A1,37.51,5.43,7.33,6.77,5,0.0,4,,,52.0,0.0,2026-06-16 10:51:59,28,28.8,51.3,42,板頭 里緒,-0.05,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,2,5,杉山 正樹,A1,37.7,5.93,7.18,6.75,4,0.0,5,,,53.7,0.0,2026-06-16 10:51:59,56,27.6,49.4,47,乃村 康友,0.03,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,2,6,山崎 郡,A1,37.6,5.77,7.22,6.68,1,0.0,6,,,51.5,0.5,2026-06-16 10:51:59,10,41.6,55.3,8,水野 望美,-0.04,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,1,佐々木 完太,A1,36.63,5.4,7.2,6.69,3,-0.5,1,,,52.0,0.0,2026-06-16 11:19:46,24,32.1,43.4,27,真田 聖也,0.01,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,2,井上 忠政,A1,37.33,5.4,7.2,6.67,2,0.5,2,,,52.0,0.0,2026-06-16 11:19:46,42,39.2,54.9,12,藤森 陸斗,-0.1,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,3,中村 晃朋,A1,37.57,5.47,7.2,6.73,5,0.0,3,,,51.0,1.0,2026-06-16 11:19:46,51,37.0,52.1,16,岩橋 裕馬,-0.02,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,4,新田 雄史,A1,38.1,5.43,7.23,6.74,6,0.0,4,,,52.0,0.0,2026-06-16 11:19:46,57,24.0,42.5,48,荒木 颯斗,-0.18,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,5,岩瀬 裕亮,A1,36.9,5.37,7.17,6.63,1,-0.5,5,,,52.0,0.0,2026-06-16 11:19:46,31,41.3,52.3,9,早川 理稀,-0.03,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,3,6,北野 輝季,A1,36.93,6.0,7.13,6.7,4,0.0,6,,キャブ,52.2,0.0,2026-06-16 11:19:46,15,28.5,50.3,44,松井 繁,-0.13,False,曇り,23,25,2,11,南西,1
tokoname,2026-06-16,4,1,村岡 賢人,A1,36.89,5.21,7.14,6.69,1,-0.5,1,,,52.0,0.0,2026-06-16 11:48:54,46,28.7,49.6,43,宮地 秀祈,-0.02,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,4,2,平本 真之,A1,36.93,5.31,7.21,6.71,4,-0.5,2,,,53.2,0.0,2026-06-16 11:48:54,14,49.0,65.2,2,寺田 千恵,0.02,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,4,3,山口 剛,A1,36.8,5.35,7.15,6.71,4,-0.5,3,,,52.9,0.0,2026-06-16 11:48:54,41,28.4,45.3,45,川原 正明,-0.02,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,4,4,白神 優,A1,37.28,5.44,7.09,6.69,1,-0.5,4,,,52.0,0.0,2026-06-16 11:48:54,52,36.1,54.8,19,松下 直也,0.15,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,4,5,辻 栄蔵,A1,36.9,5.61,7.16,6.71,4,0.0,5,,,52.3,0.0,2026-06-16 11:48:54,21,38.3,56.5,13,前野 竜一,0.33,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,4,6,中島 孝平,A1,37.23,5.51,7.19,6.7,3,0.0,6,,,52.0,0.0,2026-06-16 11:48:54,58,31.1,45.3,32,國崎 良春,-0.02,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,5,1,永井 彪也,A1,36.69,5.4,7.19,6.65,2,0.0,1,,,53.0,0.0,2026-06-16 12:18:47,45,27.6,46.7,46,平川 香織,0.1,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,5,2,遠藤 エミ,A1,36.67,5.46,7.24,6.71,4,0.0,2,,,45.5,1.5,2026-06-16 12:18:47,6,29.9,45.8,37,上野 拓馬,,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,5,3,西山 貴浩,A1,37.74,5.51,7.24,6.76,6,-0.5,3,,,52.0,0.0,2026-06-16 12:18:47,16,40.0,56.5,11,吉永 則雄,0.09,False,曇り,23,25,2,9,南,1
tokoname,2026-06-16,5,4,鎌倉 涼,A1,37.77,5.66,7.2,6.73,5,-0.5,4,,,45.5,1.5,2026-06-16 12:18:47,4,30.8,46.8,35,若狭 奈美子,-0.04,False,曇り,23,25,2,9,南,1
