venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
tokuyama,2026-04-20,1,1,是澤 孝宏,A2,38.2,11.97,,7.13,5,0.0,1,,,52.0,0.0,2026-05-15 07:48:40,45,,,3,,0.26,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,1,2,加木 郁,B1,38.14,11.97,,7.1,4,0.0,2,,,52.2,0.0,2026-05-15 07:48:40,25,,,21,,0.23,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,1,3,金子 貴志,B1,38.31,12.07,,7.04,1,0.0,3,,,51.0,1.0,2026-05-15 07:48:40,35,,,28,,0.22,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,1,4,野相 弘司,B1,38.18,11.92,,7.15,6,-0.5,4,,,56.0,0.0,2026-05-15 07:48:40,52,,,27,,0.02,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,1,5,田中 堅,B1,37.93,11.87,,7.06,2,0.0,5,,,52.4,0.0,2026-05-15 07:48:40,51,,,10,,0.07,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,1,6,庄島 潤成,B2,38.37,12.14,,7.08,3,0.0,6,,,54.2,0.0,2026-05-15 07:48:40,48,,,19,,0.09,False,晴,18,16,3,9,南,3
tokuyama,2026-04-20,2,1,福来 剛,A1,37.23,11.53,,6.98,1,0.0,1,,,52.0,0.0,2026-05-15 07:48:45,14,,,7,,0.08,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,2,2,浅見 宗孝,B1,38.3,11.95,,7.12,6,0.0,2,,,56.2,0.0,2026-05-15 07:48:45,26,,,13,,0.34,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,2,3,富永 大一,A2,38.35,12.07,,7.06,4,-0.5,3,,,53.1,0.0,2026-05-15 07:48:45,22,,,33,,0.14,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,2,4,椎名 豊,A1,38.13,12.11,,6.99,2,0.0,4,,,52.6,0.0,2026-05-15 07:48:45,15,,,17,,-0.02,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,2,5,岡部 大輔,B1,38.86,12.23,,7.08,5,-0.5,5,,,52.0,0.0,2026-05-15 07:48:45,11,,,29,,0.17,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,2,6,坂口 貴彦,B1,38.62,12.12,,7.04,3,0.0,6,,,54.6,0.0,2026-05-15 07:48:45,54,,,46,,0.32,False,晴,19,16,3,5,東,3
tokuyama,2026-04-20,3,1,鳥居塚 孝博,A2,37.91,11.83,,7.06,3,0.0,1,,,51.5,0.5,2026-05-15 07:48:52,30,,,22,,0.06,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,3,2,小川 日紀太,B1,37.71,11.74,,7.06,3,-0.5,2,,,52.2,0.0,2026-05-15 07:48:52,49,,,31,,0.09,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,3,3,新田 泰章,A1,38.35,11.98,,7.1,5,-0.5,3,,,52.8,0.0,2026-05-15 07:48:52,28,,,34,,0.16,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,3,4,榮田 将彦,B1,37.87,11.78,,7.13,6,0.0,4,,,52.0,0.0,2026-05-15 07:48:52,21,,,16,,0.08,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,3,5,佃 來紀,B1,38.03,11.71,,7.0,1,0.0,5,,,52.1,0.0,2026-05-15 07:48:52,17,,,23,,0.23,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,3,6,青木 玄太,A1,37.69,11.77,,7.0,1,0.0,6,,,53.2,0.0,2026-05-15 07:48:52,36,,,41,,0.24,False,晴,20,15,4,7,南東,4
tokuyama,2026-04-20,4,1,植田 太一,A1,37.63,11.66,,7.03,1,0.0,1,,,57.0,0.0,2026-05-15 07:48:58,31,,,32,,0.06,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,4,2,坂本 雄紀,A2,37.88,11.81,,7.07,3,-0.5,2,,,52.1,0.0,2026-05-15 07:48:58,53,,,44,,0.11,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,4,3,堂原 洋史,B1,38.36,12.05,,7.08,4,-0.5,3,,,52.0,0.0,2026-05-15 07:48:58,42,,,5,,0.13,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,4,4,松田 憲幸,B1,38.06,11.76,,7.13,6,0.0,4,,,52.6,0.0,2026-05-15 07:48:58,33,,,35,,0.11,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,4,5,柴田 直哉,B1,37.86,11.76,,7.05,2,-0.5,5,,,52.8,0.0,2026-05-15 07:48:58,23,,,2,,0.1,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,4,6,小柳 勝希,B2,38.21,12.1,,7.09,5,0.0,6,,,51.5,0.5,2026-05-15 07:48:58,40,,,4,,0.18,False,晴,20,15,3,7,南東,3
tokuyama,2026-04-20,5,1,久田 武,B1,37.9,11.81,,7.09,4,0.0,1,,,53.0,0.0,2026-05-15 07:49:04,39,,,9,,0.03,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,5,2,半田 尚也,B1,39.21,12.37,,7.11,5,-0.5,2,,,54.6,0.0,2026-05-15 07:49:04,27,,,24,,0.05,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,5,3,藤森 陸斗,A2,38.49,11.97,,7.07,1,0.0,3,,,53.9,0.0,2026-05-15 07:49:04,29,,,26,,0.03,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,5,4,長谷川 暖,B1,37.98,11.88,,7.08,3,-0.5,4,,,52.0,0.0,2026-05-15 07:49:04,43,,,40,,0.03,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,5,5,上野 真之介,A1,38.3,11.91,,7.07,1,0.0,5,,,52.0,0.0,2026-05-15 07:49:04,38,,,43,,0.03,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,5,6,河上 年昭,B1,38.34,11.92,,7.14,6,0.0,6,,,54.6,0.0,2026-05-15 07:49:04,18,,,6,,0.12,False,晴,21,15,4,7,南東,4
tokuyama,2026-04-20,6,1,國弘 翔平,B1,38.14,11.93,,7.04,3,-0.5,1,,,49.5,2.5,2026-05-15 07:49:11,55,,,8,,0.11,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,6,2,柘植 政浩,A2,38.02,11.63,,6.99,1,0.0,2,,,52.0,0.0,2026-05-15 07:49:11,41,,,42,,0.09,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,6,3,坂口 貴彦,B1,38.66,12.2,,7.07,5,-0.5,3,,,54.6,0.0,2026-05-15 07:49:11,54,,,46,,0.17,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,6,4,高野 心吾,B1,38.75,12.12,,7.02,2,0.0,4,,,51.5,0.5,2026-05-15 07:49:11,44,,,18,,0.27,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,6,5,庄島 潤成,B2,38.82,12.01,,7.05,4,0.0,5,,,54.2,0.0,2026-05-15 07:49:11,48,,,19,,0.14,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,6,6,田中 辰彦,A1,37.85,11.59,,7.08,6,0.0,6,,,54.6,0.0,2026-05-15 07:49:11,47,,,38,,0.09,False,晴,21,16,4,7,南東,4
tokuyama,2026-04-20,7,1,北川 敏弘,B1,38.17,11.73,,7.05,5,0.0,1,,,54.3,0.0,2026-05-15 07:49:18,46,,,36,,0.24,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,7,2,新開 航,A1,37.93,11.91,,6.95,1,0.0,2,,,52.0,0.0,2026-05-15 07:49:18,19,,,39,,0.12,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,7,3,佃 來紀,B1,37.67,11.69,,6.96,2,0.0,3,,,52.1,0.0,2026-05-15 07:49:18,17,,,23,,0.04,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,7,4,香月 大介,B1,38.49,12.04,,6.97,3,0.0,4,,,52.5,0.0,2026-05-15 07:49:18,32,,,20,,0.15,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,7,5,是澤 孝宏,A2,38.97,12.04,,7.02,4,0.0,5,,,52.0,0.0,2026-05-15 07:49:18,45,,,3,,0.14,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,7,6,浅見 宗孝,B1,38.22,11.86,,7.06,6,-0.5,6,,,56.2,0.0,2026-05-15 07:49:18,26,,,13,,0.19,False,晴,22,17,2,7,南東,2
tokuyama,2026-04-20,8,1,野相 弘司,B1,37.98,11.65,,7.08,4,-0.5,1,,,56.0,0.0,2026-05-15 07:49:23,52,,,27,,0.05,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,8,2,榮田 将彦,B1,38.24,11.91,,7.06,2,0.0,2,,,52.0,0.0,2026-05-15 07:49:23,21,,,16,,0.13,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,8,3,奈須 啓太,A2,38.59,12.09,,7.07,3,0.0,3,,,52.0,0.0,2026-05-15 07:49:23,34,,,11,,-0.01,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,8,4,須藤 隆雄,B1,39.38,12.53,,7.08,4,0.0,4,,,56.7,0.0,2026-05-15 07:49:23,12,,,14,,0.42,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,8,5,福来 剛,A1,37.9,11.69,,7.0,1,0.0,5,,,52.0,0.0,2026-05-15 07:49:23,14,,,7,,0.13,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,8,6,吉川 颯汰,B2,38.15,11.9,,7.08,4,0.0,6,,,58.0,0.0,2026-05-15 07:49:23,24,,,15,,0.46,False,曇り,22,16,4,9,南,4
tokuyama,2026-04-20,9,1,正木 聖賢,A2,38.28,11.93,,7.08,4,0.0,1,,,55.6,0.0,2026-05-15 07:49:28,13,,,30,,0.09,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,9,2,信濃 由行,B1,38.82,12.09,,7.21,6,0.0,2,,,54.5,0.0,2026-05-15 07:49:28,37,,,25,,0.23,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,9,3,加木 郁,B1,37.89,11.93,,7.06,2,0.0,3,,,52.2,0.0,2026-05-15 07:49:28,25,,,21,,0.08,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,9,4,金田 大輔,B1,37.95,11.92,,7.08,4,0.0,4,,,50.5,1.5,2026-05-15 07:49:28,20,,,37,,0.05,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,9,5,小川 日紀太,B1,38.04,12.03,,7.07,3,0.0,5,,,52.2,0.0,2026-05-15 07:49:28,49,,,31,,0.02,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,9,6,椎名 豊,A1,37.89,11.97,,6.99,1,0.0,6,,,52.6,0.0,2026-05-15 07:49:28,15,,,17,,0.01,False,曇り,20,17,4,9,南,4
tokuyama,2026-04-20,10,1,細川 明人,B1,38.05,11.8,,7.12,3,-0.5,1,,,55.2,0.0,2026-05-15 07:49:35,16,,,12,,0.14,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,10,2,田中 堅,B1,37.89,11.78,,7.12,3,0.0,2,,,52.4,0.0,2026-05-15 07:49:35,51,,,10,,0.11,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,10,3,松田 憲幸,B1,37.97,11.78,,7.13,6,0.0,3,,,52.6,0.0,2026-05-15 07:49:35,33,,,35,,0.14,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,10,4,富永 大一,A2,37.56,11.61,,7.06,1,0.0,4,,,53.1,0.0,2026-05-15 07:49:35,22,,,33,,0.07,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,10,5,島崎 丈一朗,B2,38.22,11.97,,7.09,2,-0.5,5,,,53.6,0.0,2026-05-15 07:49:35,50,,,45,,0.32,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,10,6,新田 泰章,A1,38.26,11.98,,7.12,3,-0.5,6,,,52.8,0.0,2026-05-15 07:49:35,28,,,34,,0.32,False,晴,20,16,4,9,南,4
tokuyama,2026-04-20,11,1,岡部 大輔,B1,38.1,11.84,,7.05,2,-0.5,1,,,52.0,0.0,2026-05-15 07:49:41,11,,,29,,0.05,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,11,2,河上 年昭,B1,38.15,11.84,,7.06,3,0.0,2,,,54.4,0.0,2026-05-15 07:49:41,18,,,6,,0.37,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,11,3,植田 太一,A1,37.99,11.8,,7.07,6,0.0,3,,,57.0,0.0,2026-05-15 07:49:41,31,,,32,,0.15,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,11,4,金子 貴志,B1,38.26,12.09,,7.06,3,0.0,4,,,50.5,1.5,2026-05-15 07:49:41,35,,,28,,0.37,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,11,5,鳥居塚 孝博,A2,38.15,11.77,,7.04,1,0.0,5,,,50.5,1.5,2026-05-15 07:49:41,30,,,22,,0.37,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,11,6,高野 心吾,B1,38.67,12.24,,7.06,3,0.0,6,,,51.0,1.0,2026-05-15 07:49:41,44,,,18,,0.18,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,1,上野 真之介,A1,37.51,11.55,,7.01,4,0.0,1,,,52.0,0.0,2026-05-15 07:49:47,38,,,43,,0.08,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,2,青木 玄太,A1,37.69,11.56,,6.95,1,0.0,2,,,53.2,0.0,2026-05-15 07:49:47,36,,,41,,0.16,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,3,田中 辰彦,A1,37.52,11.63,,7.0,3,0.0,3,,,54.6,0.0,2026-05-15 07:49:47,47,,,38,,0.18,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,4,新開 航,A1,37.87,11.77,,6.97,2,0.5,4,,,52.0,0.0,2026-05-15 07:49:47,19,,,39,,0.22,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,5,奈須 啓太,A2,37.69,11.74,,7.01,4,0.0,5,,,52.0,0.0,2026-05-15 07:49:47,34,,,11,,0.19,False,晴,20,17,4,9,南,4
tokuyama,2026-04-20,12,6,坂本 雄紀,A2,38.02,11.65,,7.03,6,-0.5,6,,,52.1,0.0,2026-05-15 07:49:47,53,,,44,,0.23,False,晴,20,17,4,9,南,4
