chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
,1.0,2026-05-12,2026-05-15 08:09:41,1,A1,0.0,,37.53,11.49,47,8,47.6,66.7,,,1,山本 寛久,0.02,6.91,1.0,0.0,tokuyama,19.0,1.0,晴,18.0,52.0,0.0,3.0,北東,1.0
,2.0,2026-05-12,2026-05-15 08:09:41,2,B1,0.0,,37.4,11.59,33,17,38.9,61.1,,,1,松田 憲幸,0.06,6.91,1.0,0.0,tokuyama,19.0,1.0,晴,18.0,52.0,0.0,3.0,北東,1.0
,3.0,2026-05-12,2026-05-15 08:09:41,3,B1,0.0,,37.54,11.6,31,7,47.6,61.9,,,1,向井田 佑紀,-0.02,6.92,3.0,0.0,tokuyama,19.0,1.0,晴,18.0,50.5,1.5,3.0,北東,1.0
,4.0,2026-05-12,2026-05-15 08:09:41,4,B1,0.0,,37.96,11.9,25,43,17.6,29.4,,加木 郁,1,山崎 祥,-0.01,6.95,4.0,0.0,tokuyama,19.0,1.0,晴,18.0,52.0,0.0,3.0,北東,1.0
,5.0,2026-05-12,2026-05-15 08:09:41,5,B1,0.0,,37.72,11.67,32,16,38.9,61.1,,,1,宮地 博士,0.19,6.99,5.0,0.0,tokuyama,19.0,1.0,晴,18.0,53.6,0.0,3.0,北東,1.0
,6.0,2026-05-12,2026-05-15 08:09:41,6,B1,0.0,,38.33,12.02,38,3,73.7,79.0,,,1,宮嵜 隆太郎,0.11,7.03,6.0,0.0,tokuyama,19.0,1.0,晴,18.0,59.9,0.0,3.0,北東,1.0
,1.0,2026-05-12,2026-05-15 08:09:47,1,A1,0.0,,37.37,11.66,75,45,6.7,46.7,,中井 俊祐,2,岩瀬 裕亮,0.02,6.93,5.0,0.0,tokuyama,19.0,1.0,晴,20.0,52.5,0.0,9.0,南,1.0
,2.0,2026-05-12,2026-05-15 08:09:47,2,B1,0.0,,37.89,11.82,11,19,36.8,63.2,,榮田 将彦,2,井上 大輔,0.01,6.93,5.0,-0.5,tokuyama,19.0,1.0,晴,20.0,52.0,0.0,9.0,南,1.0
,3.0,2026-05-12,2026-05-15 08:09:47,3,A2,0.0,,37.19,11.55,15,12,43.8,56.2,,椎名 豊,2,野長瀬 正孝,0.17,6.87,1.0,0.0,tokuyama,19.0,1.0,晴,20.0,52.0,0.0,9.0,南,1.0
,4.0,2026-05-12,2026-05-15 08:09:47,4,A1,0.0,,37.55,11.65,44,10,43.8,62.5,,高野 心吾,2,小野 達哉,0.13,6.92,3.0,0.0,tokuyama,19.0,1.0,晴,20.0,52.0,0.0,9.0,南,1.0
,5.0,2026-05-12,2026-05-15 08:09:47,5,B1,0.0,,37.59,11.53,29,24,33.3,55.6,,藤森 陸斗,2,田代 達也,0.05,6.9,2.0,0.0,tokuyama,19.0,1.0,晴,20.0,53.6,0.0,9.0,南,1.0
,6.0,2026-05-12,2026-05-15 08:09:47,6,A2,0.0,,37.5,11.62,30,21,33.3,55.6,,鳥居塚 孝博,2,廣瀬 凜,-0.02,6.92,3.0,0.0,tokuyama,19.0,1.0,晴,20.0,52.0,0.0,9.0,南,1.0
,1.0,2026-05-12,2026-05-15 08:09:53,1,A1,0.0,,36.92,11.4,18,31,29.4,52.9,,,3,藤原 啓史朗,0.04,6.9,1.0,0.0,tokuyama,19.0,2.0,晴,21.0,50.5,1.5,9.0,南,2.0
,2.0,2026-05-12,2026-05-15 08:09:53,2,B2,0.0,,37.02,11.5,39,11,43.8,50.0,,久田 武,3,藤井 公人,0.01,6.93,3.0,0.0,tokuyama,19.0,2.0,晴,21.0,55.7,0.0,9.0,南,2.0
,3.0,2026-05-12,2026-05-15 08:09:53,3,B1,0.0,,38.09,11.69,21,25,31.2,37.5,,榮田 将彦,3,宮武 英司,0.01,7.02,6.0,-0.5,tokuyama,19.0,2.0,晴,21.0,55.0,0.0,9.0,南,2.0
,4.0,2026-05-12,2026-05-15 08:09:53,4,A2,0.0,,37.39,11.62,45,44,12.5,12.5,,是澤 孝宏,3,深井 利寿,0.01,6.98,4.0,0.0,tokuyama,19.0,2.0,晴,21.0,52.0,0.0,9.0,南,2.0
,5.0,2026-05-12,2026-05-15 08:09:53,5,B1,0.0,,38.69,12.19,26,42,18.8,31.2,,浅見 宗孝,3,八戸 琉楓,0.11,6.98,4.0,0.0,tokuyama,19.0,2.0,晴,21.0,51.5,0.5,9.0,南,2.0
,6.0,2026-05-12,2026-05-15 08:09:53,6,A2,0.0,,37.75,11.83,13,38,23.5,29.4,,早川 尚人,3,中野 仁照,0.03,6.92,2.0,0.0,tokuyama,19.0,2.0,晴,21.0,52.9,0.0,9.0,南,2.0
,1.0,2026-05-12,2026-05-15 08:09:59,1,A1,0.0,,37.38,11.56,16,22,33.3,47.6,,,4,安河内 将,-0.05,6.97,5.0,-0.5,tokuyama,19.0,3.0,晴,21.0,52.0,0.0,7.0,南東,3.0
,2.0,2026-05-12,2026-05-15 08:09:59,2,A2,0.0,,37.85,11.76,74,26,29.4,41.2,,内田 圭,4,小池 哲也,0.09,6.95,4.0,-0.5,tokuyama,19.0,3.0,晴,21.0,52.7,0.0,7.0,南東,3.0
,3.0,2026-05-12,2026-05-15 08:09:59,3,B1,0.0,,37.58,11.74,49,30,29.4,47.1,,,4,小林 京平,0.07,6.87,1.0,0.0,tokuyama,19.0,3.0,晴,21.0,52.0,0.0,7.0,南東,3.0
,4.0,2026-05-12,2026-05-15 08:09:59,4,B1,0.0,,37.93,11.81,46,15,38.9,44.4,,,4,吉原 聖人,0.17,6.92,2.0,-0.5,tokuyama,19.0,3.0,晴,21.0,51.0,1.0,7.0,南東,3.0
,5.0,2026-05-12,2026-05-15 08:09:59,5,B2,0.0,,38.48,11.96,42,40,22.2,38.9,,,4,内山 峻輔,0.16,6.92,2.0,0.0,tokuyama,19.0,3.0,晴,21.0,53.8,0.0,7.0,南東,3.0
,6.0,2026-05-12,2026-05-15 08:09:59,6,B1,0.0,,38.25,11.98,37,37,25.0,56.2,,,4,川添 英正,0.12,7.02,6.0,-0.5,tokuyama,19.0,3.0,晴,21.0,52.0,0.0,7.0,南東,3.0
,1.0,2026-05-12,2026-05-15 08:10:05,1,A2,0.0,,37.27,11.53,40,32,27.8,27.8,,,5,鶴田 勇雄,0.11,6.9,1.0,0.0,tokuyama,19.0,2.0,晴,21.0,52.2,0.0,7.0,南東,2.0
,2.0,2026-05-12,2026-05-15 08:10:05,2,B1,0.0,,37.7,11.66,19,2,88.9,100.0,,新開 航,5,川上 清人,0.25,6.98,5.0,0.0,tokuyama,19.0,2.0,晴,21.0,64.6,0.0,7.0,南東,2.0
,3.0,2026-05-12,2026-05-15 08:10:05,3,B1,0.0,,37.73,11.68,14,6,52.9,64.7,,福来 剛,5,町田 洸希,0.11,6.93,3.0,0.0,tokuyama,19.0,2.0,晴,21.0,52.0,0.0,7.0,南東,2.0
,4.0,2026-05-12,2026-05-15 08:10:05,4,A1,0.0,,37.41,11.66,41,33,27.8,44.4,,柘植 政浩,5,中田 竜太,0.14,6.93,3.0,0.0,tokuyama,19.0,2.0,晴,21.0,51.5,0.5,7.0,南東,2.0
,5.0,2026-05-12,2026-05-15 08:10:05,5,B1,0.0,,37.92,12.01,72,13,42.9,71.4,,,5,石井 孝之,0.03,6.9,1.0,0.0,tokuyama,19.0,2.0,晴,21.0,55.7,0.0,7.0,南東,2.0
,6.0,2026-05-12,2026-05-15 08:10:05,6,A2,0.0,,37.94,11.73,22,29,29.4,47.1,,富永 大一,5,鈴木 猛,0.15,6.99,6.0,0.0,tokuyama,19.0,2.0,晴,21.0,53.5,0.0,7.0,南東,2.0
,1.0,2026-05-12,2026-05-15 08:10:12,1,A2,1.0,,37.53,11.58,34,36,25.0,60.0,,,6,本橋 克洋,0.17,6.99,6.0,0.0,tokuyama,19.0,2.0,晴,22.0,53.7,0.0,9.0,南,2.0
,2.0,2026-05-12,2026-05-15 08:10:12,2,B1,1.0,,37.65,11.86,50,27,29.4,41.2,,島崎 丈一朗,6,樋口 範政,0.17,6.94,3.0,-0.5,tokuyama,19.0,2.0,晴,22.0,54.5,0.0,9.0,南,2.0
,3.0,2026-05-12,2026-05-15 08:10:12,3,A2,1.0,,37.69,11.6,27,35,25.0,25.0,,半田 尚也,6,宗行 治哉,0.14,6.94,3.0,-0.5,tokuyama,19.0,2.0,晴,22.0,52.4,0.0,9.0,南,2.0
,4.0,2026-05-12,2026-05-15 08:10:12,4,B1,1.0,,37.65,11.54,36,4,60.0,65.0,,,6,梶山 涼斗,0.05,6.93,2.0,-0.5,tokuyama,19.0,2.0,晴,22.0,53.4,0.0,9.0,南,2.0
,6.0,2026-05-12,2026-05-15 08:10:12,5,B2,1.0,,37.93,11.49,43,28,29.4,52.9,,,6,西村 仁吾,0.31,6.95,5.0,0.0,tokuyama,19.0,2.0,晴,22.0,53.6,0.0,9.0,南,2.0
,5.0,2026-05-12,2026-05-15 08:10:12,6,A1,1.0,,37.41,11.54,20,18,37.5,50.0,,金田 大輔,6,平田 忠則,-0.01,6.86,1.0,2.0,tokuyama,19.0,2.0,晴,22.0,53.7,0.0,9.0,南,2.0
,1.0,2026-05-12,2026-05-15 08:10:18,1,B1,0.0,,37.8,11.7,21,25,31.2,37.5,,榮田 将彦,7,宮武 英司,0.11,6.95,2.0,0.0,tokuyama,19.0,2.0,晴,23.0,55.0,0.0,9.0,南,2.0
,2.0,2026-05-12,2026-05-15 08:10:18,2,B1,0.0,,38.22,11.78,73,39,23.5,35.3,,広次 修,7,川合 理司,0.16,7.05,6.0,0.0,tokuyama,19.0,2.0,晴,23.0,63.6,0.0,9.0,南,2.0
,3.0,2026-05-12,2026-05-15 08:10:18,3,A2,0.0,,37.86,11.57,30,21,33.3,55.6,,鳥居塚 孝博,7,廣瀬 凜,0.11,6.97,3.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,9.0,南,2.0
,4.0,2026-05-12,2026-05-15 08:10:18,4,A2,0.0,,37.83,12.01,35,14,41.2,47.1,,金子 貴志,7,石塚 久也,0.13,6.84,1.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,9.0,南,2.0
,5.0,2026-05-12,2026-05-15 08:10:18,5,B1,0.0,,37.84,11.55,33,17,38.9,61.1,,,7,松田 憲幸,0.09,6.98,4.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,9.0,南,2.0
,6.0,2026-05-12,2026-05-15 08:10:18,6,A1,0.0,,37.79,11.71,24,41,18.8,50.0,,吉川 颯汰,7,柳沢 一,0.06,6.98,4.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,9.0,南,2.0
,1.0,2026-05-12,2026-05-15 08:10:27,1,B1,1.0,,37.84,11.84,46,15,38.9,44.4,,,8,吉原 聖人,-0.12,6.94,3.0,-0.5,tokuyama,19.0,2.0,晴,23.0,51.0,1.0,7.0,南東,2.0
,2.0,2026-05-12,2026-05-15 08:10:27,2,A1,1.0,,37.37,11.45,17,9,44.4,66.7,,佃 來紀,8,上田 龍星,-0.11,6.88,1.0,-0.5,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,7.0,南東,2.0
,3.0,2026-05-12,2026-05-15 08:10:27,3,B1,1.0,,37.95,12.01,25,43,17.6,29.4,,加木 郁,8,山崎 祥,-0.17,6.94,3.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,7.0,南東,2.0
,6.0,2026-05-12,2026-05-15 08:10:27,4,B1,1.0,,38.32,12.15,26,42,18.8,31.2,,浅見 宗孝,8,八戸 琉楓,0.02,7.01,6.0,0.0,tokuyama,19.0,2.0,晴,23.0,51.5,0.5,7.0,南東,2.0
,5.0,2026-05-12,2026-05-15 08:10:27,5,B1,1.0,,37.69,11.83,28,20,35.3,64.7,,新田 泰章,8,田中 宏樹,0.07,6.93,2.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.9,0.0,7.0,南東,2.0
,4.0,2026-05-12,2026-05-15 08:10:27,6,A2,1.0,,37.4,11.74,15,12,43.8,56.2,,椎名 豊,8,野長瀬 正孝,-0.11,6.95,5.0,0.0,tokuyama,19.0,2.0,晴,23.0,52.0,0.0,7.0,南東,2.0
,1.0,2026-05-12,2026-05-15 08:10:33,1,A2,0.0,,37.29,11.6,45,44,12.5,12.5,,是澤 孝宏,9,深井 利寿,0.09,7.03,5.0,0.0,tokuyama,19.0,2.0,晴,22.0,52.0,0.0,7.0,南東,2.0
,2.0,2026-05-12,2026-05-15 08:10:33,2,B1,0.0,,37.39,11.76,29,24,33.3,55.6,,藤森 陸斗,9,田代 達也,0.01,6.98,3.0,0.0,tokuyama,19.0,2.0,晴,22.0,53.6,0.0,7.0,南東,2.0
,3.0,2026-05-12,2026-05-15 08:10:33,3,B1,0.0,,37.82,11.95,23,5,55.6,55.6,,柴田 直哉,9,原田 雄次,0.06,6.98,3.0,0.0,tokuyama,19.0,2.0,晴,22.0,52.6,0.0,7.0,南東,2.0
,4.0,2026-05-12,2026-05-15 08:10:33,4,A1,0.0,,37.48,11.74,47,8,47.6,66.7,,,9,山本 寛久,0.01,6.97,2.0,0.0,tokuyama,19.0,2.0,晴,22.0,52.0,0.0,7.0,南東,2.0
,5.0,2026-05-12,2026-05-15 08:10:33,5,B1,0.0,,37.86,11.89,19,2,88.9,100.0,,新開 航,9,川上 清人,0.04,7.03,5.0,0.0,tokuyama,19.0,2.0,晴,22.0,64.6,0.0,7.0,南東,2.0
