venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
tsu,2026-05-04,1,1,荒川 健太,,2026-05-15 08:32:32,67,35.6,50.7,23,大澤 真菜
tsu,2026-05-04,1,2,黒田 誠司,,2026-05-15 08:32:32,63,30.3,52.6,32,武富 智亮
tsu,2026-05-04,1,3,藤田 竜弘,,2026-05-15 08:32:32,72,32.9,45.7,28,松田 真実
tsu,2026-05-04,1,4,乃村 康友,,2026-05-15 08:32:32,22,27.5,50.7,39,岡村 慶太
tsu,2026-05-04,1,5,小森 信雄,,2026-05-15 08:32:32,71,24.6,45.6,41,土屋 実沙希
tsu,2026-05-04,1,6,石田 勇斗,,2026-05-15 08:32:32,27,36.9,47.7,17,谷口 佳蓮
tsu,2026-05-04,2,1,森 竜也,,2026-05-15 08:32:57,23,27.5,47.1,40,河内 悠利杏
tsu,2026-05-04,2,2,渡邊 裕貴,,2026-05-15 08:32:57,68,32.8,43.8,29,加藤 綾
tsu,2026-05-04,2,3,安藤 裕貴,,2026-05-15 08:32:57,35,35.2,59.2,24,石塚 久也
tsu,2026-05-04,2,4,岡 祐臣,,2026-05-15 08:32:57,18,34.0,49.1,26,日隈 茜
tsu,2026-05-04,2,5,後藤 孝義,,2026-05-15 08:32:57,11,20.8,43.4,44,川崎 智幸
tsu,2026-05-04,2,6,中村 楓,,2026-05-15 08:32:57,73,28.6,46.0,38,内山 七海
tsu,2026-05-04,3,1,中北 将史,,2026-05-15 08:33:23,56,30.8,58.5,30,武田 正紀
tsu,2026-05-04,3,2,畑 竜生,,2026-05-15 08:33:23,14,23.9,38.8,42,塚越 海斗
tsu,2026-05-04,3,3,澤 大介,,2026-05-15 08:33:23,41,37.7,58.0,16,松村 康太
tsu,2026-05-04,3,4,松尾 拓,,2026-05-15 08:33:23,13,30.4,35.7,31,毒島 誠
tsu,2026-05-04,3,5,倉富 大誠,,2026-05-15 08:33:23,24,37.7,56.6,15,本部 めぐみ
tsu,2026-05-04,3,6,花本 夏樹,,2026-05-15 08:33:23,25,36.1,45.9,19,吉田 裕平
tsu,2026-05-04,4,1,花田 和明,,2026-05-15 08:33:47,51,38.5,56.9,13,濱崎 寿里矢
tsu,2026-05-04,4,2,大橋 純一郎,,2026-05-15 08:33:47,46,41.7,52.8,7,加藤 綾
tsu,2026-05-04,4,3,淺香 文武,,2026-05-15 08:33:47,57,20.3,28.8,45,堤 昇
tsu,2026-05-04,4,4,豊田 健士郎,,2026-05-15 08:33:47,37,41.4,60.0,8,松田 淳平
tsu,2026-05-04,4,5,松田 淳平,,2026-05-15 08:33:47,39,42.6,52.5,4,市川 瑚幸
tsu,2026-05-04,4,6,鳥本 智史,,2026-05-15 08:33:47,53,29.3,43.1,37,向井田 真紀
tsu,2026-05-04,5,1,春園 功太,,2026-05-15 08:34:12,50,35.9,46.9,20,倉持 莉々
tsu,2026-05-04,5,2,樋口 範政,,2026-05-15 08:34:12,43,36.2,43.1,18,濱崎 直矢
tsu,2026-05-04,5,3,大江 純,,2026-05-15 08:34:12,19,19.2,41.0,46,鈴木 祐美子
tsu,2026-05-04,5,4,香川 陽太,,2026-05-15 08:34:12,33,33.8,48.0,27,金子 賢志
tsu,2026-05-04,5,5,星野 太郎,,2026-05-15 08:34:12,44,41.4,60.3,9,下出 卓矢
tsu,2026-05-04,5,6,渡邊 雄斗,,2026-05-15 08:34:12,30,17.6,29.4,47,島田 なぎさ
tsu,2026-05-04,6,1,上野 拓馬,,2026-05-15 08:34:37,15,44.0,62.0,2,鶴田 勇雄
tsu,2026-05-04,6,2,坂口 周,,2026-05-15 08:34:37,40,30.0,43.3,34,小倉 康典
tsu,2026-05-04,6,3,茶谷 信次,,2026-05-15 08:34:37,60,35.9,60.4,22,豊田 結
tsu,2026-05-04,6,4,中山 翔太,,2026-05-15 08:34:37,36,29.6,42.6,36,今井 美亜
tsu,2026-05-04,6,5,黒田 誠司,,2026-05-15 08:34:37,63,30.3,52.6,32,武富 智亮
tsu,2026-05-04,6,6,西山 育,,2026-05-15 08:34:37,61,35.9,53.1,21,山川 波乙
tsu,2026-05-04,7,1,宇留田 翔平,,2026-05-15 08:35:01,31,30.2,49.2,33,戸敷 晃美
tsu,2026-05-04,7,2,後藤 孝義,,2026-05-15 08:35:01,11,20.8,43.4,44,川崎 智幸
tsu,2026-05-04,7,3,松井 洪弥,,2026-05-15 08:35:01,16,29.8,56.1,35,宮崎 安奈
tsu,2026-05-04,7,4,松尾 充,,2026-05-15 08:35:01,49,38.1,49.2,14,倉田 茂将
tsu,2026-05-04,7,5,花本 夏樹,,2026-05-15 08:35:01,25,36.1,45.9,19,吉田 裕平
tsu,2026-05-04,7,6,小森 信雄,,2026-05-15 08:35:01,71,24.6,45.6,41,土屋 実沙希
tsu,2026-05-04,8,1,浜野 孝志,,2026-05-15 08:35:27,64,40.4,53.8,10,西田 和加
tsu,2026-05-04,8,2,伊藤 紘章,,2026-05-15 08:35:27,38,42.2,62.5,5,尾上 雅也
tsu,2026-05-04,8,3,吉田 和仁,,2026-05-15 08:35:27,54,22.0,40.7,43,谷口 健一
tsu,2026-05-04,8,4,新田 雄史,,2026-05-15 08:35:27,21,43.8,59.4,3,上原 健次郎
tsu,2026-05-04,8,5,澤 大介,,2026-05-15 08:35:27,41,37.7,58.0,16,松村 康太
tsu,2026-05-04,8,6,南 佑典,,2026-05-15 08:35:27,62,39.7,48.3,12,野田 なづき
tsu,2026-05-04,9,1,中嶋 健一郎,,2026-05-15 08:35:51,48,41.9,64.5,6,安田 吉宏
tsu,2026-05-04,9,2,大江 純,,2026-05-15 08:35:51,19,19.2,41.0,46,鈴木 祐美子
tsu,2026-05-04,9,3,安達 裕樹,,2026-05-15 08:35:51,58,34.0,54.0,25,大澤 普司
tsu,2026-05-04,9,4,森 竜也,,2026-05-15 08:35:51,23,27.5,47.1,40,河内 悠利杏
tsu,2026-05-04,9,5,中島 秀治,,2026-05-15 08:35:51,20,40.4,50.9,11,松本 庸平
tsu,2026-05-04,9,6,倉富 大誠,,2026-05-15 08:35:51,24,37.7,56.6,15,本部 めぐみ
tsu,2026-05-04,10,1,中山 翔太,,2026-05-15 08:36:16,36,29.6,42.6,36,今井 美亜
tsu,2026-05-04,10,2,豊田 健士郎,,2026-05-15 08:36:16,37,41.4,60.0,8,松田 淳平
tsu,2026-05-04,10,3,岡 祐臣,,2026-05-15 08:36:16,18,34.0,49.1,26,日隈 茜
tsu,2026-05-04,10,4,畑 竜生,,2026-05-15 08:36:16,14,23.9,38.8,42,塚越 海斗
tsu,2026-05-04,10,5,中北 将史,,2026-05-15 08:36:16,56,30.8,58.5,30,武田 正紀
tsu,2026-05-04,10,6,荒川 健太,,2026-05-15 08:36:16,67,35.6,50.7,23,大澤 真菜
tsu,2026-05-04,11,1,松尾 充,,2026-05-15 08:36:42,49,38.1,49.2,14,倉田 茂将
tsu,2026-05-04,11,2,松田 淳平,,2026-05-15 08:36:42,39,42.6,52.5,4,市川 瑚幸
tsu,2026-05-04,11,3,松尾 拓,,2026-05-15 08:36:42,13,30.4,35.7,31,毒島 誠
tsu,2026-05-04,11,4,大橋 純一郎,,2026-05-15 08:36:42,46,41.7,52.8,7,加藤 綾
tsu,2026-05-04,11,5,春園 功太,,2026-05-15 08:36:42,50,35.9,46.9,20,倉持 莉々
tsu,2026-05-04,11,6,上野 拓馬,,2026-05-15 08:36:42,15,44.0,62.0,2,鶴田 勇雄
tsu,2026-05-04,12,1,新田 雄史,,2026-05-15 08:37:06,21,43.8,59.4,3,上原 健次郎
tsu,2026-05-04,12,2,星野 太郎,,2026-05-15 08:37:06,44,41.4,60.3,9,下出 卓矢
tsu,2026-05-04,12,3,乃村 康友,,2026-05-15 08:37:06,22,27.5,50.7,39,岡村 慶太
tsu,2026-05-04,12,4,坂口 周,,2026-05-15 08:37:06,40,30.0,43.3,34,小倉 康典
tsu,2026-05-04,12,5,宇留田 翔平,,2026-05-15 08:37:06,31,30.2,49.2,33,戸敷 晃美
tsu,2026-05-04,12,6,花田 和明,,2026-05-15 08:37:06,51,38.5,56.9,13,濱崎 寿里矢
