chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
8.68,1.0,2026-05-24,2026-05-24 10:19:38,1,A2,0.0,,36.73,4.43,50.0,13.0,34.5,42.9,,川島 拓郎,1,木下 雄介,0.12,6.92,4,0.0,tsu,23.0,2.0,曇り,22.0,51.5,0.5,6.0,東南東,3.0
8.31,2.0,2026-05-24,2026-05-24 10:19:38,2,B1,0.0,,37.3,5.07,64.0,7.0,38.0,49.3,,西丸 侑太朗,1,樋江井 舞,-0.01,6.81,1,-0.5,tsu,23.0,2.0,曇り,22.0,45.5,1.5,6.0,東南東,3.0
8.33,3.0,2026-05-24,2026-05-24 10:19:38,3,B1,0.0,,37.3,5.13,12.0,41.0,17.7,26.6,,久永 祥平,1,幸田 智裕,0.04,6.9,2,0.0,tsu,23.0,2.0,曇り,22.0,52.2,0.0,6.0,東南東,3.0
8.9,4.0,2026-05-24,2026-05-24 10:19:38,4,B1,0.0,,38.3,4.7,45.0,40.0,19.1,34.9,,濱崎 誠,1,森林 太,0.04,6.96,5,-0.5,tsu,23.0,2.0,曇り,22.0,53.3,0.0,6.0,東南東,3.0
8.7,5.0,2026-05-24,2026-05-24 10:19:38,5,B1,0.0,,38.36,4.87,60.0,30.0,27.1,48.6,,佐藤 旭,1,松本 庸平,0.06,6.9,2,-0.5,tsu,23.0,2.0,曇り,22.0,51.5,0.5,6.0,東南東,3.0
8.9,6.0,2026-05-24,2026-05-24 10:19:38,6,B1,0.0,,37.57,4.83,72.0,27.0,30.0,46.7,,永井 亮次,1,山崎 鉄平,0.05,6.98,6,0.0,tsu,23.0,2.0,曇り,22.0,52.3,0.0,6.0,東南東,3.0
8.99,1.0,2026-05-24,2026-05-24 10:49:34,1,B1,0.0,,37.8,4.67,59.0,29.0,28.1,44.9,,中 亮太,2,中野 孝二,0.17,6.89,4,-0.5,tsu,23.0,2.0,曇り,23.0,54.2,0.0,6.0,東南東,4.0
8.65,2.0,2026-05-24,2026-05-24 10:49:34,2,B1,0.0,,37.8,4.94,14.0,32.0,25.3,40.5,,畑 竜生,2,数原 魁,0.04,6.88,3,0.0,tsu,23.0,2.0,曇り,23.0,52.0,0.0,6.0,東南東,4.0
8.5,3.0,2026-05-24,2026-05-24 10:49:34,3,B1,0.0,,37.79,5.23,33.0,28.0,29.9,47.1,,香川 陽太,2,梅原 祥平,0.06,6.75,1,0.0,tsu,23.0,2.0,曇り,23.0,52.0,0.0,6.0,東南東,4.0
8.83,4.0,2026-05-24,2026-05-24 10:49:34,4,B1,0.0,,37.94,4.66,28.0,9.0,37.4,57.8,,上之 晃弘,2,齋藤 和政,-0.03,6.9,5,-0.5,tsu,23.0,2.0,曇り,23.0,52.7,0.0,6.0,東南東,4.0
8.6,5.0,2026-05-24,2026-05-24 10:49:34,5,B1,0.0,,38.43,5.53,47.0,34.0,24.7,37.7,,森 智也,2,松瀬 弘美,-0.13,6.91,6,-0.5,tsu,23.0,2.0,曇り,23.0,46.5,0.5,6.0,東南東,4.0
8.74,6.0,2026-05-24,2026-05-24 10:49:34,6,B1,0.0,,38.17,5.2,32.0,25.0,31.0,60.3,,佐々木 英樹,2,渡辺 千草,-0.04,6.86,2,-0.5,tsu,23.0,2.0,曇り,23.0,48.3,0.0,6.0,東南東,4.0
8.52,1.0,2026-05-24,2026-05-24 11:13:28,1,B1,0.0,,37.21,4.64,68.0,23.0,31.3,42.2,リング×２,山崎 義明,3,西尾 亮輔,0.16,6.81,1,-0.5,tsu,23.0,2.0,曇り,23.0,52.0,0.0,6.0,東南東,4.0
8.63,2.0,2026-05-24,2026-05-24 11:13:28,2,B1,0.0,,37.53,5.07,56.0,18.0,33.3,57.7,,中北 将史,3,金子 順一,0.16,6.82,2,0.0,tsu,23.0,2.0,曇り,23.0,52.0,0.0,6.0,東南東,4.0
8.53,3.0,2026-05-24,2026-05-24 11:13:28,3,A2,0.0,,37.6,4.82,46.0,12.0,35.2,45.1,リング×４,川崎 智稔,3,島川 光男,0.03,6.88,5,0.0,tsu,23.0,2.0,曇り,23.0,52.4,0.0,6.0,東南東,4.0
8.64,4.0,2026-05-24,2026-05-24 11:13:28,4,A2,0.0,,38.0,4.87,34.0,26.0,30.0,45.7,キャブ,竹田 辰也,3,清水 攻二,,6.9,6,0.0,tsu,23.0,2.0,曇り,23.0,52.0,0.0,6.0,東南東,4.0
8.55,5.0,2026-05-24,2026-05-24 11:13:28,5,A1,0.0,,38.07,4.8,16.0,10.0,35.5,57.9,,秋山 広一,3,田中 和也,0.02,6.86,4,-0.5,tsu,23.0,2.0,曇り,23.0,52.1,0.0,6.0,東南東,4.0
8.5,6.0,2026-05-24,2026-05-24 11:13:28,6,B2,0.0,,37.87,4.9,19.0,36.0,23.0,48.0,,森野 正弘,3,宇恵 有香,0.05,6.84,3,0.0,tsu,23.0,2.0,曇り,23.0,46.5,0.5,6.0,東南東,4.0
8.77,1.0,2026-05-24,2026-05-24 11:42:46,1,B1,0.0,,37.73,4.43,40.0,16.0,33.8,48.8,,溝口 海義也,4,小野寺 智洋,-0.11,6.75,1,-0.5,tsu,23.0,2.0,晴,23.0,51.5,0.5,6.0,東南東,4.0
8.81,2.0,2026-05-24,2026-05-24 11:42:46,2,A2,0.0,,37.81,4.8,52.0,14.0,34.2,44.3,,大峯 豊,4,丸尾 義孝,-0.09,6.88,5,-0.5,tsu,23.0,2.0,晴,23.0,52.0,0.0,6.0,東南東,4.0
8.97,3.0,2026-05-24,2026-05-24 11:42:46,3,A2,0.0,,37.97,4.87,58.0,22.0,31.3,49.2,,石川 真二,4,照屋 厚仁,0.17,6.87,3,0.0,tsu,23.0,2.0,晴,23.0,51.5,0.5,6.0,東南東,4.0
8.82,4.0,2026-05-24,2026-05-24 11:42:46,4,A1,0.0,,37.37,4.66,54.0,31.0,26.1,42.0,,吉田 和仁,4,福島 勇樹,-0.01,6.87,3,-0.5,tsu,23.0,2.0,晴,23.0,52.0,0.0,6.0,東南東,4.0
8.78,5.0,2026-05-24,2026-05-24 11:42:46,5,B1,0.0,,38.68,5.05,73.0,19.0,32.9,50.0,,山田 哲也,4,亀本 勇樹,-0.02,6.93,6,-0.5,tsu,23.0,2.0,晴,23.0,58.5,0.0,6.0,東南東,4.0
8.63,6.0,2026-05-24,2026-05-24 11:42:46,6,B2,0.0,,37.63,5.23,61.0,24.0,31.1,46.0,,西山 育,4,一ノ木 匠,-0.05,6.85,2,0.0,tsu,23.0,2.0,晴,23.0,52.0,0.0,6.0,東南東,4.0
8.7,1.0,2026-05-24,2026-05-24 12:09:40,1,A2,0.0,,37.03,4.57,57.0,38.0,20.3,33.3,,淺香 文武,5,枝尾 賢,0.07,6.95,4,0.0,tsu,23.0,3.0,晴,23.0,52.3,0.0,6.0,東南東,5.0
