venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
tsu,2026-06-16,1,1,松田 淳平,A2,36.87,4.4,8.67,6.85,3,-0.5,1,,,52.3,0.0,2026-06-16 10:28:51,15,31.6,51.3,27,木村 紗友希,0.13,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,1,2,石川 哲秀,B1,38.2,4.87,8.53,6.9,5,-0.5,2,,,56.3,0.0,2026-06-16 10:28:51,53,31.9,46.8,25,,0.06,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,1,3,橋本 年光,B1,37.83,4.67,8.5,6.91,6,0.0,3,,,52.4,0.0,2026-06-16 10:28:51,23,27.3,44.3,39,鈴木 博,0.08,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,1,4,鈴木 柊介,B2,37.9,4.8,8.6,6.86,4,-0.5,4,,,56.3,0.0,2026-06-16 10:28:51,64,35.4,50.0,11,坂口 周,-0.06,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,1,5,松本 真広,B1,37.71,4.92,8.47,6.81,2,0.5,5,,,51.0,1.0,2026-06-16 10:28:51,43,31.3,43.4,29,藤山 翔大,0.03,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,1,6,石井 孝之,B1,37.33,5.07,8.37,6.73,1,0.0,6,,,54.8,0.0,2026-06-16 10:28:51,56,35.1,57.5,12,,-0.04,False,曇り,23,24,2,6,東南東,1
tsu,2026-06-16,2,1,中北 将史,B1,37.23,4.83,8.77,6.85,6,0.0,1,,,52.4,0.0,2026-06-16 10:57:05,34,27.4,45.3,38,原 豊土,0.1,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,2,2,眞鳥 康太,B1,37.68,4.78,8.4,6.74,1,0.0,2,,,53.9,0.0,2026-06-16 10:57:05,67,33.7,46.5,20,,0.17,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,2,3,横田 茂,B1,37.73,5.0,8.67,6.79,4,0.0,3,,,51.0,1.0,2026-06-16 10:57:05,49,43.4,53.0,2,,0.15,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,2,4,小澤 学,B1,37.41,5.02,8.47,6.74,1,-0.5,4,,,53.4,0.0,2026-06-16 10:57:05,62,33.7,43.5,18,前田 光昭,0.06,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,2,5,八木 治樹,B1,37.4,4.83,8.57,6.79,4,0.0,5,,,53.7,0.0,2026-06-16 10:57:05,39,37.5,47.1,7,小川 晃司,0.02,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,2,6,宮崎 奏磨,B2,39.07,5.17,8.68,6.74,1,0.0,6,,,53.4,0.0,2026-06-16 10:57:05,18,36.4,56.8,9,,0.05,False,曇り,24,25,2,6,東南東,1
tsu,2026-06-16,3,1,濱崎 誠,B1,37.0,4.87,8.6,6.77,1,0.0,1,,リング×３,52.0,0.0,2026-06-16 11:25:16,66,21.7,29.3,46,,0.1,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,3,2,岡本 大,B1,37.46,5.47,8.33,6.83,4,0.5,2,,,53.6,0.0,2026-06-16 11:25:16,45,24.7,40.3,42,,0.24,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,3,3,古田 祐貴,A2,37.84,5.23,8.57,6.77,1,0.0,3,,,52.0,0.0,2026-06-16 11:25:16,61,31.0,45.0,31,,0.01,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,3,4,丸山 祐也,B1,38.57,5.47,8.56,6.87,6,0.0,4,,,50.0,2.0,2026-06-16 11:25:16,27,34.7,46.9,14,今泉 友吾,-0.11,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,3,5,塚越 陸斗,B2,37.83,5.13,8.6,6.84,5,0.0,6,,,53.3,0.0,2026-06-16 11:25:16,48,34.0,54.4,16,淺香 文武,0.13,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,3,6,前沢 丈史,A1,37.66,5.0,8.5,6.79,3,0.0,5,,,53.9,0.0,2026-06-16 11:25:16,22,38.0,59.3,6,,-0.2,True,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,4,1,森下 勇,B1,37.2,4.67,8.65,6.87,4,-0.5,1,,,55.2,0.0,2026-06-16 11:53:11,58,28.6,45.1,35,汐崎 正則,0.05,False,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,4,2,赤坂 俊輔,A1,37.34,4.4,8.63,6.88,5,-0.5,2,,,52.2,0.0,2026-06-16 11:53:11,63,31.0,50.4,32,,0.06,False,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,4,3,丹下 将,A2,38.43,4.5,8.7,6.9,6,0.0,3,,,56.5,0.0,2026-06-16 11:53:11,24,39.1,57.5,5,,0.07,False,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,4,4,山崎 聖司,B1,37.85,4.78,8.53,6.81,3,0.0,4,,,52.0,0.0,2026-06-16 11:53:11,60,29.7,50.0,33,,0.09,False,曇り,25,25,2,6,東南東,1
tsu,2026-06-16,4,5,篠田 優也,A2,38.03,4.93,8.67,6.77,2,0.0,5,,,54.0,0.0,2026-06-16 11:53:11,44,40.8,56.6,3,,0.2,False,曇り,25,25,2,6,東南東,1
