venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
wakamatsu,2026-04-24,1,1,藤田 美代,B1,37.9,5.99,6.26,7.0,1,-0.5,1,,,45.0,2.0,2026-05-15 08:56:59,33,29.2,55.2,36,岸蔭 亮,0.03,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,1,2,赤井 星璃菜,B2,37.88,5.99,6.37,7.03,2,0.0,2,,,50.1,0.0,2026-05-15 08:56:59,61,29.4,44.7,35,山田 竜一,0.04,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,1,3,西澤 日花里,B1,38.04,6.08,6.26,7.13,6,0.0,3,,,47.1,0.0,2026-05-15 08:56:59,22,32.9,54.9,25,西野 翔太,0.24,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,1,4,冨名腰 桃奈,B1,37.99,6.16,6.21,7.06,3,0.0,4,,,46.5,0.5,2026-05-15 08:56:59,18,30.0,41.1,31,向井 美鈴,0.16,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,1,5,中里 優子,B1,38.08,6.09,6.24,7.06,3,0.0,5,,,48.5,0.0,2026-05-15 08:56:59,12,28.4,47.7,38,山本 景士郎,0.11,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,1,6,池 千夏,B1,38.73,6.26,6.28,7.09,5,0.0,6,,,49.9,0.0,2026-05-15 08:56:59,4,40.9,65.9,9,森作 雄大,0.05,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,2,1,大久保 佑香,B1,37.71,5.89,6.2,7.03,3,0.0,1,,,43.5,3.5,2026-05-15 08:57:06,31,36.8,49.4,15,竹田 辰也,-0.31,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,2,2,五反田 忍,B2,38.46,6.2,6.25,6.99,1,0.5,3,,,50.1,0.0,2026-05-15 08:57:06,20,39.3,53.6,12,藤山 翔大,0.11,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,2,3,犬童 千秋,B1,38.31,6.06,6.28,7.01,2,-0.5,4,,,48.8,0.0,2026-05-15 08:57:06,42,39.8,56.8,11,西村 拓也,0.11,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,2,4,小野 桜,B1,38.66,5.92,6.31,7.08,4,-0.5,5,,,46.0,1.0,2026-05-15 08:57:06,2,30.9,38.3,29,淺田 千亜希,0.04,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,2,5,池田 奈津美,B1,38.47,6.04,6.32,7.11,6,0.0,2,,,52.1,0.0,2026-05-15 08:57:06,29,29.4,48.2,34,花本 夏樹,0.03,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,2,6,川野 芽唯,A1,38.38,5.95,6.31,7.08,4,0.0,6,,リング×２,47.0,0.0,2026-05-15 08:57:06,32,36.4,54.5,16,前原 大道,0.04,True,晴,18,16,5,4,東北東,5
wakamatsu,2026-04-24,3,1,木村 紗友希,B1,38.09,6.01,6.31,7.09,4,0.0,1,,,47.0,0.0,2026-05-15 08:57:13,59,36.3,53.8,17,深井 利寿,0.27,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,3,2,坂本 奈央,B2,39.69,6.55,6.38,7.17,6,0.0,2,,,47.9,0.0,2026-05-15 08:57:13,50,35.3,52.9,19,片橋 幸貴,0.01,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,3,3,落合 直子,A2,38.89,6.29,6.31,7.07,2,-0.5,3,,,47.0,0.0,2026-05-15 08:57:13,11,29.8,44.7,33,松尾 拓,-0.03,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,3,4,植木 美帆,B1,39.57,6.65,6.45,7.12,5,0.0,4,,,48.0,0.0,2026-05-15 08:57:13,30,25.9,44.7,41,大澤 誠也,-0.03,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,3,5,魚谷 香織,A2,38.68,6.12,6.26,7.05,1,0.0,5,,,46.0,1.0,2026-05-15 08:57:13,23,41.9,63.9,7,橋本 英一,0.13,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,3,6,津田 裕絵,A2,38.82,6.29,6.28,7.07,2,0.5,6,,,49.7,0.0,2026-05-15 08:57:13,48,29.1,50.6,37,渡邉 翼,-0.03,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,1,松瀬 弘美,B1,,5.86,6.19,6.97,3,0.0,1,,,45.5,1.5,2026-05-15 08:57:19,41,34.0,51.0,24,篠田 優也,0.05,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,2,西橋 奈未,A1,,6.03,6.16,6.96,2,0.0,2,,,47.0,0.0,2026-05-15 08:57:19,62,23.3,39.5,43,星田 夢結,0.14,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,3,岩崎 麗子,B1,,6.29,6.21,6.97,3,0.0,3,,,47.9,0.0,2026-05-15 08:57:19,5,41.7,61.9,8,山田 真聖,0.04,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,4,山下 友貴,B1,,5.92,6.2,7.04,5,0.0,4,,,44.0,3.0,2026-05-15 08:57:19,26,32.1,55.6,27,村田 修次,0.21,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,5,久保田 凪紗,B2,,6.56,6.21,7.08,6,-0.5,5,,ピストン×２,45.0,2.0,2026-05-15 08:57:19,34,40.2,58.6,10,萬 正嗣,0.29,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,4,6,小芦 るり華,A1,,5.9,6.15,6.91,1,0.0,6,,,47.1,0.0,2026-05-15 08:57:19,58,27.5,37.4,39,恵良 琴美,0.29,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,1,米丸 乃絵,A1,,5.8,6.23,6.98,4,0.0,1,,,47.0,0.0,2026-05-15 08:57:26,47,36.8,50.0,14,中村 駿平,0.03,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,2,三浦 永理,A1,,5.86,6.19,6.92,1,-0.5,2,,,47.0,0.0,2026-05-15 08:57:26,51,48.0,67.5,3,内山 七海,0.09,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,3,神里 琴音,B1,,6.02,6.17,7.0,5,-0.5,3,,,44.0,3.0,2026-05-15 08:57:26,1,24.5,40.4,42,室田 泰史,0.07,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,4,喜井 つかさ,A2,,6.1,6.27,6.93,2,0.0,4,,,47.3,0.0,2026-05-15 08:57:26,60,26.0,45.5,40,原田 才一郎,0.08,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,5,渡邉 真奈美,B1,,6.33,6.17,7.01,6,-0.5,5,,,46.5,0.5,2026-05-15 08:57:26,13,34.8,49.4,20,松本 博昭,0.07,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,5,6,冨名腰 桃奈,B1,,6.17,6.16,6.96,3,0.0,6,,,46.5,0.5,2026-05-15 08:57:26,18,30.0,41.1,31,向井 美鈴,0.09,False,晴,17,16,6,4,東北東,6
wakamatsu,2026-04-24,6,1,中里 優子,B1,,6.34,6.3,7.01,3,0.0,1,,,48.5,0.0,2026-05-15 08:57:32,12,28.4,47.7,38,山本 景士郎,0.18,False,晴,17,16,6,4,東北東,6
