chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.08,1.0,2026-05-03,2026-05-15 09:06:30,1,B1,0.0,,37.51,5.75,62.0,41.0,26.3,42.1,,西橋 奈未,1,前田 健太郎,0.09,6.89,4.0,0.0,wakamatsu,18.0,4.0,雨,20.0,55.2,0.0,14.0,西北西,4.0
6.11,2.0,2026-05-03,2026-05-15 09:06:30,2,B2,0.0,,37.46,5.73,8.0,16.0,35.6,51.7,,城間 盛渚,1,村本 大成,0.09,6.84,3.0,0.0,wakamatsu,18.0,4.0,雨,20.0,52.8,0.0,14.0,西北西,4.0
6.19,3.0,2026-05-03,2026-05-15 09:06:30,3,B1,0.0,,38.37,5.97,52.0,23.0,33.3,48.3,,久保原 秀人,1,長尾 京志郎,-0.04,6.96,6.0,-0.5,wakamatsu,18.0,4.0,雨,20.0,51.5,0.5,14.0,西北西,4.0
6.16,4.0,2026-05-03,2026-05-15 09:06:30,4,B1,0.0,,38.0,5.95,31.0,19.0,35.0,48.4,,大久保 佑香,1,野見山 拓己,0.15,6.82,1.0,-0.5,wakamatsu,18.0,4.0,雨,20.0,52.8,0.0,14.0,西北西,4.0
6.15,5.0,2026-05-03,2026-05-15 09:06:30,5,B1,0.0,,37.97,5.92,34.0,14.0,37.5,56.2,,久保田 凪紗,1,伊藤 尚汰,-0.05,6.82,1.0,0.0,wakamatsu,18.0,4.0,雨,20.0,50.0,2.0,14.0,西北西,4.0
6.15,6.0,2026-05-03,2026-05-15 09:06:30,6,B1,0.0,,37.82,5.73,37.0,35.0,29.0,39.8,,小畑 楓夏,1,大場 広孝,0.09,6.89,4.0,-0.5,wakamatsu,18.0,4.0,雨,20.0,55.2,0.0,14.0,西北西,4.0
6.16,1.0,2026-05-03,2026-05-15 09:06:38,1,B1,0.0,,37.57,5.82,28.0,25.0,33.0,44.7,,武田 光史,2,井芹 大志,0.25,6.86,3.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,54.2,0.0,14.0,西北西,3.0
6.19,2.0,2026-05-03,2026-05-15 09:06:38,2,B1,0.0,,38.42,5.79,53.0,44.0,23.5,38.3,ピストン×２,間野 兼礼,2,富田 恕生,0.21,6.94,6.0,0.0,wakamatsu,18.0,3.0,雨,19.0,52.4,0.0,14.0,西北西,3.0
6.18,3.0,2026-05-03,2026-05-15 09:06:38,3,A2,0.0,,37.98,5.76,43.0,29.0,31.2,54.2,,市川 美宏,2,鶴田 勇雄,0.11,6.93,5.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,52.3,0.0,14.0,西北西,3.0
6.17,4.0,2026-05-03,2026-05-15 09:06:38,4,B1,0.0,,38.85,5.92,40.0,15.0,35.9,51.5,,前田 紗希,2,土井 歩夢,0.03,6.84,1.0,0.0,wakamatsu,18.0,3.0,雨,19.0,52.0,0.0,14.0,西北西,3.0
6.15,5.0,2026-05-03,2026-05-15 09:06:38,5,B1,0.0,,38.4,5.92,47.0,10.0,39.1,51.7,,米丸 乃絵,2,森清 友翔,-0.08,6.9,4.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,52.7,0.0,14.0,西北西,3.0
6.24,6.0,2026-05-03,2026-05-15 09:06:38,6,A1,0.0,,38.31,5.92,45.0,17.0,35.4,45.8,,横澤 剛治,2,平田 忠則,0.18,6.84,1.0,3.0,wakamatsu,18.0,3.0,雨,19.0,52.7,0.0,14.0,西北西,3.0
6.18,1.0,2026-05-03,2026-05-15 09:06:49,1,B1,0.0,,37.78,5.74,48.0,33.0,30.7,53.4,,津田 裕絵,3,宮地 秀祈,0.1,6.86,4.0,-0.5,wakamatsu,18.0,2.0,雨,19.0,52.0,0.0,14.0,西北西,2.0
6.06,2.0,2026-05-03,2026-05-15 09:06:49,2,B1,0.0,,37.62,5.83,5.0,6.0,40.9,61.3,,岩崎 麗子,3,原田 雄次,0.09,6.83,2.0,0.0,wakamatsu,18.0,2.0,雨,19.0,52.1,0.0,14.0,西北西,2.0
6.09,3.0,2026-05-03,2026-05-15 09:06:49,3,B1,0.0,,37.96,5.76,51.0,2.0,50.6,69.0,,三浦 永理,3,松井 貫太,,6.81,1.0,-0.5,wakamatsu,18.0,2.0,雨,19.0,52.0,0.0,14.0,西北西,2.0
6.17,4.0,2026-05-03,2026-05-15 09:06:49,4,B2,0.0,,37.67,5.72,26.0,30.0,31.1,53.3,,山下 友貴,3,佐藤 謙史朗,0.11,6.89,5.0,0.0,wakamatsu,18.0,2.0,雨,19.0,54.7,0.0,14.0,西北西,2.0
6.18,5.0,2026-05-03,2026-05-15 09:06:49,5,A1,0.0,,37.73,5.73,49.0,3.0,50.0,69.8,,山本 梨菜,3,塩田 北斗,-0.05,6.85,3.0,-0.5,wakamatsu,18.0,2.0,雨,19.0,53.1,0.0,14.0,西北西,2.0
6.19,6.0,2026-05-03,2026-05-15 09:06:49,6,A1,0.0,,38.21,5.88,55.0,45.0,20.5,48.2,リング×１,浜崎 準也,3,江夏 満,0.24,6.94,6.0,0.0,wakamatsu,18.0,2.0,雨,19.0,52.0,0.0,14.0,西北西,2.0
6.12,1.0,2026-05-03,2026-05-15 09:07:01,1,B1,0.0,,37.53,5.8,60.0,38.0,27.3,45.5,,喜井 つかさ,4,岩崎 正哉,0.07,6.87,6.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,52.2,0.0,14.0,西北西,3.0
6.12,2.0,2026-05-03,2026-05-15 09:07:01,2,A1,0.0,,37.53,5.73,27.0,43.0,24.1,29.9,,山田 丈,4,瓜生 正義,0.11,6.82,2.0,0.0,wakamatsu,18.0,3.0,雨,19.0,52.4,0.0,14.0,西北西,3.0
6.15,3.0,2026-05-03,2026-05-15 09:07:01,3,A1,0.0,,37.41,5.62,15.0,18.0,35.1,54.3,,今井 裕梨,4,石倉 洋行,0.12,6.81,1.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,53.3,0.0,14.0,西北西,3.0
6.17,4.0,2026-05-03,2026-05-15 09:07:01,4,B1,0.0,,38.52,5.82,3.0,24.0,33.0,51.5,,湯淺 紀香,4,大賀 龍之介,0.41,6.86,5.0,0.0,wakamatsu,18.0,3.0,雨,19.0,52.9,0.0,14.0,西北西,3.0
6.12,5.0,2026-05-03,2026-05-15 09:07:01,5,A2,0.0,,38.26,5.77,25.0,4.0,43.3,57.8,,中谷 朋子,4,水摩 敦,0.51,6.85,4.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,52.1,0.0,14.0,西北西,3.0
6.1,6.0,2026-05-03,2026-05-15 09:07:01,6,B1,0.0,,37.88,5.63,35.0,9.0,39.6,51.0,,深見 亜由美,4,山口 広樹,0.27,6.84,3.0,0.0,wakamatsu,18.0,3.0,雨,19.0,52.8,0.0,14.0,西北西,3.0
6.12,1.0,2026-05-03,2026-05-15 09:07:20,1,A1,0.0,,37.48,5.64,13.0,20.0,34.7,49.0,,渡邉 真奈美,5,今井 貴士,0.07,6.88,4.0,-0.5,wakamatsu,18.0,3.0,雨,19.0,55.6,0.0,14.0,西北西,3.0
