日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,鳴門,1,1,角谷健吾,A2,37.70,1,◎,65.5415,,0,89.7,0.1519,3.0064,,,0,低,85,0,逃1%,2 264,0,94.3,1.289,0.6786,,,,,0.2214,0.0143,0.1036,◎,,B,◎,,,0.632,,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,0,0,0.6194,0,,逃げ軸流し,A
2025-02-02,鳴門,1,2,赤池修平,B1,27.42,2,,6.9472,22.7,100,35.3,0.1796,4.2843,,,0,低,135,0,-,4 555,0,81.8,1.5616,,,,,,0.0444,0.3111,0.3333,,,E,△,,0.0775,0.614,,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,,,,,,,
2025-02-02,鳴門,1,3,田中孝明,B1,35.82,3,▲,9.7202,49.6,53,44.6,0.1618,3.7462,,,0,低,165,0,-,6 436,0,53,1.1594,0,0,0,0.0345,0,0.0632,0.5053,0.2421,,,C,,,0.2305,0.5735,,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,,,,,,,
2025-02-02,鳴門,1,4,近藤友宝,B1,38.42,4,○,14.0334,11.1,75,31.9,0.1745,3.234,,,0,低,119,0,ま1%,534 5,0,35.5,0.7504,0,0,0.0526,0,0,0.2889,0.2111,0.1667,,,B,,◎,0.2027,0.5765,0.2792,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,,,,,,,
2025-02-02,鳴門,1,5,岩永節也,B1,34.65,5,△,2.6184,15.8,81,23.4,0.2006,4.7872,,,0,低,117,0,-,3 6 62,0,26.4,0.6717,,,,,,0.3647,0.2706,0.2471,,,C,△,,0.1579,0.5985,,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,,,,,,,
2025-02-02,鳴門,1,6,下田哲也,B1,33.50,6,,1.1392,0.7,47,8.9,0.1876,4.5667,,,0,低,104,0,-,546 4,0,29.9,0.8361,,,,,,0.3333,0.1667,0.25,,,D,○,,0.1964,0.615,,0.5934,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.4734,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1074, 'est_top_odds': 12.4, 'circle_concentration': 72.4, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=65.5%（本命度） / 最有力組み合わせ確率: 0.107（推定実オッズ?12倍） / 2着集中度: 上位2艇 72.4%（補正+0.04） / 総合判定確率: 0.147 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,30.2,逃げ狙い,10.98,30.9,2,,,,,,,,,,,
2025-02-02,鳴門,2,1,渡辺空依,B2,37.57,1,◎,50.9689,,0,83.3,0.1729,3.2917,,,0,低,103,0,逃0%,2 2436,0,87.6,1.1551,0.4286,,,,,0.0286,0.1143,0.0286,○,,C,,,,0.54,,0.3705,B,53,0,◎○△フォーメーション（15〜20点）,0.4734,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0518, 'est_top_odds': 25.7, 'circle_concentration': 59.1, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.052（推定実オッズ?26倍） / 2着集中度: 上位2艇 59.1%（補正+0.00） / 総合判定確率: 0.052 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,12.72,27.3,3,,,,,0,0,0.5044,0,,主役軸流し,B
2025-02-02,鳴門,2,2,菅沼佳昭,B1,38.54,2,△,11.391,24.1,100,36.1,0.1892,4.1111,,,0,低,189,0,差0%,2 2 63,0,44.4,0.6719,0,0.0294,0,0,0,0.0667,0.3111,0.0444,,,C,△,,0.1418,0.6165,,0.3705,B,53,0,◎○△フォーメーション（15〜20点）,0.4734,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0518, 'est_top_odds': 25.7, 'circle_concentration': 59.1, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.052（推定実オッズ?26倍） / 2着集中度: 上位2艇 59.1%（補正+0.00） / 総合判定確率: 0.052 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,12.72,27.3,3,,,,,,,,,,,
2025-02-02,鳴門,2,3,滝沢芳行,A2,34.34,3,○,21.8166,31.1,80,47.5,0.1428,2.7869,,,0,低,85,0,-,3 4 54,0,30.2,0.6821,0,0.0357,0.1071,0,0,0.18,0.18,0.064,,◎,D,○,,0.4511,0.628,,0.3705,B,53,0,◎○△フォーメーション（15〜20点）,0.4734,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0518, 'est_top_odds': 25.7, 'circle_concentration': 59.1, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.052（推定実オッズ?26倍） / 2着集中度: 上位2艇 59.1%（補正+0.00） / 総合判定確率: 0.052 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,12.72,27.3,3,,,,,,,,,,,
2025-02-02,鳴門,2,4,沢田昭宏,B1,41.36,4,▲,10.5244,28,79,47.2,0.191,4.1944,,,0,低,170,0,-,3 611,0,52.3,1.0806,,,,,,0.0114,0.1771,0.1286,,,B,△,,0.2413,0.611,,0.3705,B,53,0,◎○△フォーメーション（15〜20点）,0.4734,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0518, 'est_top_odds': 25.7, 'circle_concentration': 59.1, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.052（推定実オッズ?26倍） / 2着集中度: 上位2艇 59.1%（補正+0.00） / 総合判定確率: 0.052 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,12.72,27.3,3,,,,,,,,,,,
