日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,びわこ,1,1,土屋太朗,B1,29.21,1,○,40.797,,0,58,0.2068,3.82,,,0,低,138,0,逃0%,645,0,59.8,0.7944,0.2,,,,,0.2114,0.1657,0.3114,,,C,△,,,0.5975,,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|1-2-4,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|6-1-4|1-2-4|5-1-6|5-1-4|5-4-1,2-1-4:2.83%|2-1-3:2.56%|2-1-5:1.18%|2-3-1:1.12%|2-4-1:1.02%|2-3-4:0.74%|2-4-3:0.61%|1-2-4:5.42%,2-1-4:B_main|2-1-3:B_main|2-1-5:B_main|2-3-1:B_main|2-4-1:B_main|2-3-4:B_main|2-4-3:B_main|1-2-4:A,8,12,0.2523,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-02-02,びわこ,1,2,岡部貴司,B1,33.73,2,▲,19.1965,40.2,51,50.8,0.1637,2.9923,,,0,低,100,0,差0%,333,0,82.5,0.944,0,0.0385,0,0,0,0.4043,0.3696,0.0522,,◎,B,△,,0.5887,0.583,,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,,,,,,,,,,,
2025-02-02,びわこ,1,3,伊倉　光,B1,31.43,3,△,10.3178,17.9,39,35.5,0.1621,3.3306,,,0,低,104,0,-,453,0,30.3,0.5421,0,0,0,0.0333,0,0.2262,0.0762,0.0952,,△,C,○,,0.4857,0.6115,,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,,,,,,,,,,,
2025-02-02,びわこ,1,4,大野芳顕,A2,36.16,4,◎,16.7999,24.9,100,65.2,0.1541,3.0797,,,0,低,139,0,差ま0%,341,0,56.1,1.2709,0,0,0.0556,0.0833,0.0278,0.09,0.11,0.14,,○,B,◎,◎,0.4998,0.6345,0.3638,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,,,,,,,,,,,
2025-02-02,びわこ,1,5,坂本雄紀,A2,27.67,5,,11.1165,12.7,56,45.6,0.1378,2.7391,,,0,低,73,0,-,5 41,0,49.9,1.904,0,0,0,0.0476,0.0476,0.125,0.0417,0.0417,,,D,,,0.4835,0.579,,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,,,,,,,,,,,
2025-02-02,びわこ,1,6,田上　凜,B1,28.40,6,,1.7723,4.3,24,9,0.1954,4.0448,,,0,低,114,0,-,654,0,23.8,0.5497,,,,,,0,0.6667,0,,,D,,,0.3746,0.504,,0.182,D,31,1,大荒れ。見送り推奨,0.5,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,38.1,両建て推奨,14.32,39.2,2,,,,,,,,,,,
2025-02-02,びわこ,2,1,浜田亜理,A1,32.02,1,◎,54.2017,,0,80,0.1633,3.0167,,,0,低,41,0,逃1%,4424,0,71.8,1.0872,0.5714,,,,,0.2857,0,0.1429,◎,,C,◎,,,0.6285,,0.5896,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0764, 'est_top_odds': 17.5, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=54.2%（本命度） / 最有力組み合わせ確率: 0.076（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.076 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,31.2,逃げ狙い,15.66,32.4,3,,,,,0,0,0.6542,0,,逃げ軸流し,A
2025-02-02,びわこ,2,2,来田衣織,B1,33.33,2,▲,8.9154,41.1,55,34,0.173,4.0319,,,0,低,96,0,-,421,0,28.7,0.6207,0,0,0.05,0,0,0,0.4,0,,,C,△,,0.2087,0.585,,0.5896,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0764, 'est_top_odds': 17.5, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=54.2%（本命度） / 最有力組み合わせ確率: 0.076（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.076 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,31.2,逃げ狙い,15.66,32.4,3,,,,,,,,,,,
2025-02-02,びわこ,2,3,坂野さく,B1,36.79,3,○,22.2232,26.8,65,48.1,0.183,3.5926,,,0,低,76,0,-,661,0,97.6,2.0798,0,0,0.125,0.1875,0,0.2889,0.2889,0.2444,,,B,○,,0.2333,0.5865,,0.5896,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0764, 'est_top_odds': 17.5, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=54.2%（本命度） / 最有力組み合わせ確率: 0.076（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.076 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,31.2,逃げ狙い,15.66,32.4,3,,,,,,,,,,,
2025-02-02,びわこ,2,4,藤原早菜,B1,27.81,4,,7.4933,12.9,100,38.5,0.1985,4.2115,,,0,低,83,0,-,4 36,0,31.1,0.8711,,,,,,0.1944,0.4333,0,,,E,△,,0.1709,0.577,,0.5896,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0764, 'est_top_odds': 17.5, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=54.2%（本命度） / 最有力組み合わせ確率: 0.076（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.076 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,31.2,逃げ狙い,15.66,32.4,3,,,,,,,,,,,
