日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,三国,1,1,下出卓矢,A1,38.22,1,◎,51.4765,,0,93.9,0.1273,2.3106,,,0,低,74,0,逃0% 抜0%,,0,73.2,1.0719,0.6667,,,,,0.1481,0.037,0.037,◎,,B,,,,0.647,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,0,0,0.6689,0,,逃げ軸流し,A
2025-02-02,三国,1,2,木下翔太,A1,30.71,2,,15.2808,18.4,100,80,0.1493,3.3556,,,0,低,63,0,-,,0,59.5,1.0193,0,0,0.3,0,0,0.0148,0.1148,0.1148,,,D,○,,0.127,0.688,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,,,,,,,
2025-02-02,三国,1,3,高野哲史,A1,33.49,3,○,19.6102,53.8,76,90,0.146,2.46,,,0,低,71,0,ま0% 差ま0% 抜0%,,0,87.1,1.6379,0,0,0.1429,0.0952,0.0952,0,0.0312,0.125,,,C,△,,0.2166,0.6665,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,,,,,,,
2025-02-02,三国,1,4,関野　文,A1,38.10,4,△,5.7825,16.2,97,58.6,0.1741,3.1034,,,0,低,58,0,-,,0,33.9,1.0696,,,,,,0.0932,0.0727,0.2409,,,B,,,0.1346,0.6135,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,,,,,,,
2025-02-02,三国,1,5,木村仁紀,A1,34.73,5,▲,4.6036,8,77,52.5,0.1425,3.0492,,,0,低,71,0,差ま0%,,0,60.5,1.4448,0,0,0,0.0345,0,0.0857,0.1143,0.1429,,,C,△,,0.2303,0.68,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,,,,,,,
2025-02-02,三国,1,6,吉永則雄,A1,31.08,6,,3.2463,3.6,50,39.3,0.1321,2.9643,,,0,低,112,0,差0%,,0,37,1.6878,0,0.0625,0,0,0,0.0896,0.0635,0.1184,,,D,◎,,0.2724,0.696,,0.6692,A,67,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0855, 'est_top_odds': 15.6, 'circle_concentration': 72.2, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.085（推定実オッズ?16倍） / 2着集中度: 上位2艇 72.2%（補正+0.04） / 総合判定確率: 0.125 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.127秒)→ヒモ固まり方向に注意'}",,,34.3,逃げ狙い,32.56,27.2,2,,,,,,,,,,,
2025-02-02,三国,2,1,小池修平,A1,28.64,1,◎,45.9644,,0,96,0.1448,2.49,,,0,低,45,0,逃1%,,0,75.3,1.1556,0.7037,,,,,0.1793,0.0148,0.0296,◎,,D,,,,0.6405,,0.6299,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0687, 'est_top_odds': 19.4, 'circle_concentration': 74.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=46.0%（本命度） / 最有力組み合わせ確率: 0.069（推定実オッズ?19倍） / 2着集中度: 上位2艇 74.9%（補正+0.04） / 総合判定確率: 0.109 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.5,逃げ狙い,30.1,26.9,5,,,,,0,0,0.6689,0,,逃げ軸流し,A
2025-02-02,三国,2,2,丸野一樹,A1,34.91,2,,14.6498,25.6,62,62.5,0.1606,3.7188,,,0,低,31,0,-,,0,42.4,0.9962,,,,,,0,0.1111,0,,,B,△,,0.1695,0.6595,,0.6299,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0687, 'est_top_odds': 19.4, 'circle_concentration': 74.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=46.0%（本命度） / 最有力組み合わせ確率: 0.069（推定実オッズ?19倍） / 2着集中度: 上位2艇 74.9%（補正+0.04） / 総合判定確率: 0.109 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.5,逃げ狙い,30.1,26.9,5,,,,,,,,,,,
2025-02-02,三国,2,3,小野達哉,A1,33.64,3,▲,14.3047,49.3,100,71,0.1373,2.6694,,,0,低,87,0,-,,0,26.6,0.7294,0,0,0.0769,0,0,0.0095,0.0286,0.0286,,,C,○,,0.3283,0.6745,,0.6299,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0687, 'est_top_odds': 19.4, 'circle_concentration': 74.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=46.0%（本命度） / 最有力組み合わせ確率: 0.069（推定実オッズ?19倍） / 2着集中度: 上位2艇 74.9%（補正+0.04） / 総合判定確率: 0.109 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.5,逃げ狙い,30.1,26.9,5,,,,,,,,,,,
2025-02-02,三国,2,4,小坂尚哉,A1,34.21,4,△,8.7774,16.8,84,61.5,0.1398,2.7596,,,0,低,81,0,差0%,,0,51.6,1.2449,0,0.0526,0,0,0,0.0488,0.0488,0.0976,,,C,△,◎,0.3034,0.657,0.3959,0.6299,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5112,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0687, 'est_top_odds': 19.4, 'circle_concentration': 74.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=46.0%（本命度） / 最有力組み合わせ確率: 0.069（推定実オッズ?19倍） / 2着集中度: 上位2艇 74.9%（補正+0.04） / 総合判定確率: 0.109 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.5,逃げ狙い,30.1,26.9,5,,,,,,,,,,,
