日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-01,丸亀,1,1,平岡重典,B1,24.11,1,◎,51.6434,,0,56.2,0.1819,3.7188,,,0,低,154,0,逃0%,4,0,53.4,0.7797,0.2857,,,,,0.1881,0.2643,0.0762,△,,E,△,,,0.6,,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,2-1-3|2-1-4|1-2-3|1-2-5|1-3-5|1-3-2|1-5-3,6-1-4|6-4-1|6-1-3|5-1-6|2-1-3|2-1-4|6-4-3|1-2-3|1-2-5|1-3-5|1-3-2|1-5-3,2-1-3:2.47%|2-1-4:2.28%|1-2-3:8.85%|1-2-5:8.64%|1-3-5:5.26%|1-3-2:5.17%|1-5-3:3.54%,2-1-3:B_main|2-1-4:B_main|1-2-3:A|1-2-5:A|1-3-5:A|1-3-2:A|1-5-3:A,7,12,0.4535,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-04-01,丸亀,1,2,山下流心,B1,33.33,2,▲,11.9498,55.4,65,47.5,0.15,3.5508,,,0,低,117,0,-,5,0,28.8,0.4709,0,0.0417,0,0,0,0.1571,0.0714,0.2286,,◎,C,○,,0.586,0.6225,,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,,,,,,,,,,,
2025-04-01,丸亀,1,3,吉川勇作,B1,30.51,3,,12.6864,23.4,100,44.4,0.1421,2.8264,,,0,低,92,0,-,5,0,28.1,0.669,0,0,0.0667,0.0333,0,0.3162,0.0381,0.0571,,○,D,◎,,0.5021,0.6335,,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,,,,,,,,,,,
2025-04-01,丸亀,1,4,占部一真,B1,41.13,4,○,14.7092,9.7,37,26.5,0.1869,4.0368,,,0,低,119,0,差ま0%,4,0,67.6,0.6945,0,0,0.0645,0.0323,0,0.1333,0.2,0.2667,,,B,,◎,0.3133,0.595,0.1474,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,,,,,,,,,,,
2025-04-01,丸亀,1,5,大西隆洋,B1,31.90,5,△,7.4191,8.8,71,24.1,0.136,2.7328,,,0,低,103,0,-,23,0,55.5,2.3174,0,0,0,0.0833,0,0.3077,0.0769,0.3077,,△,D,△,,0.479,0.6055,,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,,,,,,,,,,,
2025-04-01,丸亀,1,6,樋江井舞,B2,42.19,6,,1.5922,2.6,21,4.3,0.1948,4.0924,,,0,低,76,0,-,S4,0,20.4,0.5461,,,,,,,,,,,B,,,0.311,0.539,,0.2185,B,45,0,◎○△フォーメーション（15〜20点）,0.5777,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1251, 'est_top_odds': 10.7, 'circle_concentration': 78.9, 'eligible_count': 9, 'bet_adj': 0, 'reason': 'rel_win1=51.6%（本命度） / 最有力組み合わせ確率: 0.125（推定実オッズ?11倍） / 2着集中度: 上位2艇 78.9%（補正+0.04） / 総合判定確率: 0.165 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,33.7,両建て推奨,10.05,37,3,,,,,,,,,,,
2025-04-01,丸亀,2,1,加藤雅之,B1,27.20,1,○,37.1465,,0,51.3,0.2087,4.2436,,,0,低,169,0,逃0%,56,0,49,0.6731,0.1176,,,,,0.3529,0.2353,0.1765,,,D,△,,,0.5715,,0.1208,D,24,1,大荒れ。見送り推奨,0.5777,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.9,両建て推奨,19.97,43.4,2,2-1-3|2-3-1|2-1-5|2-1-4|2-5-3|2-5-1|2-3-5|1-2-3|1-2-6|1-3-2,2-1-3|2-3-1|2-1-5|2-1-4|2-5-3|2-5-1|2-3-5|6-1-3|1-2-3|6-3-1|1-2-6|1-3-2,2-1-3:6.2%|2-3-1:1.8%|2-1-5:1.12%|2-1-4:0.94%|2-5-3:0.37%|2-5-1:0.36%|2-3-5:0.33%|1-2-3:7.3%|1-2-6:4.3%|1-3-2:4.23%,2-1-3:B_main|2-3-1:B_main|2-1-5:B_main|2-1-4:B_main|2-5-3:B_main|2-5-1:B_main|2-3-5:B_main|1-2-3:A|1-2-6:A|1-3-2:A,10,12,0.2915,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-04-01,丸亀,2,2,前田篤哉,A1,29.03,2,◎,24.3929,59.9,67,69.8,0.1679,3.6163,,,0,低,107,0,差0% ま0% 抜0%,53,0,56.5,1.254,0,0.1765,0.0588,0,0.0588,0.0133,0.2667,0.0133,,◎,C,◎,,0.6406,0.646,,0.1208,D,24,1,大荒れ。見送り推奨,0.5777,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.9,両建て推奨,19.97,43.4,2,,,,,,,,,,,
2025-04-01,丸亀,2,3,谷村一哉,A2,27.07,3,▲,24.994,30.2,100,75,0.1625,3.4038,,,0,低,78,0,差0% ま0% 差ま0%,1,0,96.7,1.7337,0,0.05,0.1,0.15,0,0.0542,0.0708,0.1083,,○,D,○,,0.5315,0.642,,0.1208,D,24,1,大荒れ。見送り推奨,0.5777,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.9,両建て推奨,19.97,43.4,2,,,,,,,,,,,
2025-04-01,丸亀,2,4,樫葉新心,B1,37.50,4,,6.0965,6.5,38,5.7,0.2271,4.6714,,,0,低,136,0,-,4,0,18.3,0.5672,,,,,,0.1864,0.3318,0.2591,,,B,△,,0.273,0.5565,,0.1208,D,24,1,大荒れ。見送り推奨,0.5777,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.9,両建て推奨,19.97,43.4,2,,,,,,,,,,,
