日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,住之江,1,1,高橋真吾,B1,28.42,1,◎,49.8126,,0,77.8,0.1528,3.1944,,,0,低,81,0,逃1%,4 2 13,0,64.8,0.844,0.2941,,,,,0.2176,0.0235,0.4176,○,,D,,,,0.5795,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,0,0,0.599,0,,主役軸流し,B
2025-02-02,住之江,1,2,渡辺　崇,B1,32.20,2,,12.7787,42.8,87,58.3,0.161,3.7833,,,0,低,135,0,-,411 33,0,38.4,0.8481,0,0.0435,0,0,0,0.075,0.315,0.025,,,C,◎,,0.2589,0.608,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,,,,,,,
2025-02-02,住之江,1,3,永井亮次,B1,45.35,3,○,14.7843,20.4,100,48.5,0.1814,3.553,,,0,低,196,0,-,642 16,0,44.9,1.039,0,0,0.0385,0.0769,0,0.048,0.032,0.164,,,A,○,,0.1678,0.607,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,,,,,,,
2025-02-02,住之江,1,4,三浦裕貴,B1,30.32,4,△,17.476,19.1,88,55.2,0.1486,3.0862,,,0,低,55,0,-,5 2445,0,80.1,1.0651,0,0.1,0.2,0,0,0.2727,0.1818,0.2727,,,D,△,,0.3514,0.603,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,,,,,,,
2025-02-02,住之江,1,5,高木茉白,B2,25.97,5,,3.5075,3.8,36,3.9,0.1896,4.1731,,,0,低,70,0,-,6 656,0,22.8,0.56,,,,,,0,1,0,,,E,,,0.194,0.48,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,,,,,,,
2025-02-02,住之江,1,6,伊久間陽,B1,33.92,6,▲,1.6408,14,51,31.4,0.1396,3.1961,,,0,低,57,0,-,213 4,0,31.7,1.26,0,0,0,0.0455,0,0.0706,0.1906,0.0235,,,C,△,,0.3273,0.6015,,0.3659,B,57,0,◎○△フォーメーション（15〜20点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0774, 'est_top_odds': 17.2, 'circle_concentration': 63.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=49.8%（本命度） / 最有力組み合わせ確率: 0.077（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.1%（補正+0.00） / 総合判定確率: 0.077 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.4,両建て推奨,11.64,35.7,4,,,,,,,,,,,
2025-02-02,住之江,2,1,海野ゆか,A1,33.15,1,◎,53.3008,,0,92.9,0.1464,2.9524,,,0,低,58,0,抜1%,3 2146,0,71.7,0.9875,0.7333,,,,,0,0.0667,0.1333,◎,,C,△,,,0.5965,,0.5173,S,100,0,◎1着固定 2-3着流し（5〜8点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0626, 'est_top_odds': 21.3, 'circle_concentration': 70.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=53.3%（本命度） / 最有力組み合わせ確率: 0.063（推定実オッズ?21倍） / 2着集中度: 上位2艇 70.2%（補正+0.04） / 総合判定確率: 0.103 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.6,逃げ狙い,21.68,24.7,3,,,,,0,0,0.7356,0,,逃げ軸流し,A
2025-02-02,住之江,2,2,榮田将彦,B1,23.93,2,△,12.8485,33.7,79,47.1,0.1445,2.9412,,,0,低,41,0,差0% ま0%,355 5,0,40.8,0.8124,0,0.0909,0.0455,0,0,0.28,0.0533,0.0267,,○,E,○,,0.3374,0.6605,,0.5173,S,100,0,◎1着固定 2-3着流し（5〜8点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0626, 'est_top_odds': 21.3, 'circle_concentration': 70.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=53.3%（本命度） / 最有力組み合わせ確率: 0.063（推定実オッズ?21倍） / 2着集中度: 上位2艇 70.2%（補正+0.04） / 総合判定確率: 0.103 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.6,逃げ狙い,21.68,24.7,3,,,,,,,,,,,
2025-02-02,住之江,2,3,冨成謙児,B1,35.67,3,▲,8.6387,19.3,94,44.4,0.1425,3.1111,,,0,低,112,0,-,633 5,0,15.9,0.4733,0,0.037,0,0,0,0.3043,0.1739,0.1739,,,B,◎,,0.2999,0.6875,,0.5173,S,100,0,◎1着固定 2-3着流し（5〜8点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0626, 'est_top_odds': 21.3, 'circle_concentration': 70.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=53.3%（本命度） / 最有力組み合わせ確率: 0.063（推定実オッズ?21倍） / 2着集中度: 上位2艇 70.2%（補正+0.04） / 総合判定確率: 0.103 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.6,逃げ狙い,21.68,24.7,3,,,,,,,,,,,
2025-02-02,住之江,2,4,山下夏鈴,A2,26.86,4,,13.3038,36.5,64,47.4,0.1518,2.8816,,,0,低,64,0,-,6 526,0,62.8,1.1881,0,0,0.2353,0,0,0,0.0267,0.2,,,D,△,○,0.3282,0.616,0.2439,0.5173,S,100,0,◎1着固定 2-3着流し（5〜8点）,0.5622,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0626, 'est_top_odds': 21.3, 'circle_concentration': 70.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=53.3%（本命度） / 最有力組み合わせ確率: 0.063（推定実オッズ?21倍） / 2着集中度: 上位2艇 70.2%（補正+0.04） / 総合判定確率: 0.103 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.6,逃げ狙い,21.68,24.7,3,,,,,,,,,,,
