日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-05-02,児島,1,1,玄馬　徹,B1,58.97,1,◎,59.5959,,0,55.3,0.1834,3.8421,,,0,低,136,0,逃1%,,0,55.2,0.7543,0.3333,,,,,0,0.3333,0.3333,△,,A,△,,,0.5965,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,2-1-3|1-2-3|1-2-5|1-3-2|1-3-5|1-4-2,5-1-6|5-6-1|6-1-3|6-1-4|6-3-1|2-1-3|6-4-1|1-2-3|1-2-5|1-3-2|1-3-5|1-4-2,2-1-3:1.65%|1-2-3:7.38%|1-2-5:6.52%|1-3-2:5.49%|1-3-5:4.63%|1-4-2:4.37%,2-1-3:B_main|1-2-3:A|1-2-5:A|1-3-2:A|1-3-5:A|1-4-2:A,6,12,0.445,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-05-02,児島,1,2,木山誠一,B2,35.53,2,△,14.6478,41.6,52,42.1,0.1174,2.3947,,,0,低,32,0,-,,0,83.3,1.3353,0,0.125,0,0,0.0417,0.0952,0.1048,0.2857,,◎,D,◎,,0.5784,0.612,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,,,,,,,,,,,
2025-05-02,児島,1,3,森　智哉,B1,46.05,3,▲,12.0158,22,100,44.2,0.1456,3.0581,,,0,低,64,0,-,,0,46,0.8971,,,,,,0,0.1667,0.3333,,○,B,○,,0.4848,0.6105,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,,,,,,,,,,,
2025-05-02,児島,1,4,今出晋二,B1,26.32,4,,6.6016,16.4,55,15.6,0.1591,3.5111,,,0,低,89,0,-,,0,57.4,2.8394,,,,,,0.4412,0.4176,0.1176,,,E,△,,0.4045,0.594,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,,,,,,,,,,,
2025-05-02,児島,1,5,長谷川暖,B1,46.84,5,○,5.843,11.9,70,41.9,0.1453,2.9419,,,0,低,46,0,-,,0,44.2,1.2938,0,0,0,0.0968,0,0,0.2,0,,△,B,△,,0.4154,0.594,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,,,,,,,,,,,
2025-05-02,児島,1,6,齋藤真之,B1,36.00,6,,1.296,8.2,35,8.3,0.1965,4.5,,,0,低,145,0,-,,0,37.9,2.3614,,,,,,0.0588,0.1176,0.1176,,,D,△,,0.2703,0.594,,0.2122,B,46,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0953, 'est_top_odds': 14.0, 'circle_concentration': 63.5, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=59.6%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.095 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.183秒)確認→ヒモが荒れやすい'}",,,36.5,両建て推奨,18.18,36.8,3,,,,,,,,,,,
2025-05-02,児島,2,1,泉　啓文,B1,29.33,1,◎,41.8094,,0,82.1,0.1652,3.1607,,,0,低,157,0,逃0%,,0,58.8,0.9325,0.25,,,,,0.24,0.16,0.2,○,,C,○,,,0.648,,0.3866,B,58,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.9,両建て推奨,23.63,36,5,,,,,0,0,0.604,0,,主役軸流し,B
2025-05-02,児島,2,2,福田　理,B1,37.33,2,○,12.314,19.2,67,36.5,0.169,3.5635,,,0,低,126,0,差0% ま0%,,0,54.8,1.0733,0,0.0625,0.0625,0,0,0.1446,0.4967,0.1446,,,A,,,0.3119,0.594,,0.3866,B,58,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.9,両建て推奨,23.63,36,5,,,,,,,,,,,
2025-05-02,児島,2,3,荒井輝年,A2,23.75,3,,15.8088,30.2,62,54.4,0.1674,2.9737,,,0,低,115,0,-,,0,100,2.7933,0,0,0.0345,0.1034,0,0.2071,0.2262,0.1881,,,D,,,0.319,0.607,,0.3866,B,58,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.9,両建て推奨,23.63,36,5,,,,,,,,,,,
2025-05-02,児島,2,4,林　祐介,A2,15.58,4,△,11.897,31.4,100,53.7,0.1587,3.4259,,,0,低,103,0,差0%,,0,38.2,1.0326,0,0.0909,0,0,0,0.0154,0.1615,0.2923,,,E,◎,○,0.3407,0.6605,0.3273,0.3866,B,58,0,◎○△フォーメーション（15〜20点）,0.5669,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.9,両建て推奨,23.63,36,5,,,,,,,,,,,
