日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,唐津,1,1,原田佑実,A2,29.55,1,◎,68.2099,,0,94.1,0.1524,2.9118,,,0,低,29,0,-,36,0,100,1.5722,0.75,,,,,0,0,0.25,◎⚠️,,C,△,,,0.6345,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,5-1-6|5-6-1|5-1-2|5-2-1|5-6-2|5-1-4|5-2-6|5-1-3|1-2-4|1-2-3|1-4-2,5-1-6|5-6-1|5-1-2|5-2-1|5-6-2|5-1-4|5-2-6|5-1-3|1-2-4|1-2-3|3-1-4|1-4-2,5-1-6:1.08%|5-6-1:1.07%|5-1-2:0.58%|5-2-1:0.47%|5-6-2:0.4%|5-1-4:0.37%|5-2-6:0.33%|5-1-3:11.07%|1-2-4:5.96%|1-2-3:5.27%|1-4-2:2.64%,5-1-6:B_main|5-6-1:B_main|5-1-2:B_main|5-2-1:B_main|5-6-2:B_main|5-1-4:B_main|5-2-6:B_main|5-1-3:B_sc|1-2-4:A|1-2-3:A|1-4-2:A,11,12,0.434,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-02-02,唐津,1,2,神里琴音,B1,30.30,2,○,11.8325,62,100,58.8,0.1641,3.7745,,,0,低,61,0,-,2,0,46.6,0.9397,0,0.0741,0,0,0,0.0267,0.6633,0.0267,,,C,◎,,0.1988,0.674,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,,,,,,,,,,,
2025-02-02,唐津,1,3,菅野はや,B2,34.69,3,▲,5.5898,14.6,74,10.3,0.2166,4.4138,,,0,低,78,0,-,4,0,59.8,0.5827,,,,,,0.125,0.125,0.125,,,B,,,0.1369,0.5285,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,,,,,,,,,,,
2025-02-02,唐津,1,4,土山卓也,B1,28.00,4,△,7.7667,15,73,44,0.1584,3.42,,,0,低,122,0,差ま0%,4,0,45.3,0.9643,0,0,0,0.0357,0,0,0.069,0.1379,,,D,○,,0.256,0.637,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,,,,,,,,,,,
2025-02-02,唐津,1,5,松下知幸,B1,26.88,5,,5.371,6.5,67,23.1,0.1932,4.1987,,,0,低,152,0,-,1,0,43.2,0.8993,0,0.0278,0.0278,0,0,0.2152,0.1581,0.1962,,,D,,,0.1537,0.5965,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,,,,,,,,,,,
2025-02-02,唐津,1,6,秋田健太,B1,28.57,6,,1.2301,1.8,35,14.6,0.1781,4.2083,,,0,低,98,0,-,56,0,25.7,1.2844,,,,,,0.4263,0.1053,0.0211,,,D,△,,0.232,0.62,,0.556,S,96,0,◎1着固定 2-3着流し（5〜8点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1258, 'est_top_odds': 10.6, 'circle_concentration': 77.1, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=68.2%（本命度） / 最有力組み合わせ確率: 0.126（推定実オッズ?11倍） / 2着集中度: 上位2艇 77.1%（補正+0.04） / 総合判定確率: 0.166 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.6,逃げ狙い,10.39,25,3,,,,,,,,,,,
2025-02-02,唐津,2,1,山田竜一,A2,36.73,1,◎,56.6134,,0,86.1,0.1371,2.6458,,,0,低,75,0,逃1%,6,0,62.4,0.94,0.4412,,,,,0.0706,0.1788,0.0353,◎,,C,◎,,,0.6535,,0.6031,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0983, 'est_top_odds': 13.6, 'circle_concentration': 83.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=56.6%（本命度） / 最有力組み合わせ確率: 0.098（推定実オッズ?14倍） / 2着集中度: 上位2艇 83.3%（補正+0.04） / 総合判定確率: 0.138 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.137秒)→ヒモ固まり方向に注意'}",,,29,逃げ狙い,17.96,28.1,3,,,,,0,0,0.7233,0,,逃げ軸流し,A
2025-02-02,唐津,2,2,野長瀬正,A2,45.74,2,○,11.8049,37,97,68,0.1726,3.4231,,,0,低,105,0,-,41,0,83,2.5566,0,0.0968,0.0323,0,0,0.2,0.0343,0.2257,,,A,,,0.0801,0.586,,0.6031,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0983, 'est_top_odds': 13.6, 'circle_concentration': 83.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=56.6%（本命度） / 最有力組み合わせ確率: 0.098（推定実オッズ?14倍） / 2着集中度: 上位2艇 83.3%（補正+0.04） / 総合判定確率: 0.138 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.137秒)→ヒモ固まり方向に注意'}",,,29,逃げ狙い,17.96,28.1,3,,,,,,,,,,,
2025-02-02,唐津,2,3,中村泰平,B1,29.03,3,△,19.0148,46.4,86,78.8,0.1682,3.3333,,,0,低,80,0,ま0% 差ま0% 抜0%,2,0,76.2,1.5396,0,0,0.0714,0.2857,0.0714,0.1864,0.0182,0.0364,,,E,△,,0.2154,0.6085,,0.6031,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0983, 'est_top_odds': 13.6, 'circle_concentration': 83.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=56.6%（本命度） / 最有力組み合わせ確率: 0.098（推定実オッズ?14倍） / 2着集中度: 上位2艇 83.3%（補正+0.04） / 総合判定確率: 0.138 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.137秒)→ヒモ固まり方向に注意'}",,,29,逃げ狙い,17.96,28.1,3,,,,,,,,,,,
2025-02-02,唐津,2,4,宮迫暢彦,B1,36.89,4,▲,7.2077,5.2,100,46,0.1712,3.4932,,,0,低,138,0,抜0%,3,0,36.4,0.9457,0,0,0,0,0.0323,0.25,0.2,0.1,,,B,,,0.1993,0.594,,0.6031,A,69,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5528,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0983, 'est_top_odds': 13.6, 'circle_concentration': 83.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=56.6%（本命度） / 最有力組み合わせ確率: 0.098（推定実オッズ?14倍） / 2着集中度: 上位2艇 83.3%（補正+0.04） / 総合判定確率: 0.138 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.137秒)→ヒモ固まり方向に注意'}",,,29,逃げ狙い,17.96,28.1,3,,,,,,,,,,,
