日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,多摩川,1,1,喜多須杏,B1,27.50,1,◎,44.3701,,0,66.7,0.142,3.05,,,0,低,60,0,逃1%,4 252,0,62.1,0.9156,0.7143,,,,,0,0.1429,0.1429,◎,,E,○,,,0.62,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,0,0,0.671,0,,逃げ軸流し,A
2025-02-02,多摩川,1,2,稲生夏季,B1,31.32,2,,9.8807,25.5,100,47.1,0.2115,4.2059,,,0,低,91,0,-,2 642,0,60.8,2.804,,,,,,0.4444,0.4444,0,,,C,,,0.0775,0.5845,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,,,,,,,
2025-02-02,多摩川,1,3,角ひとみ,B1,39.76,3,▲,14.0511,44.3,93,60,0.1983,4.4714,,,0,低,104,0,差0%,661 26,0,39.5,1.1919,0,0.0714,0,0,0,0.1267,0.1533,0.0267,,,B,△,,0.1121,0.6195,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,,,,,,,
2025-02-02,多摩川,1,4,津田裕絵,A2,30.23,4,△,13.4032,21.7,95,57.6,0.1855,4.1061,,,0,低,108,0,差ま0%,3 5451,0,47,1.334,0,0,0,0.0667,0,0,0.46,0,,,D,△,,0.121,0.596,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,,,,,,,
2025-02-02,多摩川,1,5,中里優子,B1,36.69,5,○,17.038,7.8,61,33.3,0.1754,3.2083,,,0,低,61,0,-,121 63,0,69.4,0.6731,,,,,,0.05,0,0.25,,,B,◎,,0.2066,0.621,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,,,,,,,
2025-02-02,多摩川,1,6,樫葉新心,B1,32.97,6,,1.2568,0.7,10,3.1,0.218,4.7371,,,0,低,136,0,-,6 366,0,24,0.7353,,,,,,0.1864,0.3318,0.2591,,,C,,,0.135,0.5565,,0.52,C,44,0,荒れ傾向。高配当狙いか見送り,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30,両建て推奨,20.11,26.3,5,,,,,,,,,,,
2025-02-02,多摩川,2,1,花本　剛,B1,32.92,1,◎,37.3752,,0,66,0.1787,3.8723,,,0,低,176,0,逃0%,355 46,0,55.9,0.879,0.3462,,,,,0.2077,0.1615,0.1769,△,,C,,,,0.5575,,0.2065,D,29,1,大荒れ。見送り推奨,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,21.71,35.5,5,2-1-4|1-2-5|1-4-5|1-2-4|1-3-5|1-4-2,5-1-6|6-1-4|5-6-1|6-4-1|6-1-5|5-3-6|2-1-4|1-2-5|1-4-5|1-2-4|1-3-5|1-4-2,2-1-4:2.07%|1-2-5:7.55%|1-4-5:6.06%|1-2-4:5.99%|1-3-5:4.81%|1-4-2:4.69%,2-1-4:B_main|1-2-5:A|1-4-5:A|1-2-4:A|1-3-5:A|1-4-2:A,6,12,0.4026,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-02-02,多摩川,2,2,前出達吉,B1,24.26,2,,11.8365,28.3,88,67.3,0.1546,2.9904,,,0,低,79,0,-,6 222,0,30.1,0.6353,0,0.1154,0.0385,0,0.0385,0.1714,0.0381,0.2571,,◎,E,◎,,0.5959,0.658,,0.2065,D,29,1,大荒れ。見送り推奨,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,21.71,35.5,5,,,,,,,,,,,
2025-02-02,多摩川,2,3,小林基樹,B1,33.86,3,▲,11.8204,23.3,100,51.9,0.1954,4.2404,,,0,低,167,0,差ま0%,5 356,0,18.1,1.0206,0,0,0,0.1579,0,0.2727,0.2727,0.0909,,,B,,,0.2599,0.5755,,0.2065,D,29,1,大荒れ。見送り推奨,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,21.71,35.5,5,,,,,,,,,,,
2025-02-02,多摩川,2,4,渡邉雄朗,A1,29.52,4,△,12.0307,29.3,84,66.1,0.1523,2.8538,,,0,低,102,0,ま0%,41636,0,32.4,0.8655,0,0.05,0.05,0.1,0,0,0.4514,0.0229,,,D,△,○,0.4242,0.598,0.3005,0.2065,D,29,1,大荒れ。見送り推奨,0.5128,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,21.71,35.5,5,,,,,,,,,,,
