日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-01,大村,1,1,津留浩一,B1,37.87,1,◎,69.147,,0,78.6,0.1469,2.6429,,,0,低,102,0,逃0%,1 551,0,66.8,0.9841,0.2941,,,,,0.1412,0.0471,0.3706,◎,,B,,,,0.52,,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,0,0,0.8349,0,,逃げ軸流し,A
2025-04-01,大村,1,2,小黒竜吾,B1,37.57,2,○,10.0723,43.3,100,50,0.1695,3.3906,,,0,低,132,0,-,4 343,0,100,2.4309,0,0.0625,0,0,0,0.2879,0.0828,0.2328,,,B,○,,0.1081,0.6275,,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,,,,,,,
2025-04-01,大村,1,3,長谷川親,B1,28.40,3,,7.4968,14.7,66,20,0.1822,3.7917,,,0,低,166,0,-,5 555,0,42.7,0.5383,,,,,,0.1111,0.3778,0.2222,,,D,△,,0.1501,0.605,,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,,,,,,,
2025-04-01,大村,1,4,石川　諒,B1,28.00,4,▲,8.379,28.1,79,44.1,0.1378,2.6356,,,0,低,71,0,-,2 446,0,48.8,1.153,0,0.04,0.04,0,0.04,0.0421,0.1278,0.1489,,,E,◎,◎,0.3261,0.6605,0.4081,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,,,,,,,
2025-04-01,大村,1,5,豊田泰洋,B1,33.14,5,△,3.5618,2.6,50,19,0.1791,3.9177,,,0,低,169,0,差ま0%,633 36,0,27.3,0.6976,0,0,0,0.0333,0,0.4348,0.087,0.0696,,,C,,,0.1862,0.576,,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,,,,,,,
2025-04-01,大村,1,6,近藤雄一,B1,34.10,6,,1.3431,11.4,91,37.5,0.195,4.1875,,,0,低,163,0,-,1 446,0,25.2,1.1469,,,,,,0.22,0.3114,0.0143,,,C,△,,0.168,0.624,,0.5123,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0952, 'est_top_odds': 14.0, 'circle_concentration': 71.3, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=69.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 71.3%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,25.1,逃げ狙い,8.38,32.2,3,,,,,,,,,,,
2025-04-01,大村,2,1,宮地博士,B1,33.72,1,◎,58.7004,,0,67.3,0.1837,3.7041,,,0,低,189,0,逃0% 抜0%,3 1525,0,49.5,0.8318,0.2381,,,,,0.0952,0.0762,0.1771,△,,C,,,,0.5195,,0.2984,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0715, 'est_top_odds': 18.7, 'circle_concentration': 66.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=58.7%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 66.3%（補正+0.00） / 総合判定確率: 0.071 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.184秒)確認→ヒモが荒れやすい'}",,,25.8,逃げ狙い,11.1,32.1,5,,,,,0,0,0.5009,0,,主役軸流し,B
2025-04-01,大村,2,2,佐々木英,B1,48.00,2,○,11.723,40.9,98,49.3,0.1834,3.8767,,,0,低,154,0,-,5 3224,0,55.7,0.8672,,,,,,0.1519,0.1365,0.3173,,△,A,○,,0.3448,0.642,,0.2984,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0715, 'est_top_odds': 18.7, 'circle_concentration': 66.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=58.7%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 66.3%（補正+0.00） / 総合判定確率: 0.071 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.184秒)確認→ヒモが荒れやすい'}",,,25.8,逃げ狙い,11.1,32.1,5,,,,,,,,,,,
2025-04-01,大村,2,3,齋藤達希,B1,36.87,3,▲,10.5931,25.4,100,45.2,0.1729,3.3952,,,0,低,155,0,-,2 665,0,78.7,0.64,0,0,0,0.0833,0,0.0222,0.56,0.1422,,○,B,△,,0.3607,0.6375,,0.2984,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0715, 'est_top_odds': 18.7, 'circle_concentration': 66.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=58.7%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 66.3%（補正+0.00） / 総合判定確率: 0.071 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.184秒)確認→ヒモが荒れやすい'}",,,25.8,逃げ狙い,11.1,32.1,5,,,,,,,,,,,
2025-04-01,大村,2,4,山口　亮,B1,24.38,4,,10.2676,15.4,95,45,0.194,3.9917,,,0,低,167,0,ま0%,644 14,0,36.4,1.1074,0,0,0.04,0,0,0.0333,0.3067,0.1533,,,D,,,0.2561,0.5775,,0.2984,A,68,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6381,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0715, 'est_top_odds': 18.7, 'circle_concentration': 66.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=58.7%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 66.3%（補正+0.00） / 総合判定確率: 0.071 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.184秒)確認→ヒモが荒れやすい'}",,,25.8,逃げ狙い,11.1,32.1,5,,,,,,,,,,,
