日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-03,宮島,1,1,實森美祐,A1,34.62,1,◎,50.9617,,0,95.5,0.1436,2.3864,,,0,低,24,0,逃1%,,0,69.7,1.1951,0.8667,,,,,0,0.1333,0,◎,,C,,,,0.645,,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,0,0,0.7641,0,,逃げ軸流し,A
2025-04-03,宮島,1,2,中田竜太,A1,40.16,2,▲,12.0964,26.7,100,86.4,0.1495,3.2273,,,0,低,40,0,差0% ま0%,,0,54.1,1.4191,0,0.25,0.0833,0,0,0,0.24,0.06,,,B,△,,0.2954,0.662,,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,,,,,,,
2025-04-03,宮島,1,3,藤岡俊介,A1,34.45,3,△,15.2019,41.3,87,78,0.1168,2.339,,,0,低,38,0,差0% ま0% 差ま0%,,0,72,1.3515,0,0.0741,0.037,0.1481,0,0.0769,0.0256,0.0256,,○,C,△,,0.4406,0.6905,,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,,,,,,,
2025-04-03,宮島,1,4,片岡雅裕,A1,34.71,4,○,11.8314,18.7,81,94.7,0.1032,1.8684,,,0,低,5,0,差0% 差ま0%,,0,79.4,1.9313,0,0.1,0,0.2,0,0.0286,0,0.3571,,◎,C,◎,◎,0.4743,0.8292,0.6395,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,,,,,,,
2025-04-03,宮島,1,5,丸野一樹,A1,34.19,5,,6.5735,6.4,74,100,0.183,3.7,,,0,低,31,1,差0%,,0,82.9,2.3617,0,0.25,0,0,0,0,0.1111,0,,,D,,,0.1987,0.6595,,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,,,,,,,
2025-04-03,宮島,1,6,山崎　郡,A1,28.83,6,,3.3352,6.9,57,57.7,0.1435,2.8846,,,0,低,34,0,ま0%,,0,55.3,2.3881,0,0,0.0769,0,0,0,0.0417,0.0417,,,E,○,,0.293,0.6985,,0.5738,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0675, 'est_top_odds': 19.8, 'circle_concentration': 68.0, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=51.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 68.0%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,29.2,逃げ狙い,45.26,23.1,2,,,,,,,,,,,
2025-04-03,宮島,2,1,高倉和士,A1,28.97,1,◎,47.8055,,0,95.9,0.1247,2.2397,,,0,低,42,0,逃1%,,0,52.3,0.9937,0.6571,,,,,0.0114,0.0343,0.2936,◎,,D,△,,,0.673,,0.6947,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0529, 'est_top_odds': 25.2, 'circle_concentration': 65.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=47.8%（本命度） / 最有力組み合わせ確率: 0.053（推定実オッズ?25倍） / 2着集中度: 上位2艇 65.9%（補正+0.00） / 総合判定確率: 0.053 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,31,逃げ狙い,31.83,25.5,3,,,,,0,0,0.7641,0,,逃げ軸流し,A
2025-04-03,宮島,2,2,吉川元浩,A1,32.41,2,△,12.9913,28.9,68,81.2,0.1569,3.4375,,,0,低,31,0,差0%,,0,79,1.3536,0,0.25,0,0,0,0.0222,0.2444,0.0222,,,C,△,,0.1111,0.645,,0.6947,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0529, 'est_top_odds': 25.2, 'circle_concentration': 65.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=47.8%（本命度） / 最有力組み合わせ確率: 0.053（推定実オッズ?25倍） / 2着集中度: 上位2艇 65.9%（補正+0.00） / 総合判定確率: 0.053 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,31,逃げ狙い,31.83,25.5,3,,,,,,,,,,,
2025-04-03,宮島,2,3,井上忠政,A1,32.46,3,○,18.9464,36.9,60,87.5,0.1508,3.2292,,,0,低,51,0,ま0% 差ま0% 抜0%,,0,63,1.5742,0,0,0.1,0.1,0.1,0,0,0.125,,,B,◎,,0.174,0.6805,,0.6947,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0529, 'est_top_odds': 25.2, 'circle_concentration': 65.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=47.8%（本命度） / 最有力組み合わせ確率: 0.053（推定実オッズ?25倍） / 2着集中度: 上位2艇 65.9%（補正+0.00） / 総合判定確率: 0.053 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,31,逃げ狙い,31.83,25.5,3,,,,,,,,,,,
2025-04-03,宮島,2,4,桑原　悠,A1,30.91,4,,9.3627,11.9,100,82.9,0.1531,3.3714,,,0,低,26,0,ま0%,,0,64.6,1.6551,0,0,0.1429,0,0,0.0444,0.0972,0.0667,,,C,,◎,0.2109,0.6315,0.3431,0.6947,A,79,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.584,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0529, 'est_top_odds': 25.2, 'circle_concentration': 65.9, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=47.8%（本命度） / 最有力組み合わせ確率: 0.053（推定実オッズ?25倍） / 2着集中度: 上位2艇 65.9%（補正+0.00） / 総合判定確率: 0.053 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,31,逃げ狙い,31.83,25.5,3,,,,,,,,,,,
