日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,尼崎,1,1,細川明人,B1,36.00,1,◎,46.1084,,0,70.5,0.1952,4.1023,,,0,低,154,0,-,265 55,0,75.9,1.1496,0.3684,,,,,0.0211,0.5684,0.1632,,,C,,,,0.572,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,5-1-2|5-1-3|5-2-1|5-3-1|5-2-3|5-1-4|5-3-2|1-2-3|1-3-5|1-3-2,5-1-2|5-1-3|5-2-1|5-3-1|5-2-3|5-1-4|5-3-2|1-2-3|1-3-5|1-3-2|4-1-2|6-1-3,5-1-2:2.63%|5-1-3:2.23%|5-2-1:1.82%|5-3-1:0.95%|5-2-3:0.79%|5-1-4:0.64%|5-3-2:0.48%|1-2-3:4.43%|1-3-5:4.13%|1-3-2:4.05%,5-1-2:B_main|5-1-3:B_main|5-2-1:B_main|5-3-1:B_main|5-2-3:B_main|5-1-4:B_main|5-3-2:B_main|1-2-3:A|1-3-5:A|1-3-2:A,10,12,0.2938,1,[!]見送り推奨（主役決まり手「まくり差し」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-02-02,尼崎,1,2,川上清人,B1,38.60,2,▲,7.8102,29.8,37,38.2,0.1868,4.0809,,,0,低,150,0,-,144 26,0,47.2,1.1753,0,0.037,0.037,0,0,0.3733,0.0381,0.1962,,△,B,△,,0.3944,0.595,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,,,,,,,,,,,
2025-02-02,尼崎,1,3,眞鳥章太,A2,53.68,3,○,33.2814,44.5,100,62.5,0.1473,2.8359,,,0,低,108,0,差ま1%,114 42,0,90.5,1.2946,0,0.0968,0.0968,0.1613,0,0.0364,0.0364,0.0721,,○,A,◎,,0.5512,0.6335,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,,,,,,,,,,,
2025-02-02,尼崎,1,4,伊藤玲奈,B1,31.61,4,,7.7717,17.8,78,41.7,0.2179,4.6458,,,0,低,84,0,-,236 26,0,33.9,0.8532,,,,,,0.1667,0.3333,0.1667,,,D,,,0.3057,0.558,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,,,,,,,,,,,
2025-02-02,尼崎,1,5,石井孝之,B1,28.09,5,△,3.7914,5.1,32,17.3,0.1323,2.5288,,,0,低,67,0,-,431 56,0,22.7,0.5457,,,,,,0.075,0.05,0.5,,◎,E,△,,0.5703,0.596,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,,,,,,,,,,,
2025-02-02,尼崎,1,6,松尾基成,B1,33.33,6,,1.2369,2.7,21,8.3,0.2244,5.0833,,,0,低,151,0,-,5 553,0,22.7,0.5456,,,,,,0.1746,0.1524,0.2381,,,D,○,,0.3024,0.625,,0.195,C,41,0,荒れ傾向。高配当狙いか見送り,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0954, 'est_top_odds': 14.0, 'circle_concentration': 74.4, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=46.1%（本命度） / 最有力組み合わせ確率: 0.095（推定実オッズ?14倍） / 2着集中度: 上位2艇 74.4%（補正+0.04） / 総合判定確率: 0.135 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.195秒)確認→ヒモが荒れやすい'}",,,31.6,両建て推奨,15.43,40.5,3,,,,,,,,,,,
2025-02-02,尼崎,2,1,岩下巧斗,B1,32.76,1,◎,58.1328,,0,60,0.154,2.975,,,0,低,99,0,逃1%,6 S25,0,67.6,0.8275,0.6,,,,,0.0667,0.1333,0.0667,◎,,C,◎,,,0.651,,0.5058,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1059, 'est_top_odds': 12.6, 'circle_concentration': 81.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=58.1%（本命度） / 最有力組み合わせ確率: 0.106（推定実オッズ?13倍） / 2着集中度: 上位2艇 81.4%（補正+0.04） / 総合判定確率: 0.146 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,26.2,両建て推奨,11.7,28.4,2,,,,,0,0,0.7616,0,,逃げ軸流し,A
2025-02-02,尼崎,2,2,渡　修平,B1,36.78,2,△,9.3643,25.3,100,49,0.1937,4.2157,,,0,低,148,0,-,2 461,0,40.4,0.8002,,,,,,0.0235,0.1906,0.1906,,,C,△,,0.0775,0.6,,0.5058,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1059, 'est_top_odds': 12.6, 'circle_concentration': 81.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=58.1%（本命度） / 最有力組み合わせ確率: 0.106（推定実オッズ?13倍） / 2着集中度: 上位2艇 81.4%（補正+0.04） / 総合判定確率: 0.146 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,26.2,両建て推奨,11.7,28.4,2,,,,,,,,,,,
2025-02-02,尼崎,2,3,乙藤智史,A2,38.18,3,○,15.3851,56.1,93,60,0.1684,3.4273,,,0,低,132,0,ま0% 差ま0%,3 2315,0,86.6,1.2119,0,0,0.0909,0.0455,0,0.0727,0.0621,0.0742,,,B,△,,0.2236,0.595,,0.5058,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1059, 'est_top_odds': 12.6, 'circle_concentration': 81.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=58.1%（本命度） / 最有力組み合わせ確率: 0.106（推定実オッズ?13倍） / 2着集中度: 上位2艇 81.4%（補正+0.04） / 総合判定確率: 0.146 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,26.2,両建て推奨,11.7,28.4,2,,,,,,,,,,,
2025-02-02,尼崎,2,4,畑田希咲,B2,39.33,4,▲,8.5686,10.1,88,0,0.2065,4.2,,,0,低,81,0,-,6 646,0,20.8,0.6974,,,,,,0,0.3778,0.3333,,,B,,,0.1368,0.4605,,0.5058,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5821,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1059, 'est_top_odds': 12.6, 'circle_concentration': 81.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=58.1%（本命度） / 最有力組み合わせ確率: 0.106（推定実オッズ?13倍） / 2着集中度: 上位2艇 81.4%（補正+0.04） / 総合判定確率: 0.146 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,26.2,両建て推奨,11.7,28.4,2,,,,,,,,,,,
