日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,常滑,1,1,赤澤文香,B1,34.09,1,◎,64.7793,,0,61.9,0.181,3.8571,,,0,低,80,0,逃0%,2 44,0,72.3,0.886,0.3077,,,,,0.3077,0.2308,0.0769,△,,C,◎,,,0.5955,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,2-1-4|2-1-5|2-1-6|2-3-1|2-4-1|2-3-4|2-3-5|1-2-5|1-2-4|1-4-2|1-3-2,2-1-4|2-1-5|2-1-6|2-3-1|2-4-1|2-3-4|2-3-5|1-2-5|1-2-4|5-1-6|1-4-2|1-3-2,2-1-4:1.78%|2-1-5:1.41%|2-1-6:1.19%|2-3-1:0.68%|2-4-1:0.6%|2-3-4:0.17%|2-3-5:0.13%|1-2-5:5.44%|1-2-4:5.0%|1-4-2:4.44%|1-3-2:4.11%,2-1-4:B_main|2-1-5:B_main|2-1-6:B_main|2-3-1:B_main|2-4-1:B_main|2-3-4:B_main|2-3-5:B_main|1-2-5:A|1-2-4:A|1-4-2:A|1-3-2:A,11,12,0.4607,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-02-02,常滑,1,2,井上未都,B1,33.33,2,○,11.8793,42.6,100,63.6,0.1627,3.6061,,,0,低,71,0,-,562,0,78.4,0.9024,0,0.1333,0,0,0,0.0615,0.0615,0,,◎,C,○,,0.5135,0.5745,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,,,,,,,,,,,
2025-02-02,常滑,1,3,黒明花夢,B2,29.63,3,,11.3507,19.8,70,9.1,0.1982,3.8182,,,0,低,42,1,ま0%,6 66,0,19.7,0.6998,0,0,0.1429,0,0,0.2,0.4,0.2,,,D,△,,0.2221,0.517,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,,,,,,,,,,,
2025-02-02,常滑,1,4,高井駿弥,B1,42.86,4,▲,5.9678,20.4,46,23.3,0.173,3.5,,,0,低,125,0,-,636,0,24.5,0.6779,,,,,,0.2227,0.1455,0.0364,,,B,,,0.3413,0.513,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,,,,,,,,,,,
2025-02-02,常滑,1,5,飯塚　響,B2,21.95,5,,4.2016,14.1,78,21.1,0.1637,3.3421,,,0,低,45,0,-,465,0,18.7,0.6031,,,,,,0,0,0,,,E,,,0.365,0.5145,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,,,,,,,,,,,
2025-02-02,常滑,1,6,倉田郁美,B1,43.75,6,△,1.8212,3.1,55,31.8,0.1955,4.3182,,,0,低,77,0,-,6 34,0,18.7,0.4708,,,,,,0.625,0.25,0,,,A,△,,0.2639,0.5695,,0.2351,B,49,0,◎○△フォーメーション（15〜20点）,0.5868,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0864, 'est_top_odds': 15.4, 'circle_concentration': 63.0, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=64.8%（本命度） / 最有力組み合わせ確率: 0.086（推定実オッズ?15倍） / 2着集中度: 上位2艇 63.0%（補正+0.00） / 総合判定確率: 0.086 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.181秒)確認→ヒモが荒れやすい'}",,,30.7,両建て推奨,12.43,40.7,2,,,,,,,,,,,
2025-02-02,常滑,2,1,小黒竜吾,B1,24.32,1,○,42.372,,0,61.2,0.1602,3.1122,,,0,低,132,0,-,533,0,60.2,1.0096,0.2069,,,,,0.2879,0.0828,0.2328,△,,E,△,,,0.6275,,0.3221,C,43,0,荒れ傾向。高配当狙いか見送り,0.5868,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30.4,両建て推奨,16.55,36.1,3,4-5-6|4-5-1|1-3-4|1-5-4|1-4-5|1-3-5|1-4-2,2-1-3|4-5-6|2-1-5|3-1-5|4-5-1|3-1-2|2-3-1|1-3-4|1-5-4|1-4-5|1-3-5|1-4-2,4-5-6:2.18%|4-5-1:1.59%|1-3-4:6.01%|1-5-4:5.07%|1-4-5:4.13%|1-3-5:3.92%|1-4-2:3.53%,4-5-6:B_main|4-5-1:B_main|1-3-4:A|1-5-4:A|1-4-5:A|1-3-5:A|1-4-2:A,7,12,0.4607,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-02-02,常滑,2,2,加木　郁,B1,44.90,2,▲,14.2952,22.9,90,52.7,0.1872,4.2162,,,0,低,199,0,-,314,0,37.9,0.7052,0,0.069,0,0,0.0345,0.1552,0.069,0.1414,,,B,,,0.1078,0.5915,,0.3221,C,43,0,荒れ傾向。高配当狙いか見送り,0.5868,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30.4,両建て推奨,16.55,36.1,3,,,,,,,,,,,
2025-02-02,常滑,2,3,津留浩一,B1,35.85,3,△,11.4998,28.1,58,48.9,0.1742,3.6778,,,0,低,102,0,差0% 抜0%,1 23,0,29.9,0.9973,0,0.0625,0,0,0.0625,0.1412,0.0471,0.3706,,,C,,,0.2419,0.52,,0.3221,C,43,0,荒れ傾向。高配当狙いか見送り,0.5868,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30.4,両建て推奨,16.55,36.1,3,,,,,,,,,,,
2025-02-02,常滑,2,4,今井貴士,A1,51.11,4,◎,21.1663,26.9,100,67.7,0.1508,2.7154,,,0,低,112,0,ま0% 差ま0%,5221,0,96.7,1.7164,0,0,0.1905,0.0476,0,0.24,0,0.0267,,,A,◎,◎,0.3802,0.654,0.3855,0.3221,C,43,0,荒れ傾向。高配当狙いか見送り,0.5868,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,30.4,両建て推奨,16.55,36.1,3,,,,,,,,,,,
