日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,平和島,1,1,鈴木　猛,B1,20.51,1,◎,44.6695,,0,78.3,0.1787,3.6417,,,0,低,166,0,逃0% 抜0%,365 2,0,73.5,0.9447,0.3,,,,,0.1133,0.2133,0.0533,○,,E,△,,,0.6215,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,5-1-3|5-2-1|5-1-2|5-3-1|5-1-6|5-2-3|5-3-2|1-3-4|1-3-5|1-5-3|1-5-4,5-1-3|5-2-1|5-1-2|5-3-1|5-1-6|5-2-3|5-3-2|1-3-4|1-3-5|1-5-3|1-5-4|6-1-3,5-1-3:1.43%|5-2-1:1.36%|5-1-2:1.24%|5-3-1:0.95%|5-1-6:0.71%|5-2-3:0.68%|5-3-2:0.41%|1-3-4:7.21%|1-3-5:6.73%|1-5-3:5.15%|1-5-4:4.35%,5-1-3:B_main|5-2-1:B_main|5-1-2:B_main|5-3-1:B_main|5-1-6:B_main|5-2-3:B_main|5-3-2:B_main|1-3-4:A|1-3-5:A|1-5-3:A|1-5-4:A,11,12,0.4842,1,[!]見送り推奨（主役決まり手「まくり差し」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-02-02,平和島,1,2,加藤奈月,B1,31.85,2,▲,12.6424,19.6,81,26.1,0.21,4.3913,,,0,低,68,0,-,336 53,0,30.4,0.5528,,,,,,0,0.2591,0.1455,,,B,△,,0.0945,0.627,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,,,,,,,,,,,
2025-02-02,平和島,1,3,山田亮太,A2,29.63,3,○,21.9521,52.2,96,59.6,0.1662,3.4519,,,0,低,92,0,ま0% 差ま0%,3 4234,0,89.6,1.374,0,0,0.12,0.08,0,0.1058,0.0308,0.0615,,○,B,◎,,0.3949,0.642,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,,,,,,,,,,,
2025-02-02,平和島,1,4,上野拓馬,B1,26.52,4,,15.6886,5.5,100,31.8,0.1822,4.119,,,0,低,130,0,-,565 4,0,44.4,1.0581,,,,,,0.2821,0.2452,0.1131,,,D,,,0.3288,0.62,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,,,,,,,,,,,
2025-02-02,平和島,1,5,齊藤　優,B1,26.61,5,△,3.5991,22,62,26.3,0.1467,3.4035,,,0,低,103,0,-,4 6314,0,22.7,0.7186,,,,,,0.0923,0.3923,0.0462,,◎,D,○,,0.4438,0.6325,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,,,,,,,,,,,
2025-02-02,平和島,1,6,高橋涼夏,B2,26.98,6,,1.4482,0.8,17,1.1,0.1739,4.0111,,,0,低,43,0,-,6 6 56,0,22.7,0.5522,,,,,,,,,,,C,,,0.3573,0.5355,,0.3499,B,50,0,◎○△フォーメーション（15〜20点）,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,32.2,両建て推奨,14.61,31.6,4,,,,,,,,,,,
2025-02-02,平和島,2,1,小澤和也,B1,22.13,1,◎,41.3281,,0,80,0.1542,2.5625,,,0,低,134,0,-,3 2636,0,62.4,0.8437,0.5263,,,,,0.3242,0.0632,0.1411,◎,,E,△,,,0.612,,0.4893,C,37,0,荒れ傾向。高配当狙いか見送り,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.1,両建て推奨,13.24,35.5,3,,,,,0,0,0.5947,0,,逃げ軸流し,A
2025-02-02,平和島,2,2,酒井俊弘,B1,32.06,2,△,10.2412,21.9,74,44.4,0.1464,3.5111,,,0,低,62,0,-,131 64,0,40.3,1.1195,0,0.0476,0,0,0,0.0167,0.4167,0.25,,◎,D,△,,0.3873,0.6165,,0.4893,C,37,0,荒れ傾向。高配当狙いか見送り,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.1,両建て推奨,13.24,35.5,3,,,,,,,,,,,
2025-02-02,平和島,2,3,佐藤永梧,B1,51.13,3,○,22.4827,21.9,69,31,0.1479,3.0517,,,0,低,60,0,ま0%,4 466,0,100,2.3312,0,0,0.1364,0,0,0.2778,0.2222,0.0556,,,A,,,0.3414,0.5585,,0.4893,C,37,0,荒れ傾向。高配当狙いか見送り,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.1,両建て推奨,13.24,35.5,3,,,,,,,,,,,
2025-02-02,平和島,2,4,外崎　悟,B1,28.68,4,,12.3484,26,100,56.4,0.1436,2.7636,,,0,低,91,0,-,554 1,0,42.8,1.0319,0,0.0909,0.0455,0,0,0,0.219,0.0333,,,D,○,,0.3341,0.6445,,0.4893,C,37,0,荒れ傾向。高配当狙いか見送り,0.4545,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.1,両建て推奨,13.24,35.5,3,,,,,,,,,,,
