日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,徳山,1,1,清埜翔子,A2,40.22,1,◎,67.7227,,0,85.7,0.1245,2.4167,,,0,低,56,0,逃0%,6 143,0,81.2,1.0926,0.4211,,,,,0.1421,0.1421,0.2263,◎,,A,◎,,,0.6365,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,0,0,0.8231,0,,逃げ軸流し,A
2025-02-02,徳山,1,2,塩崎桐加,A2,29.82,2,△,13.6632,46.2,68,63.3,0.1433,2.7667,,,0,低,58,0,-,322 34,0,54.5,1.0505,0,0,0.0909,0,0,0,0.2727,0.0909,,,D,,,0.1458,0.5535,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,,,,,,,
2025-02-02,徳山,1,3,松本　怜,B1,31.28,3,,7.1922,22,87,38.5,0.1896,3.3269,,,0,低,54,0,-,3 4124,0,90.1,0.7338,,,,,,0,0.5,0.25,,,C,△,,0.1588,0.572,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,,,,,,,
2025-02-02,徳山,1,4,刑部亜里,A2,33.14,4,▲,7.726,19.2,100,57.9,0.2063,4.75,,,0,低,94,0,-,162 6,0,78.2,1.6294,0,0,0.0476,0,0,0.2248,0.0533,0.1124,,,C,△,,0.1316,0.5895,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,,,,,,,
2025-02-02,徳山,1,5,福山恵里,B1,30.46,5,,1.4638,3.1,53,14.3,0.1438,3.5,,,0,低,42,0,-,536 44,0,29.5,0.6371,,,,,,0.19,0.46,0,,,D,,,0.273,0.498,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,,,,,,,
2025-02-02,徳山,1,6,高憧四季,B1,33.16,6,○,2.232,9.4,41,31.2,0.1491,3.2969,,,0,低,59,0,ま0% 差ま0%,1 364,0,29.5,1.7128,0,0,0.3333,0.1667,0,0,0.0769,0.0769,,,C,○,,0.3186,0.62,,0.5777,S,99,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1115, 'est_top_odds': 12.0, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.7%（本命度） / 最有力組み合わせ確率: 0.111（推定実オッズ?12倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.124秒)→ヒモ固まり方向に注意'}",,,29.2,逃げ狙い,22.47,31.1,2,,,,,,,,,,,
2025-02-02,徳山,2,1,三村岳人,A2,46.59,1,◎,70.7745,,0,94.6,0.1546,3.1081,,,0,低,53,0,逃1%,333 31,0,78.8,1.1915,0.5625,,,,,0.05,0.025,0.25,◎,,A,○,,,0.6365,,0.4986,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.11, 'est_top_odds': 12.1, 'circle_concentration': 74.6, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=70.8%（本命度） / 最有力組み合わせ確率: 0.110（推定実オッズ?12倍） / 2着集中度: 上位2艇 74.6%（補正+0.04） / 総合判定確率: 0.150 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,24.3,逃げ狙い,9.8,27.8,3,,,,,0,0,0.8231,0,,逃げ軸流し,A
2025-02-02,徳山,2,2,佐藤太亮,B1,40.57,2,▲,8.6957,43.7,63,49,0.1631,3.5784,,,0,低,72,0,-,4 455,0,100,1.9145,0,0.0714,0.0714,0,0,0,0.3333,0.3333,,,B,△,,0.2312,0.6,,0.4986,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.11, 'est_top_odds': 12.1, 'circle_concentration': 74.6, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=70.8%（本命度） / 最有力組み合わせ確率: 0.110（推定実オッズ?12倍） / 2着集中度: 上位2艇 74.6%（補正+0.04） / 総合判定確率: 0.150 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,24.3,逃げ狙い,9.8,27.8,3,,,,,,,,,,,
2025-02-02,徳山,2,3,島川海輝,A1,38.10,3,○,10.3214,31,100,59.2,0.1512,3.0102,,,0,低,76,0,ま0% 抜0%,153 5,0,25.3,0.7788,0,0,0.087,0.0435,0.0435,0.0296,0.1296,0.1593,,,C,◎,,0.3134,0.663,,0.4986,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.11, 'est_top_odds': 12.1, 'circle_concentration': 74.6, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=70.8%（本命度） / 最有力組み合わせ確率: 0.110（推定実オッズ?12倍） / 2着集中度: 上位2艇 74.6%（補正+0.04） / 総合判定確率: 0.150 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,24.3,逃げ狙い,9.8,27.8,3,,,,,,,,,,,
2025-02-02,徳山,2,4,笹木香吾,B1,33.53,4,△,6.1807,18.6,54,39.7,0.1367,2.8175,,,0,低,79,0,ま0%,644 23,0,43,0.9632,0,0,0.1579,0,0,0.025,0,0.3,,,D,,,0.3921,0.584,,0.4986,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6291,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.11, 'est_top_odds': 12.1, 'circle_concentration': 74.6, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=70.8%（本命度） / 最有力組み合わせ確率: 0.110（推定実オッズ?12倍） / 2着集中度: 上位2艇 74.6%（補正+0.04） / 総合判定確率: 0.150 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,24.3,逃げ狙い,9.8,27.8,3,,,,,,,,,,,
