日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-01,戸田,1,1,木村浩士,B1,32.89,1,◎,46.863,,0,80.6,0.2004,4.2463,,,0,低,221,0,-,445,0,59.6,0.8696,0.4643,,,,,0.1143,0.2714,0.1286,△,,D,○,,,0.6485,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,3-1-5|3-1-4|1-5-3|1-3-2|1-3-6|1-2-3,6-1-2|4-1-5|6-1-4|4-5-1|6-2-1|6-4-1|3-1-5|3-1-4|1-5-3|1-3-2|1-3-6|1-2-3,3-1-5:1.97%|3-1-4:4.38%|1-5-3:4.32%|1-3-2:3.7%|1-3-6:3.59%|1-2-3:3.57%,3-1-5:B_main|3-1-4:B_sc|1-5-3:A|1-3-2:A|1-3-6:A|1-2-3:A,6,12,0.3345,1,[!]見送り推奨（主役決まり手「まくり差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-04-01,戸田,1,2,中嶋達也,B1,36.02,2,,13.3301,9.9,59,23.4,0.1898,3.7344,,,0,低,136,0,-,6 65,0,30.4,0.9991,,,,,,0.1429,0.3333,0.1905,,○,C,,,0.4506,0.5685,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,,,,,,,,,,,
2025-04-01,戸田,1,3,高橋　勲,B1,22.90,3,△,21.7025,29.2,100,65,0.1503,3.075,,,0,低,68,0,-,454,0,94.8,1.594,0,0,0,0.1429,0.0357,0.1421,0.1421,0.2263,,◎,E,,,0.5177,0.565,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,,,,,,,,,,,
2025-04-01,戸田,1,4,稲生夏季,B1,36.94,4,,11.4497,19.4,55,33.3,0.2057,4.3333,,,0,低,91,0,-,335,0,26.2,0.9226,,,,,,0.4444,0.4444,0,,,C,△,,0.3299,0.5845,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,,,,,,,,,,,
2025-04-01,戸田,1,5,川添英正,B1,38.67,5,○,5.2516,36.5,44,27.3,0.1942,4.4,,,0,低,169,0,-,1 53,0,26.9,0.92,0,0,0.0385,0,0,0.19,0.1,0.04,,,B,◎,,0.3431,0.657,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,,,,,,,,,,,
2025-04-01,戸田,1,6,岩井　繁,B1,37.58,6,▲,1.4031,5,53,11.8,0.1865,4.1569,,,0,低,197,0,-,2 54,0,20.9,0.7469,,,,,,0.2042,0.4466,0.0741,,,B,△,,0.3983,0.6325,,0.2517,B,47,0,◎○△フォーメーション（15〜20点）,0.4261,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0641, 'est_top_odds': 20.8, 'circle_concentration': 65.7, 'eligible_count': 11, 'bet_adj': 2, 'reason': 'rel_win1=46.9%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 65.7%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.200秒)確認→ヒモが荒れやすい'}",,,34.4,両建て推奨,14.29,35.5,3,,,,,,,,,,,
2025-04-01,戸田,2,1,福嶋智之,B1,37.66,1,◎,32.601,,0,74.6,0.1656,3.2364,,,0,低,102,0,-,524,0,60.6,0.769,0.3333,,,,,0.1583,0.325,0.1417,○,,B,△,,,0.5965,,0.4433,D,19,1,大荒れ。見送り推奨,0.4261,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,37,両建て推奨,20.88,37.2,2,2-1-3|1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,6-1-3|6-3-1|4-5-1|4-1-5|2-1-3|4-5-6|6-1-5|1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,2-1-3:2.07%|1-2-5:5.66%|1-2-3:5.64%|1-3-2:4.25%|1-3-5:3.32%|1-4-2:2.96%,2-1-3:B_main|1-2-5:A|1-2-3:A|1-3-2:A|1-3-5:A|1-4-2:A,6,12,0.454,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-04-01,戸田,2,2,黒野元基,A1,24.80,2,▲,28.2772,48.4,100,93,0.1707,3.3256,,,0,低,88,0,差0%,2511,0,97.1,1.5898,0,0.2667,0,0,0,0,0.1796,0,,◎,E,◎,,0.3362,0.651,,0.4433,D,19,1,大荒れ。見送り推奨,0.4261,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,37,両建て推奨,20.88,37.2,2,,,,,,,,,,,
2025-04-01,戸田,2,3,平見真彦,A2,45.71,3,○,23.2713,24.3,90,65.8,0.1851,3.5274,,,0,低,186,0,差ま0% 抜0%,5 22,0,54.4,1.5202,0,0,0,0.0385,0.0385,0,0.1732,0.2714,,,A,△,,0.2164,0.598,,0.4433,D,19,1,大荒れ。見送り推奨,0.4261,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,37,両建て推奨,20.88,37.2,2,,,,,,,,,,,
2025-04-01,戸田,2,4,植竹玲奈,B2,32.82,4,△,8.4381,14.3,64,12.5,0.2137,4.1875,,,0,低,67,0,-,666,0,18.3,0.6657,,,,,,,,,,,C,,,0.1873,0.5055,,0.4433,D,19,1,大荒れ。見送り推奨,0.4261,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,37,両建て推奨,20.88,37.2,2,,,,,,,,,,,
