日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,桐生,1,1,遠藤圭吾,B1,50.00,1,◎,51.4641,,0,65.4,0.15,2.7115,,,0,低,79,0,-,421,0,77.3,1.1179,0.4545,,,,,0.1818,0.2727,0,◎,,A,,,,0.6115,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,0,0,0.6572,0,,逃げ軸流し,A
2025-02-02,桐生,1,2,坂井滉哉,B1,22.22,2,▲,9.8387,21.8,56,31.8,0.16,3.5114,,,0,低,72,0,差0% ま0%,664,0,36.6,0.6309,0,0.04,0.04,0,0,0.0667,0.0667,0.3067,,,D,△,,0.208,0.618,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,,,,,,,
2025-02-02,桐生,1,3,牧原　崇,B1,33.33,3,○,14.1826,35.7,82,50,0.1665,3.5676,,,0,低,174,0,-,541,0,67,0.8513,0,0,0.0323,0.129,0,0.0258,0.2016,0.2274,,,B,◎,,0.2266,0.6775,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,,,,,,,
2025-02-02,桐生,1,4,佐藤　旭,B1,50.00,4,△,10.8374,12.7,100,45.6,0.2056,4.614,,,0,低,162,0,-,321,0,32.1,0.86,,,,,,0.0706,0.2441,0.0706,,,A,△,,0.1355,0.628,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,,,,,,,
2025-02-02,桐生,1,5,津久井拓,A2,11.11,5,,10.0063,20.4,87,53.6,0.1686,3.5072,,,0,低,129,0,-,253,0,22.8,0.7438,0,0.0303,0,0.0909,0,0.0324,0.1722,0.2039,,,E,○,,0.2311,0.6415,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,,,,,,,
2025-02-02,桐生,1,6,金山立樹,B1,11.11,6,,3.6708,9.5,45,25,0.2002,4.3846,,,0,低,147,0,-,155,0,20.9,0.7583,0,0.05,0,0,0,0.3513,0.2185,0.0706,,,E,,,0.1237,0.565,,0.5687,B,51,0,◎○△フォーメーション（15〜20点）,0.5023,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0637, 'est_top_odds': 20.9, 'circle_concentration': 57.4, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=51.5%（本命度） / 最有力組み合わせ確率: 0.064（推定実オッズ?21倍） / 2着集中度: 上位2艇 57.4%（補正+0.00） / 総合判定確率: 0.064 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,12.75,33,4,,,,,,,,,,,
2025-02-02,桐生,2,1,澤崎雄哉,B1,22.22,1,◎,44.966,,0,82,0.1577,3.359,,,0,低,88,0,逃0%,665,0,74.4,1.0678,0.2941,,,,,0.2871,0.4047,0.0706,○,,D,△,,,0.6435,,0.4009,A,71,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5023,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33,逃げ狙い,11.5,41.2,2,,,,,0,0,0.5352,0,,主役軸流し,B
2025-02-02,桐生,2,2,奥田　誠,B1,40.00,2,○,14.6114,25.2,100,54.7,0.1869,3.9133,,,0,低,163,0,-,263,0,52.7,1.1034,0,0.0588,0.0882,0,0.0294,0.1771,0.0571,0.139,,,B,△,,0.1091,0.6205,,0.4009,A,71,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5023,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33,逃げ狙い,11.5,41.2,2,,,,,,,,,,,
2025-02-02,桐生,2,3,石岡将太,B1,40.00,3,▲,16.6509,43.4,92,52.2,0.1729,3.3406,,,0,低,108,0,ま0%,4 12,0,92,1.6773,0,0,0.129,0,0,0.2159,0.1153,0.1185,,,B,○,,0.2844,0.6615,,0.4009,A,71,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5023,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33,逃げ狙い,11.5,41.2,2,,,,,,,,,,,
2025-02-02,桐生,2,4,中里昌志,B1,36.36,4,,10.8072,9.7,86,37.9,0.1652,3.5303,,,0,低,140,0,-,344,0,61.9,1.4104,0,0,0.0357,0,0,0.3162,0.2152,0.1962,,,C,,,0.3136,0.604,,0.4009,A,71,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5023,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33,逃げ狙い,11.5,41.2,2,,,,,,,,,,,
