日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-08,江戸川,1,1,杉村賢也,B1,39.20,1,◎,56.28,,0,82.6,0.1246,2.3913,,,0,低,88,0,-,,0,84,1.219,0.3158,,,,,0.2042,0.0632,0.4863,◎,,B,△,,,0.5845,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,0,0,0.6174,0,,逃げ軸流し,A
2025-04-08,江戸川,1,2,渥美卓郎,B1,33.84,2,,15.1576,27.1,100,47.7,0.1903,3.9077,,,0,低,188,0,-,,0,77,1.2466,0,0.0417,0,0,0,0.25,0.02,0.25,,,D,◎,,0.0885,0.615,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,,,,,,,
2025-04-08,江戸川,1,3,品川賢次,B1,34.20,3,△,11.7313,24.8,90,46.3,0.1694,3.7778,,,0,低,141,0,差0%,,0,39.8,1.0113,0,0.0526,0,0,0,0.3835,0.1489,0.1278,,,D,○,,0.1288,0.59,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,,,,,,,
2025-04-08,江戸川,1,4,吉田祐貴,B1,43.50,4,○,9.1564,13.1,25,16.7,0.1874,3.963,,,0,低,116,0,差0%,,0,23.6,0.763,0,0.05,0,0,0,0.3333,0.4444,0,,,B,△,,0.1189,0.5695,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,,,,,,,
2025-04-08,江戸川,1,5,一色颯輝,B1,37.44,5,▲,6.3414,28.6,51,40.7,0.1757,3.4352,,,0,低,122,0,-,,0,42.5,1.0964,0,0,0,0.0526,0,0,0.5714,0,,,C,,,0.1337,0.5135,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,,,,,,,
2025-04-08,江戸川,1,6,山下拓巳,B1,35.23,6,,1.3332,6.3,18,9.1,0.1736,4.2841,,,0,低,122,0,-,,0,23.3,0.5689,,,,,,0.0381,0.1143,0.2762,,,D,,,0.1669,0.5625,,0.6385,B,58,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0747, 'est_top_odds': 17.9, 'circle_concentration': 55.8, 'eligible_count': 10, 'bet_adj': 2, 'reason': 'rel_win1=56.3%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 55.8%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.125秒)→ヒモ固まり方向に注意'}",,,32.6,両建て推奨,12.16,35.8,3,,,,,,,,,,,
2025-04-08,江戸川,2,1,上原健次,B1,38.42,1,◎,47.2248,,0,76.9,0.1821,3.7179,,,0,低,99,0,逃0%,,0,67.9,1.0416,0.5,,,,,0.08,0.06,0.1733,△,,B,○,,,0.6365,,0.3107,B,53,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0975, 'est_top_odds': 13.7, 'circle_concentration': 73.7, 'eligible_count': 10, 'bet_adj': 0, 'reason': 'rel_win1=47.2%（本命度） / 最有力組み合わせ確率: 0.097（推定実オッズ?14倍） / 2着集中度: 上位2艇 73.7%（補正+0.04） / 総合判定確率: 0.137 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,31.4,両建て推奨,14.51,30.3,3,3-4-5|3-4-6|3-5-4|3-5-6|3-4-1|3-6-5|3-6-4|1-3-2|1-3-4|1-2-3|1-4-3,3-4-5|3-4-6|3-5-4|3-5-6|3-4-1|3-6-5|3-6-4|1-3-2|1-3-4|1-2-3|6-1-2|1-4-3,3-4-5:2.53%|3-4-6:1.62%|3-5-4:1.5%|3-5-6:1.03%|3-4-1:0.88%|3-6-5:0.64%|3-6-4:0.6%|1-3-2:5.56%|1-3-4:5.38%|1-2-3:3.95%|1-4-3:3.45%,3-4-5:B_main|3-4-6:B_main|3-5-4:B_main|3-5-6:B_main|3-4-1:B_main|3-6-5:B_main|3-6-4:B_main|1-3-2:A|1-3-4:A|1-2-3:A|1-4-3:A,11,12,0.3705,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-04-08,江戸川,2,2,宮地博士,B1,32.49,2,△,16.1255,22.1,100,44.6,0.1891,4.3446,,,0,低,189,0,-,,0,68.4,1.9188,0,0.0909,0,0,0,0.0952,0.0762,0.1771,,,D,△,,0.262,0.5195,,0.3107,B,53,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0975, 'est_top_odds': 13.7, 'circle_concentration': 73.7, 'eligible_count': 10, 'bet_adj': 0, 'reason': 'rel_win1=47.2%（本命度） / 最有力組み合わせ確率: 0.097（推定実オッズ?14倍） / 2着集中度: 上位2艇 73.7%（補正+0.04） / 総合判定確率: 0.137 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,31.4,両建て推奨,14.51,30.3,3,,,,,,,,,,,
2025-04-08,江戸川,2,3,飯山　泰,A2,39.32,3,○,22.7644,51.6,92,72.1,0.1452,2.418,,,0,低,62,0,ま1%,,0,83.1,1.504,0,0,0.1481,0.037,0,0.1124,0.0695,0.139,,◎,B,◎,,0.4953,0.6575,,0.3107,B,53,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0975, 'est_top_odds': 13.7, 'circle_concentration': 73.7, 'eligible_count': 10, 'bet_adj': 0, 'reason': 'rel_win1=47.2%（本命度） / 最有力組み合わせ確率: 0.097（推定実オッズ?14倍） / 2着集中度: 上位2艇 73.7%（補正+0.04） / 総合判定確率: 0.137 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,31.4,両建て推奨,14.51,30.3,3,,,,,,,,,,,
2025-04-08,江戸川,2,4,宇野博之,B1,30.17,4,,8.3933,15.5,75,27.7,0.168,3.5538,,,0,低,135,0,-,,0,32.5,0.8766,,,,,,0.2398,0.297,0.1307,,,D,△,,0.374,0.606,,0.3107,B,53,0,◎○△フォーメーション（15〜20点）,0.4719,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.0975, 'est_top_odds': 13.7, 'circle_concentration': 73.7, 'eligible_count': 10, 'bet_adj': 0, 'reason': 'rel_win1=47.2%（本命度） / 最有力組み合わせ確率: 0.097（推定実オッズ?14倍） / 2着集中度: 上位2艇 73.7%（補正+0.04） / 総合判定確率: 0.137 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート遅め(0.182秒)確認→ヒモが荒れやすい'}",,,31.4,両建て推奨,14.51,30.3,3,,,,,,,,,,,
