日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,浜名湖,1,1,岡部　哲,B1,27.75,1,◎,48.5755,,0,72,0.165,3.39,,,0,低,119,0,-,5 366,0,57.1,0.7922,0.2381,,,,,0.1762,0.3762,0.2143,△,,D,◎,,,0.6265,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,3-4-5|3-5-6|3-6-5|3-4-6|1-3-5|1-3-6|1-4-3|1-2-3|1-4-5,4-1-5|3-4-5|4-5-1|4-1-2|3-5-6|3-6-5|3-4-6|1-3-5|1-3-6|1-4-3|1-2-3|1-4-5,3-4-5:1.85%|3-5-6:1.58%|3-6-5:1.48%|3-4-6:1.35%|1-3-5:4.81%|1-3-6:4.79%|1-4-3:3.54%|1-2-3:3.49%|1-4-5:2.46%,3-4-5:B_main|3-5-6:B_main|3-6-5:B_main|3-4-6:B_main|1-3-5:A|1-3-6:A|1-4-3:A|1-2-3:A|1-4-5:A,9,12,0.4088,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-02-02,浜名湖,1,2,栗山繁洋,B1,33.33,2,,11.4536,22.5,100,38.2,0.1938,4.3971,,,0,低,176,0,抜0%,4 456,0,26,0.6991,0,0,0,0,0.0312,0.0545,0.6273,0.0909,,,C,△,,0.1039,0.6165,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,,,,,,,,,,,
2025-02-02,浜名湖,1,3,深尾巴恵,B1,24.22,3,△,23.0252,43,91,60,0.132,2.5,,,0,低,70,0,-,136 55,0,100,3.1181,0,0,0.125,0,0,0.25,0,0.5,,◎,E,△,,0.5132,0.5515,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,,,,,,,,,,,
2025-02-02,浜名湖,1,4,伊藤　栞,B2,34.22,4,○,7.865,15.2,63,0,0.17,3.8,,,0,低,55,0,-,666 6,0,23.5,0.6609,,,,,,0,0.5,0.5,,,B,,,0.3478,0.5045,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,,,,,,,,,,,
2025-02-02,浜名湖,1,5,樋江井舞,B2,33.52,5,,7.5185,16.8,86,23.3,0.1835,4.0349,,,0,低,76,0,-,255 66,0,25.9,0.781,,,,,,,,,,,C,,,0.3076,0.539,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,,,,,,,,,,,
2025-02-02,浜名湖,1,6,山本光雄,B1,36.16,6,▲,1.5622,2.4,50,14.6,0.1731,3.7812,,,0,低,123,0,-,1 L36,0,21,0.9239,,,,,,0,0.019,0.1171,,,B,○,,0.3407,0.62,,0.2842,B,51,0,◎○△フォーメーション（15〜20点）,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0699, 'est_top_odds': 19.1, 'circle_concentration': 65.6, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.6%（本命度） / 最有力組み合わせ確率: 0.070（推定実オッズ?19倍） / 2着集中度: 上位2艇 65.6%（補正+0.00） / 総合判定確率: 0.070 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.9,両建て推奨,15.86,39,3,,,,,,,,,,,
2025-02-02,浜名湖,2,1,増田　進,B1,35.96,1,◎,40.2154,,0,78.9,0.1592,3.0704,,,0,低,192,0,-,6 654,0,77.2,1.2379,0.2333,,,,,0.28,0.3333,0.14,○,,C,,,,0.6315,,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,0,0,0.5548,0,,主役軸流し,B
2025-02-02,浜名湖,2,2,柳瀬幹太,B1,29.41,2,,10.2806,32.4,40,55.6,0.1698,3.4333,,,0,低,70,0,-,2 2524,0,31.9,0.8059,0,0.0769,0,0,0,0.2364,0.1091,0.0364,,,D,△,,0.2525,0.638,,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,,,,,,,
2025-02-02,浜名湖,2,3,横田貴満,A2,36.46,3,○,25.1812,35.7,68,75.9,0.1583,3,,,0,低,87,0,差ま1%,22246,0,70.5,0.92,0,0,0,0.28,0,0.1446,0.0435,0.1011,,○,B,◎,,0.4043,0.6885,,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,,,,,,,
2025-02-02,浜名湖,2,4,河村　了,A1,36.36,4,▲,14.4076,21.2,100,74.5,0.1516,3.2451,,,0,低,97,0,-,332112,0,51.4,1.163,0,0,0,0.0952,0,0.1505,0.0276,0,,,B,○,◎,0.3691,0.6815,0.3556,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,,,,,,,
2025-02-02,浜名湖,2,5,野田部宏,B1,32.18,5,△,5.7771,8.4,51,25,0.1256,2.5139,,,0,低,35,0,ま0%,456 3,0,23.2,0.7476,0,0,0.1176,0,0,0.1,0.2,0.2,,◎,D,,,0.4676,0.616,,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,,,,,,,
2025-02-02,浜名湖,2,6,山下昂大,B1,32.35,6,,4.1381,2.2,28,29.8,0.183,4.3723,,,0,低,104,0,差ま0%,3 342,0,30.1,1.4931,0,0,0,0.0833,0,0.1624,0.1079,0.0812,,,D,△,,0.2661,0.644,,0.3743,C,42,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,33.7,両建て推奨,16.78,40.3,3,,,,,,,,,,,
2025-02-02,浜名湖,3,1,野相弘司,B1,28.98,1,◎,35.3417,,0,84.3,0.1369,2.6176,,,0,低,120,0,逃0%,565 53,0,69,1.0499,0.4348,,,,,0.1896,0.1548,0.087,◎,,D,△,,,0.6095,,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,0,0,0.6813,0,,逃げ軸流し,A
2025-02-02,浜名湖,3,2,前野竜一,A2,35.83,2,▲,16.3252,31.9,78,67.2,0.159,3.2586,,,0,低,115,0,差0% ま0% 抜0%,36341,0,48.2,1.1803,0,0.1071,0.0357,0,0.0714,0.0133,0.2267,0.1067,,,B,△,,0.1293,0.5985,,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,,,,,,,
2025-02-02,浜名湖,3,3,長尾章平,A1,25.58,3,△,28.351,45.6,100,87.1,0.1573,3.4516,,,0,低,100,0,差0% ま0% 差ま0% 抜0%,161233,0,97.6,1.8808,0,0.0345,0.1379,0.1034,0.0345,0.12,0.0844,0.1022,,,E,◎,,0.237,0.69,,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,,,,,,,
2025-02-02,浜名湖,3,4,中野孝二,B1,28.90,4,,13.2796,4.8,77,39,0.1676,3.1585,,,0,低,98,0,差0% ま0% 差ま0%,222 26,0,34.6,1.1253,0,0.0476,0.0476,0.0476,0,0.1667,0.0667,0.0667,,,D,,◎,0.1925,0.5655,0.2953,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,,,,,,,
2025-02-02,浜名湖,3,5,冨田秀幸,B1,42.44,5,○,4.1755,10.4,73,26.9,0.1481,3.3358,,,0,低,118,0,差ま0%,3 435,0,23.3,0.726,0,0,0,0.04,0,0.1765,0.0588,0.2941,,,A,○,,0.2702,0.663,,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,,,,,,,
2025-02-02,浜名湖,3,6,荒牧凪沙,B1,31.21,6,,2.5269,7.3,30,20.4,0.1989,4.2273,,,0,低,117,0,-,546 63,0,23.3,1.0175,,,,,,0.0571,0.2857,0.2571,,,C,,,0.162,0.5875,,0.5295,D,31,1,大荒れ。見送り推奨,0.5207,"{'is_target': False, 'verdict': '対象外', 'max_combo_prob': None, 'est_top_odds': None, 'circle_concentration': None, 'eligible_count': 0, 'bet_adj': 0, 'reason': '1号艇rel_win1 < 45%: 通常判定に委ねる', 'tenji_trigger': ''}",,,31.9,両建て推奨,21.08,31.7,3,,,,,,,,,,,
2025-02-02,浜名湖,4,1,三品隆浩,B1,36.05,1,◎,52.5269,,0,64.3,0.1771,3.5893,,,0,低,181,0,-,466 4,0,49.7,0.9221,0.2917,,,,,0.2881,0.2714,0.119,△,,C,,,,0.59,,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,4-5-6|1-2-4|1-3-4|1-4-2|1-4-3|1-3-2,2-1-3|2-3-1|3-1-2|3-2-1|4-5-6|3-1-5|6-1-3|1-2-4|1-3-4|1-4-2|1-4-3|1-3-2,4-5-6:1.6%|1-2-4:7.62%|1-3-4:7.36%|1-4-2:5.84%|1-4-3:5.59%|1-3-2:4.54%,4-5-6:B_main|1-2-4:A|1-3-4:A|1-4-2:A|1-4-3:A|1-3-2:A,6,12,0.4088,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-02-02,浜名湖,4,2,高山智至,B1,29.41,2,△,10.5732,23.7,100,51.5,0.1653,3.2721,,,0,低,122,0,-,425 15,0,29,0.7553,0,0.0312,0,0,0.0312,0.1333,0.4,0.2,,○,D,△,,0.4664,0.632,,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,,,,,,,,,,,
2025-02-02,浜名湖,4,3,星　栄爾,A2,37.14,3,○,12.6914,27.4,88,56,0.158,2.7933,,,0,低,115,0,差0%,154 14,0,26.8,0.7983,0,0.0323,0,0,0.0323,0.0293,0.0293,0.2585,,△,B,△,,0.4187,0.652,,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,,,,,,,,,,,
2025-02-02,浜名湖,4,4,吉田拡郎,A1,26.95,4,▲,18.6686,40.7,75,100,0.1078,2.3333,,,0,低,10,0,ま0%,64331,0,100,2.2268,0,0,0.2222,0,0,0.0909,0,0,,◎,E,◎,◎,0.5608,0.81,0.5,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,,,,,,,,,,,
2025-02-02,浜名湖,4,5,宮村勇哉,B1,36.93,5,,4.0006,6.4,39,15.6,0.1805,3.6875,,,0,低,96,0,-,S 3222,0,19.9,0.35,,,,,,0.25,0.0833,0.25,,,B,,,0.336,0.583,,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,,,,,,,,,,,
2025-02-02,浜名湖,4,6,鳥飼　眞,A2,27.59,6,,1.5392,1.7,59,16.7,0.1767,4.0833,,,0,低,96,0,-,2 4355,0,19.9,0.9217,,,,,,0.1016,0.2274,0.1016,,,D,○,,0.352,0.6755,,0.2341,C,44,0,荒れ傾向。高配当狙いか見送り,0.5207,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0748, 'est_top_odds': 17.8, 'circle_concentration': 68.2, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=52.5%（本命度） / 最有力組み合わせ確率: 0.075（推定実オッズ?18倍） / 2着集中度: 上位2艇 68.2%（補正+0.00） / 総合判定確率: 0.075 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,34.8,両建て推奨,21.36,39.7,4,,,,,,,,,,,
