日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-04,福岡,1,1,和田拓也,A1,52.38,1,◎,74.1991,,0,92.6,0.1137,2.0556,,,0,低,51,0,逃1%,,0,90.8,1.2534,0.8438,,,,,0,0,0.175,◎,,A,◎,,,0.67,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,0,0,0.7457,0,,逃げ軸流し,A
2025-04-04,福岡,1,2,泉　啓文,B1,24.24,2,,7.1359,28.3,100,27.4,0.1895,3.7419,,,0,低,157,0,-,,0,29.3,0.5464,0,0,0,0,0.0385,0.24,0.16,0.2,,,D,△,,0.0775,0.648,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,,,,,,,
2025-04-04,福岡,1,3,木下大將,B1,19.05,3,,10.912,57.2,97,62,0.1512,3.44,,,0,低,82,0,-,,0,45,0.9131,0,0,0.0417,0.0417,0,0.1053,0.0526,0.0526,,,E,○,,0.11,0.6535,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,,,,,,,
2025-04-04,福岡,1,4,小川竜太,B1,43.75,4,○,5.6112,10.3,94,26.2,0.1586,3.1667,,,0,低,74,0,差ま0%,,0,27.8,0.6355,0,0,0,0.0588,0,0.1538,0.2308,0.2308,,,B,,,0.1138,0.5895,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,,,,,,,
2025-04-04,福岡,1,5,川辺郭人,B2,20.00,5,△,1.0518,4,52,5.9,0.1362,3.1765,,,0,低,96,0,-,,0,19.3,0.6245,,,,,,0.0364,0.3091,0.0364,,,E,,,0.2415,0.5105,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,,,,,,,
2025-04-04,福岡,1,6,山戸信二,B1,50.00,6,▲,1.0901,0.2,33,4.3,0.2068,4.2447,,,0,低,117,0,-,,0,21.7,0.6375,,,,,,0.4333,0.2167,0.0444,,,A,△,,0.135,0.5985,,0.7688,S,91,0,◎1着固定 2-3着流し（5〜8点）,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1521, 'est_top_odds': 8.8, 'circle_concentration': 85.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=74.2%（本命度） / 最有力組み合わせ確率: 0.152（推定実オッズ?9倍） / 2着集中度: 上位2艇 85.5%（補正+0.04） / 総合判定確率: 0.192 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.114秒)→ヒモ固まり方向に注意'}",,,24.8,逃げ狙い,11.93,22.3,3,,,,,,,,,,,
2025-04-04,福岡,2,1,西村秀樹,B1,43.33,1,◎,47.4027,,0,67.7,0.1726,3.2206,,,0,低,122,0,-,,0,68.5,0.9963,0.125,,,,,0.25,0.1875,0.3125,△,,B,○,,,0.6095,,0.2799,C,43,0,荒れ傾向。高配当狙いか見送り,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1013, 'est_top_odds': 13.2, 'circle_concentration': 85.0, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=47.4%（本命度） / 最有力組み合わせ確率: 0.101（推定実オッズ?13倍） / 2着集中度: 上位2艇 85.0%（補正+0.04） / 総合判定確率: 0.141 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,31.4,両建て推奨,15.27,38.3,2,1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,5-1-6|5-6-1|6-1-3|6-1-4|6-1-5|6-4-1|6-3-1|1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,1-2-5:8.94%|1-2-3:8.2%|1-3-2:5.47%|1-3-5:4.66%|1-4-2:3.06%,1-2-5:A|1-2-3:A|1-3-2:A|1-3-5:A|1-4-2:A,5,12,0.4474,1,[!]見送り推奨（主役決まり手「差し」― 逃げ劣勢レースで的中実績なし）,荒れ広め,D
2025-04-04,福岡,2,2,北山康介,A1,22.58,2,○,28.6639,65.4,93,74.3,0.1571,3.5286,,,0,低,69,0,差0%,,0,88,1.3098,0,0.1667,0,0,0,0.0694,0.1138,0,,◎,E,◎,,0.5313,0.663,,0.2799,C,43,0,荒れ傾向。高配当狙いか見送り,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1013, 'est_top_odds': 13.2, 'circle_concentration': 85.0, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=47.4%（本命度） / 最有力組み合わせ確率: 0.101（推定実オッズ?13倍） / 2着集中度: 上位2艇 85.0%（補正+0.04） / 総合判定確率: 0.141 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,31.4,両建て推奨,15.27,38.3,2,,,,,,,,,,,
2025-04-04,福岡,2,3,上瀧絢也,B1,24.14,3,△,13.39,19.6,100,33.3,0.151,3.4359,,,0,低,78,0,-,,0,30.3,0.8477,0,0,0,0.0667,0,0.0923,0.2423,0,,○,D,△,,0.4273,0.595,,0.2799,C,43,0,荒れ傾向。高配当狙いか見送り,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1013, 'est_top_odds': 13.2, 'circle_concentration': 85.0, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=47.4%（本命度） / 最有力組み合わせ確率: 0.101（推定実オッズ?13倍） / 2着集中度: 上位2艇 85.0%（補正+0.04） / 総合判定確率: 0.141 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,31.4,両建て推奨,15.27,38.3,2,,,,,,,,,,,
2025-04-04,福岡,2,4,成貞琳平,B1,25.93,4,,3.7427,9.1,84,23.9,0.1854,4.0217,,,0,低,120,0,-,,0,38.4,0.7783,,,,,,0.075,0.375,0.25,,,D,△,,0.2909,0.5785,,0.2799,C,43,0,荒れ傾向。高配当狙いか見送り,0.5699,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1013, 'est_top_odds': 13.2, 'circle_concentration': 85.0, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=47.4%（本命度） / 最有力組み合わせ確率: 0.101（推定実オッズ?13倍） / 2着集中度: 上位2艇 85.0%（補正+0.04） / 総合判定確率: 0.141 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,31.4,両建て推奨,15.27,38.3,2,,,,,,,,,,,
