日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-04-01,芦屋,1,1,鶴田勇雄,A2,40.52,1,◎,70.6326,,0,92.4,0.1711,3.1456,,,0,低,167,0,逃0%,32,0,81,1.2088,0.4839,,,,,0.0258,0.3819,0.0387,○,,A,△,,,0.609,,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,0,0,0.651,0,,主役軸流し,B
2025-04-01,芦屋,1,2,小玉啓太,B1,31.78,2,,8.2989,23.9,86,43.5,0.1652,3.587,,,0,低,92,0,-,6,0,95.5,1.7374,0,0.08,0.08,0,0,0.2,0.5,0,,△,D,,,0.3814,0.5255,,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,,,,,,,
2025-04-01,芦屋,1,3,水原　慎,B1,32.30,3,○,7.0456,35.5,98,53,0.1571,3.1591,,,0,低,126,0,ま0% 抜0%,2,0,42.2,0.8963,0,0,0.1538,0,0.0385,0.05,0.2,0.2,,○,C,,,0.4189,0.598,,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,,,,,,,
2025-04-01,芦屋,1,4,澁川　夏,B1,27.18,4,,7.3636,23.9,89,46.3,0.1556,3.4634,,,0,低,68,0,-,6,0,35.5,0.9487,,,,,,,,,,◎,E,△,,0.4274,0.625,,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,,,,,,,
2025-04-01,芦屋,1,5,岡谷健吾,B1,35.38,5,△,3.8263,12.2,71,35.2,0.1897,4.3239,,,0,低,180,0,-,5,0,25.4,0.7583,,,,,,0.1444,0.1296,0.1593,,,B,◎,,0.3081,0.69,,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,,,,,,,
2025-04-01,芦屋,1,6,小川晃司,B1,33.60,6,▲,2.833,4.5,100,43.1,0.1611,3.3991,,,0,低,77,0,-,3,0,27.8,1.1244,0,0,0.0104,0.0104,0.0104,,,,,,C,○,◎,0.3631,0.63,0.2799,0.4196,S,86,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0725, 'est_top_odds': 18.4, 'circle_concentration': 59.4, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=70.6%（本命度） / 最有力組み合わせ確率: 0.072（推定実オッズ?18倍） / 2着集中度: 上位2艇 59.4%（補正+0.00） / 総合判定確率: 0.072 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.5,逃げ狙い,13.49,32.4,4,,,,,,,,,,,
2025-04-01,芦屋,2,1,武富智亮,A2,35.66,1,◎,58.2444,,0,94.5,0.1405,2.6233,,,0,低,96,0,逃1%,32,0,81.4,1.1404,0.6667,,,,,0.0121,0.0364,0.1463,◎,,C,◎,,,0.6565,,0.6375,S,87,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0712, 'est_top_odds': 18.7, 'circle_concentration': 71.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 71.5%（補正+0.04） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.6,逃げ狙い,16.66,24.4,4,,,,,0,0,0.7994,0,,逃げ軸流し,A
2025-04-01,芦屋,2,2,一色凌雅,B1,39.45,2,○,8.4771,13.7,81,58.1,0.1763,3.9419,,,0,低,122,0,差0%,52,0,44.3,1.0909,0,0.08,0,0,0,0.075,0.3,0.175,,,B,△,,0.0691,0.6015,,0.6375,S,87,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0712, 'est_top_odds': 18.7, 'circle_concentration': 71.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 71.5%（補正+0.04） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.6,逃げ狙い,16.66,24.4,4,,,,,,,,,,,
2025-04-01,芦屋,2,3,鈴木雅希,B1,31.02,3,△,7.8765,40.2,100,71.2,0.1375,3.3077,,,0,低,98,0,-,5,0,81.5,1.816,0,0.0476,0.0476,0.0476,0,0.048,0.064,0.296,,,D,○,,0.3097,0.6285,,0.6375,S,87,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0712, 'est_top_odds': 18.7, 'circle_concentration': 71.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 71.5%（補正+0.04） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.6,逃げ狙い,16.66,24.4,4,,,,,,,,,,,
2025-04-01,芦屋,2,4,原田篤志,A1,32.79,4,▲,19.0262,31.4,70,63.8,0.171,3.6293,,,0,低,122,0,差0% ま0% 差ま0% 抜0%,26,0,91.8,1.654,0,0.1429,0.0476,0.0476,0.0476,0.02,0.125,0.02,,,C,,◎,0.1918,0.5685,0.4965,0.6375,S,87,0,◎1着固定 2-3着流し（5〜8点）,0.611,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0712, 'est_top_odds': 18.7, 'circle_concentration': 71.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.071（推定実オッズ?19倍） / 2着集中度: 上位2艇 71.5%（補正+0.04） / 総合判定確率: 0.111 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.6,逃げ狙い,16.66,24.4,4,,,,,,,,,,,
