日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,若松,1,1,齋藤　勇,B1,29.41,1,◎,65.5579,,0,63.3,0.1525,3.1583,,,0,低,151,0,逃0%,5,0,70.9,0.8978,0.2593,,,,,0.2741,0.4148,0.0444,○,,E,△,,,0.5935,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,0,0,0.6284,0,,逃げ軸流し,A
2025-02-02,若松,1,2,本田　愛,B1,30.00,2,,10.1596,38,100,50,0.1668,3.5714,,,0,低,78,0,-,6,0,25.3,0.4886,,,,,,0,0.9429,0.0571,,,D,△,,0.2256,0.575,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,,,,,,,
2025-02-02,若松,1,3,池上隆行,B1,30.77,3,△,7.589,23.9,36,14.5,0.1651,3.4091,,,0,低,122,0,-,6,0,18.6,0.5987,,,,,,0.1571,0.1952,0.1952,,,D,,,0.3008,0.5455,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,,,,,,,
2025-02-02,若松,1,4,近藤雄一,B1,37.84,4,▲,10.9752,23.3,82,37.7,0.1683,3.3571,,,0,低,163,0,ま0% 差ま0%,3,0,77.1,0.976,0,0,0.0312,0.0312,0,0.22,0.3114,0.0143,,,C,◎,,0.2826,0.624,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,,,,,,,
2025-02-02,若松,1,5,山口晃朋,B1,45.00,5,○,3.8733,14.1,45,22.7,0.1611,3.4205,,,0,低,72,0,-,3,0,33.6,0.7429,,,,,,0.1079,0,0.0444,,,A,○,,0.3484,0.6005,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,,,,,,,
2025-02-02,若松,1,6,井澤聖奈,B2,41.94,6,,1.8449,0.7,11,1.3,0.2087,4.5263,,,0,低,75,0,-,6,0,19.9,0.5636,,,,,,,,,,,B,,,0.1972,0.498,,0.4334,B,58,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.1174, 'est_top_odds': 11.4, 'circle_concentration': 61.9, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=65.6%（本命度） / 最有力組み合わせ確率: 0.117（推定実オッズ?11倍） / 2着集中度: 上位2艇 61.9%（補正+0.00） / 総合判定確率: 0.117 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.5,両建て推奨,10.93,41.6,2,,,,,,,,,,,
2025-02-02,若松,2,1,大西　賢,B1,42.86,1,◎,48.8225,,0,64.7,0.1702,3.1765,,,0,低,150,0,逃0%,6S,0,57.6,0.8479,0.3478,,,,,0.1722,0.1722,0.2591,○,,A,,,,0.549,,0.3696,B,50,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0736, 'est_top_odds': 18.1, 'circle_concentration': 61.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.8%（本命度） / 最有力組み合わせ確率: 0.074（推定実オッズ?18倍） / 2着集中度: 上位2艇 61.1%（補正+0.00） / 総合判定確率: 0.074 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.6,両建て推奨,18.27,35.7,5,,,,,0,0,0.6284,0,,逃げ軸流し,A
2025-02-02,若松,2,2,角浜　修,B1,7.14,2,,9.9075,13.6,50,36.5,0.1759,3.9257,,,0,低,134,0,-,5,0,28.6,0.8819,0,0.0909,0.0303,0,0,0.0833,0.15,0.15,,,E,◎,,0.287,0.6255,,0.3696,B,50,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0736, 'est_top_odds': 18.1, 'circle_concentration': 61.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.8%（本命度） / 最有力組み合わせ確率: 0.074（推定実オッズ?18倍） / 2着集中度: 上位2艇 61.1%（補正+0.00） / 総合判定確率: 0.074 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.6,両建て推奨,18.27,35.7,5,,,,,,,,,,,
2025-02-02,若松,2,3,永田　楽,B1,22.22,3,△,11.5387,32.7,47,32.1,0.1971,4.0714,,,0,低,112,0,差0% ま0%,5,0,15.3,0.7365,0,0.0588,0.0588,0,0,0,0.5818,0.0364,,,D,,,0.1811,0.527,,0.3696,B,50,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0736, 'est_top_odds': 18.1, 'circle_concentration': 61.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.8%（本命度） / 最有力組み合わせ確率: 0.074（推定実オッズ?18倍） / 2着集中度: 上位2艇 61.1%（補正+0.00） / 総合判定確率: 0.074 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.6,両建て推奨,18.27,35.7,5,,,,,,,,,,,
2025-02-02,若松,2,4,白水勝也,A1,52.38,4,○,11.2595,28.3,100,65.6,0.1743,3.7131,,,0,低,134,0,-,2,0,71,1.953,0,0.05,0,0.05,0,0.1045,0.0455,0.0955,,,A,△,○,0.2966,0.604,0.3188,0.3696,B,50,0,◎○△フォーメーション（15〜20点）,0.5898,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0736, 'est_top_odds': 18.1, 'circle_concentration': 61.1, 'eligible_count': 9, 'bet_adj': 2, 'reason': 'rel_win1=48.8%（本命度） / 最有力組み合わせ確率: 0.074（推定実オッズ?18倍） / 2着集中度: 上位2艇 61.1%（補正+0.00） / 総合判定確率: 0.074 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.6,両建て推奨,18.27,35.7,5,,,,,,,,,,,
