日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,蒲郡,1,1,佐口達也,B1,37.90,1,◎,57.8692,,0,74.4,0.1453,2.9302,,,0,低,129,0,逃0%,6 35,0,76.7,0.9822,0.2667,,,,,0.0267,0.2,0.2533,◎,,B,,,,0.5475,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,0,0,0.7534,0,,逃げ軸流し,A
2025-02-02,蒲郡,1,2,西村豪洋,B1,42.28,2,○,17.6517,43.3,95,55.9,0.1729,3.9237,,,0,低,131,0,差0%,154,0,73.8,1.0812,0,0.0345,0,0,0,0.3771,0.2057,0.1457,,,A,△,,0.06,0.601,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,,,,,,,
2025-02-02,蒲郡,1,3,堂原洋史,B1,21.57,3,,9.3218,25.3,100,38.3,0.1738,3.5583,,,0,低,115,0,-,5 36,0,66.4,1.6342,0,0.0385,0.0385,0,0,0.0364,0.6436,0.1564,,,E,○,,0.1626,0.6155,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,,,,,,,
2025-02-02,蒲郡,1,4,杉山太陽,B1,31.34,4,▲,9.8661,17.6,90,22.7,0.1659,3.1818,,,0,低,87,0,-,535,0,28.3,0.6945,,,,,,0,0.375,0.25,,,D,,,0.2634,0.583,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,,,,,,,
2025-02-02,蒲郡,1,5,小川広大,B1,33.06,5,,3.1978,11.4,39,12.1,0.2045,4.2045,,,0,低,185,0,-,5 45,0,23,0.68,,,,,,0.2545,0.0545,0.2909,,,C,△,,0.165,0.5845,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,,,,,,,
2025-02-02,蒲郡,1,6,山地正樹,B1,33.08,6,△,2.0933,2.3,47,0,0.27,5,,,0,低,88,1,-,3 22,0,23,1.0569,,,,,,0.2091,0.1545,0.1364,,,C,◎,,0.165,0.642,,0.526,A,64,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0909, 'est_top_odds': 14.7, 'circle_concentration': 68.7, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.9%（本命度） / 最有力組み合わせ確率: 0.091（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.7%（補正+0.00） / 総合判定確率: 0.091 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,27.2,両建て推奨,12.46,30.7,4,,,,,,,,,,,
2025-02-02,蒲郡,2,1,小畑実成,B1,37.80,1,◎,55.3023,,0,83,0.1626,3.3936,,,0,低,103,0,逃0%,446,0,70.3,1.0603,0.3929,,,,,0.1429,0.4286,0.0286,○,,B,○,,,0.625,,0.4173,A,77,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0781, 'est_top_odds': 17.1, 'circle_concentration': 63.5, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=55.3%（本命度） / 最有力組み合わせ確率: 0.078（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.078 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.4,逃げ狙い,9.2,36.9,2,,,,,0,0,0.6135,0,,主役軸流し,B
2025-02-02,蒲郡,2,2,佐竹恒彦,A2,44.34,2,○,17.5804,27.5,100,72.3,0.1698,3.9362,,,0,低,110,0,-,6 26,0,55.6,0.95,0,0.0833,0,0,0.0417,0.032,0.2514,0.2194,,,A,△,,0.2676,0.6025,,0.4173,A,77,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0781, 'est_top_odds': 17.1, 'circle_concentration': 63.5, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=55.3%（本命度） / 最有力組み合わせ確率: 0.078（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.078 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.4,逃げ狙い,9.2,36.9,2,,,,,,,,,,,
2025-02-02,蒲郡,2,3,西尾亮輔,B1,35.61,3,▲,9.065,36,50,32.8,0.173,3.377,,,0,低,145,0,差ま0%,1 33,0,74.9,0.6527,0,0,0,0.0385,0,0.12,0.04,0.72,,,C,,,0.2779,0.545,,0.4173,A,77,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0781, 'est_top_odds': 17.1, 'circle_concentration': 63.5, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=55.3%（本命度） / 最有力組み合わせ確率: 0.078（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.078 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.4,逃げ狙い,9.2,36.9,2,,,,,,,,,,,
2025-02-02,蒲郡,2,4,岸本雄貴,B1,16.46,4,,9.7933,15.4,61,37.3,0.1859,4.0932,,,0,低,136,0,-,635,0,70.1,1.7713,0,0,0.0385,0.0385,0,0.0842,0.1621,0.0421,,,E,,,0.2619,0.5525,,0.4173,A,77,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5758,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0781, 'est_top_odds': 17.1, 'circle_concentration': 63.5, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=55.3%（本命度） / 最有力組み合わせ確率: 0.078（推定実オッズ?17倍） / 2着集中度: 上位2艇 63.5%（補正+0.00） / 総合判定確率: 0.078 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,28.4,逃げ狙い,9.2,36.9,2,,,,,,,,,,,
