日付,会場,レース番号,戦略,レースランク,レーススコア,見送り推奨,3択verdict,シナリオ種別,展開パターン,脅威合計,1号艇脆弱性,最大脅威艇,買い目ソース,生成点数,買い目リスト,実結果,的中,的中買い目,払戻金,投資額,回収額,収支,結果データあり
2026-04-11,鳴門,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,67,0,逃げ狙い,逃げ軸流し,A,28.76,20.1,5,実買い目_全,10,1-2-5|1-3-5|1-2-6|1-3-6|1-2-3|1-5-6|1-5-3|2-1-5|2-1-4|2-1-3,1-3-4,False,,740,1000,0,-1000,True
2026-04-11,鳴門,11,◎○△フォーメーション（15〜20点）,B,52,0,両建て推奨,主役軸流し,B,17.73,31.6,2,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-3-4|2-3-5|1-2-4|1-3-4|1-3-2|1-2-5|1-3-5,1-3-2,True,1-3-2,1590,1200,1590,390,True
2025-02-02,びわこ,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,63,0,両建て推奨,逃げ軸流し,A,14.87,27.8,2,実買い目_全,11,1-3-6|1-2-6|1-3-4|1-2-4|1-2-3|1-5-6|1-5-4|1-5-3|4-1-3|4-1-2|4-1-5,1-2-3,True,1-2-3,470,1100,470,-630,True
2026-04-11,鳴門,9,◎○△フォーメーション（15〜20点）,B,55,0,両建て推奨,逃げ軸流し,A,14.13,30.8,3,実買い目_全,9,1-3-4|1-3-2|1-4-3|1-2-4|1-4-2|1-2-3|3-1-4|2-1-4|5-1-2,1-3-2,True,1-3-2,1710,900,1710,810,True
2026-04-11,鳴門,8,大荒れ。見送り推奨,D,21,0,両建て推奨,主役軸流し,B,15.0,33.1,2,実買い目_全,12,2-1-5|2-1-3|2-1-4|2-3-1|2-4-1|2-3-5|2-3-4|1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,2-1-5,True,2-1-5,4030,1200,4030,2830,True
2025-02-02,びわこ,6,◎○△フォーメーション（15〜20点）,B,48,0,両建て推奨,主役軸流し,B,20.05,35.8,3,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-1-5|2-4-1|2-3-4|2-4-3|1-3-2|1-3-4|1-2-3|1-2-4|1-5-3,3-1-6,False,,1520,1200,0,-1200,True
2025-02-02,びわこ,5,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,逃げ軸流し,A,13.3,30.7,2,実買い目_全,10,1-3-5|1-2-5|1-2-3|1-3-4|1-2-4|1-5-3|1-5-4|4-1-5|4-1-3|4-1-2,5-3-6,False,,149510,1000,0,-1000,True
2025-02-02,びわこ,4,大荒れ。見送り推奨,D,16,0,両建て推奨,主役軸流し,B,23.18,35.7,3,実買い目_全,12,3-1-4|3-1-5|3-1-6|3-4-1|3-5-1|3-4-5|3-4-6|1-3-4|1-3-6|5-1-6|6-1-2|6-1-4,3-6-2,False,,1990,1200,0,-1200,True
2025-02-02,びわこ,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,15.59,30.1,3,実買い目_全,10,1-2-3|1-3-4|1-3-5|1-2-4|1-5-3|1-2-5|1-5-4|3-1-4|3-1-5|3-1-2,1-3-5,True,1-3-5,900,1000,900,-100,True
2025-02-02,びわこ,1,大荒れ。見送り推奨,D,33,0,両建て推奨,主役軸流し,B,14.07,36.4,4,実買い目_全,12,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|6-1-4|1-2-4|5-1-6|1-3-4|1-2-5,1-2-4,True,1-2-4,1310,1200,1310,110,True
2025-06-24,江戸川,4,大荒れ。見送り推奨,D,31,0,両建て推奨,主役軸流し,B,14.76,36.6,2,実買い目_全,12,3-4-5|3-5-4|3-4-6|3-4-2|3-6-4|3-5-6|3-6-5|1-3-4|1-2-4|1-3-5|1-2-5|1-3-2,3-2-1,False,,2290,1200,0,-1200,True
2025-06-24,江戸川,3,◎○△フォーメーション（15〜20点）,B,49,0,両建て推奨,主役軸流し,B,17.06,29.3,2,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-4-3|2-3-4|1-2-5|1-2-3|1-3-5|1-3-2|1-5-2,1-2-5,True,1-2-5,1320,1200,1320,120,True
2026-04-11,鳴門,5,大荒れ。見送り推奨,D,23,0,両建て推奨,荒れ広め,D,20.41,41.5,4,実買い目_全,12,6-1-4|6-1-3|6-4-1|5-3-1|2-1-4|6-3-1|5-6-1|1-2-4|1-3-4|1-3-2|1-2-3|1-4-2,5-1-4,False,,46330,1200,0,-1200,True
